,Year,Type of Crop,UNIT,Area under Crops,Crop Yield,Crop Yield per Hectare
0,2008,Beans and peas,000 Hectares,2.5,,
1,2008,Beans and peas,000 Tonnes,,11.1,
2,2008,Beans and peas,Tonnes,,,4.5
3,2008,Oilseed rape,000 Hectares,5.6,,
4,2008,Oilseed rape,000 Tonnes,,20.3,
5,2008,Oilseed rape,Tonnes,,,3.6
6,2008,Potatoes,000 Hectares,11.2,,
7,2008,Potatoes,000 Tonnes,,344.9,
8,2008,Potatoes,Tonnes,,,30.7
9,2008,Spring barley,000 Hectares,166.0,,
10,2008,Spring barley,000 Tonnes,,1112.4,
11,2008,Spring barley,Tonnes,,,6.7
12,2008,Spring oats,000 Hectares,4.2,,
13,2008,Spring oats,000 Tonnes,,26.4,
14,2008,Spring oats,Tonnes,,,6.3
15,2008,Spring wheat,000 Hectares,23.2,,
16,2008,Spring wheat,000 Tonnes,,153.0,
17,2008,Spring wheat,Tonnes,,,6.6
18,2008,Total barley,000 Hectares,187.2,,
19,2008,Total barley,000 Tonnes,,1294.1,
20,2008,Total barley,Tonnes,,,6.9
21,2008,Total oats,000 Hectares,22.9,,
22,2008,Total oats,000 Tonnes,,174.3,
23,2008,Total oats,Tonnes,,,7.6
24,2008,Total wheat,000 Hectares,110.7,,
25,2008,Total wheat,000 Tonnes,,992.8,
26,2008,Total wheat,Tonnes,,,9.0
27,2008,"Total wheat, oats and barley",000 Hectares,320.7,,
28,2008,"Total wheat, oats and barley",000 Tonnes,,2461.3,
29,2008,"Total wheat, oats and barley",Tonnes,,,7.7
30,2008,Winter barley,000 Hectares,21.1,,
31,2008,Winter barley,000 Tonnes,,181.8,
32,2008,Winter barley,Tonnes,,,8.6
33,2008,Winter oats,000 Hectares,18.7,,
34,2008,Winter oats,000 Tonnes,,147.9,
35,2008,Winter oats,Tonnes,,,7.9
36,2008,Winter wheat,000 Hectares,87.5,,
37,2008,Winter wheat,000 Tonnes,,839.9,
38,2008,Winter wheat,Tonnes,,,9.6
39,2009,Beans and peas,000 Hectares,4.2,,
40,2009,Beans and peas,000 Tonnes,,22.2,
41,2009,Beans and peas,Tonnes,,,5.3
42,2009,Oilseed rape,000 Hectares,6.3,,
43,2009,Oilseed rape,000 Tonnes,,23.7,
44,2009,Oilseed rape,Tonnes,,,3.7
45,2009,Potatoes,000 Hectares,12.2,,
46,2009,Potatoes,000 Tonnes,,336.1,
47,2009,Potatoes,Tonnes,,,27.6
48,2009,Spring barley,000 Hectares,174.3,,
49,2009,Spring barley,000 Tonnes,,1063.1,
50,2009,Spring barley,Tonnes,,,6.1
51,2009,Spring oats,000 Hectares,11.3,,
52,2009,Spring oats,000 Tonnes,,74.4,
53,2009,Spring oats,Tonnes,,,6.6
54,2009,Spring wheat,000 Hectares,20.2,,
55,2009,Spring wheat,000 Tonnes,,137.4,
56,2009,Spring wheat,Tonnes,,,6.8
57,2009,Total barley,000 Hectares,193.6,,
58,2009,Total barley,000 Tonnes,,1227.3,
59,2009,Total barley,Tonnes,,,6.3
60,2009,Total oats,000 Hectares,20.4,,
61,2009,Total oats,000 Tonnes,,145.7,
62,2009,Total oats,Tonnes,,,7.1
63,2009,Total wheat,000 Hectares,84.5,,
64,2009,Total wheat,000 Tonnes,,690.1,
65,2009,Total wheat,Tonnes,,,8.2
66,2009,"Total wheat, oats and barley",000 Hectares,298.5,,
67,2009,"Total wheat, oats and barley",000 Tonnes,,2063.0,
68,2009,"Total wheat, oats and barley",Tonnes,,,6.9
69,2009,Winter barley,000 Hectares,19.3,,
70,2009,Winter barley,000 Tonnes,,164.2,
71,2009,Winter barley,Tonnes,,,8.5
72,2009,Winter oats,000 Hectares,9.1,,
73,2009,Winter oats,000 Tonnes,,71.3,
74,2009,Winter oats,Tonnes,,,7.8
75,2009,Winter wheat,000 Hectares,64.3,,
76,2009,Winter wheat,000 Tonnes,,552.7,
77,2009,Winter wheat,Tonnes,,,8.6
78,2010,Beans and peas,000 Hectares,4.6,,
79,2010,Beans and peas,000 Tonnes,,25.0,
80,2010,Beans and peas,Tonnes,,,5.5
81,2010,Oilseed rape,000 Hectares,8.0,,
82,2010,Oilseed rape,000 Tonnes,,28.1,
83,2010,Oilseed rape,Tonnes,,,3.5
84,2010,Potatoes,000 Hectares,12.2,,
85,2010,Potatoes,000 Tonnes,,419.6,
86,2010,Potatoes,Tonnes,,,34.4
87,2010,Spring barley,000 Hectares,146.0,,
88,2010,Spring barley,000 Tonnes,,977.9,
89,2010,Spring barley,Tonnes,,,6.7
90,2010,Spring oats,000 Hectares,9.4,,
91,2010,Spring oats,000 Tonnes,,67.6,
92,2010,Spring oats,Tonnes,,,7.2
