,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
50,0.04416041374206543,0.004926144173800432,0.0035417556762695314,4.381855882188951e-05,0.01,0.1,9,80,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 80}",0.9163677040537633,0.7372368287294091,0.8190364682804675,0.9284882699069217,0.8202283337232743,0.8442715209387671,0.07065639178024112,13,-127.6305141869884,-136.76769034611945,-322.48703118563003,-144.243314394459,-94.13515552905884,-165.05274112845115,80.55849929221607,13
122,0.04340996742248535,0.005851490268598108,0.0036790847778320314,4.682905062559306e-05,0.1,0.1,9,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 80}",0.9162228889339273,0.7372414266086937,0.8190452358363205,0.9284773597698062,0.8201358241472844,0.8442245470592062,0.0706285353506241,14,-127.74096693638819,-136.76649374752816,-322.47921895606527,-144.25431716503542,-94.15937314762837,-165.0800739905291,80.54044516025738,14
44,0.04299240112304688,0.005160218429520183,0.003569221496582031,6.968866990824307e-05,0.01,0.1,6,80,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 80}",0.9157375732154108,0.7372368287294091,0.8188040433877236,0.9284872988758185,0.8180384578328075,0.8436608404082339,0.07069797815650039,15,-128.11043047242126,-136.76769034611945,-322.69406174343203,-144.24429370421043,-94.70677040999968,-165.30464933523658,80.49446461888705,15
116,0.04243369102478027,0.004629790347052935,0.00379033088684082,0.000284341855769038,0.1,0.1,6,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 80}",0.9157415233778489,0.7372414266086937,0.8187700593245265,0.928480839082452,0.8180446525428513,0.8436557001872744,0.07069779147540683,16,-128.10742757444686,-136.76649374752816,-322.72432163840887,-144.25080840212874,-94.70515829469163,-165.31084193144085,80.50660223930349,16
41,0.23417587280273439,0.015979258922107154,0.0035956382751464845,5.7845555705449436e-05,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9108461156695621,0.751557562197888,0.8052597288213622,0.9310058028146899,0.8071763721950127,0.841169116339703,0.06841160117196272,17,-131.7764015271543,-132.98852112140426,-334.53734637969086,-141.68156102340743,-97.49253145932843,-167.69527230219705,84.77752005585775,17
40,0.16524453163146974,0.020825630959353216,0.00378265380859375,0.00012308547974493496,0.01,0.1,3,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 340}",0.9108461156695621,0.751557562197888,0.8052597288213622,0.9310058028146899,0.8071763721950127,0.841169116339703,0.06841160117196272,17,-131.7764015271543,-132.98852112140426,-334.53734637969086,-141.68156102340743,-97.49253145932843,-167.69527230219705,84.77752005585775,17
39,0.08474845886230468,0.0067479474565532065,0.0040207386016845705,0.00029702731240962383,0.01,0.1,3,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 160}",0.9108240404437525,0.7516138445199045,0.8050639569059319,0.9310057514177099,0.8071234345644525,0.8411262055703503,0.06841821094329621,19,-131.7927149709913,-132.97345661231063,-334.70545892509205,-141.6816137959832,-97.50591329819954,-167.7318315205153,84.84132295871501,21
113,0.21653251647949218,0.0031189740948389566,0.004030179977416992,0.0004655549088467524,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9109020523797705,0.751177439610125,0.8051616254915985,0.9310226623794411,0.8071818145845617,0.8410891188890993,0.06853683398741905,20,-131.7350556284416,-133.0902199688552,-334.62159987065576,-141.66424916607963,-97.49115560076699,-167.72045604695984,84.80716321389984,19
112,0.15186810493469238,0.003791941897922424,0.003700399398803711,0.00011554056581901724,0.1,0.1,3,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 340}",0.9109020523797705,0.751177439610125,0.8051616254915985,0.9310226623794411,0.8071818145845617,0.8410891188890993,0.06853683398741905,20,-131.7350556284416,-133.0902199688552,-334.62159987065576,-141.66424916607963,-97.49115560076699,-167.72045604695984,84.80716321389984,19
111,0.07080488204956055,0.002744747439083535,0.0038741111755371095,0.00022615750521222172,0.1,0.1,3,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 160}",0.9108783194037607,0.7512281729164225,0.8050728998159563,0.9310093205938221,0.8072340351634577,0.841084549578684,0.06851933948922719,22,-131.752599560863,-133.07665116083166,-334.69778134252005,-141.6779490472393,-97.47795303556839,-167.73658682940444,84.83811310864596,22
