Year,Veterinary Office,Animal Count,Herd Incidence Rate,Restricted Herds at end of Year,Restricted Herds at start of Year,Herds Tested,Herds Count,Reactors per 1000 Tests A.P.T.,Reactors to date,Tests on Animals
2012,Dublin,21432.0,6.63,15.0,25.0,377.0,384.0,1.62,47.0,28942.0
2012,Galway,383029.0,2.53,154.0,291.0,11515.0,11611.0,2.03,997.0,490530.0
2012,Kerry,301262.0,2.66,90.0,180.0,6758.0,6846.0,3.34,1394.0,417792.0
2012,Kildare,111987.0,4.21,43.0,78.0,1852.0,1881.0,0.91,129.0,142051.0
2012,Kilkenny,306559.0,6.62,123.0,203.0,3067.0,3150.0,2.01,845.0,419685.0
2012,Laois,219748.0,4.91,77.0,140.0,2849.0,2879.0,1.73,475.0,274993.0
2012,Leitrim,70745.0,2.27,32.0,69.0,3042.0,3064.0,2.35,222.0,94345.0
2012,Limerick,346676.0,4.06,111.0,219.0,5394.0,5514.0,2.17,1084.0,499809.0
2012,Longford,105955.0,3.47,42.0,84.0,2419.0,2442.0,1.96,276.0,140514.0
2012,Louth,78467.0,4.7,31.0,54.0,1148.0,1186.0,1.06,115.0,108147.0
2012,Mayo,248198.0,2.01,83.0,192.0,9560.0,9618.0,1.46,492.0,336864.0
2012,Meath,256343.0,7.39,152.0,264.0,3570.0,3695.0,2.19,939.0,428439.0
2012,Monaghan,195866.0,2.73,60.0,114.0,4170.0,4256.0,2.62,684.0,261213.0
2012,Offaly,204472.0,4.51,78.0,140.0,3103.0,3154.0,1.79,455.0,253856.0
2012,Roscommon,182126.0,4.65,138.0,252.0,5424.0,5477.0,2.61,725.0,277653.0
2012,Sligo,103001.0,3.5,78.0,126.0,3596.0,3625.0,2.45,333.0,136028.0
2012,Tipperary North,278847.0,5.5,100.0,185.0,3361.0,3445.0,1.69,659.0,391074.0
2012,Tipperary South,278382.0,3.5,58.0,117.0,3347.0,3432.0,0.92,340.0,370441.0
2012,Waterford,224151.0,4.7,50.0,103.0,2193.0,2242.0,0.98,289.0,294841.0
2012,Westmeath,183830.0,5.66,107.0,173.0,3054.0,3096.0,3.25,903.0,277644.0
2012,Wexford,254949.0,7.82,115.0,234.0,2994.0,3091.0,2.43,926.0,381628.0
2012,Wicklow E,71623.0,10.64,72.0,112.0,1053.0,1087.0,6.04,724.0,119905.0
2012,Wicklow W,39832.0,9.64,28.0,54.0,560.0,563.0,3.49,226.0,64847.0
2013,Carlow,93990.0,2.53,23.0,33.0,1302.0,1340.0,0.71,85.0,119007.0
2013,Cavan,213956.0,4.41,114.0,212.0,4804.0,4860.0,2.93,891.0,304476.0
2013,Clare,254855.0,4.83,151.0,299.0,6187.0,6265.0,3.15,1205.0,382336.0
2013,Cork North,499164.0,4.5,141.0,257.0,5712.0,5814.0,1.43,996.0,698714.0
2013,Cork South,437926.0,5.04,179.0,306.0,6076.0,6189.0,1.79,1055.0,588299.0
2013,Donegal,176763.0,3.95,95.0,214.0,5411.0,5519.0,1.91,480.0,251465.0
2013,Dublin,21149.0,8.09,18.0,31.0,383.0,392.0,1.82,57.0,31274.0
2013,Galway,382478.0,2.71,160.0,312.0,11528.0,11600.0,1.79,879.0,490656.0
2013,Kerry,301122.0,2.8,99.0,188.0,6718.0,6765.0,1.82,778.0,428050.0
2013,Kildare,113902.0,3.71,44.0,70.0,1888.0,1922.0,1.03,150.0,145332.0
2013,Kilkenny,309120.0,5.35,92.0,168.0,3143.0,3183.0,1.4,595.0,425530.0
2013,Laois,221133.0,3.37,63.0,96.0,2847.0,2884.0,2.02,556.0,274984.0
2013,Leitrim,68756.0,2.32,40.0,70.0,3017.0,3046.0,2.03,191.0,93858.0
2013,Limerick,345506.0,3.01,107.0,165.0,5476.0,5546.0,1.87,921.0,492879.0
2013,Longford,104627.0,2.66,39.0,63.0,2366.0,2396.0,1.22,171.0,140689.0
2013,Louth,80012.0,5.12,34.0,59.0,1153.0,1204.0,1.07,118.0,109931.0
2013,Mayo,242978.0,1.92,93.0,184.0,9584.0,9637.0,1.37,446.0,326703.0
2013,Meath,259600.0,6.09,144.0,222.0,3645.0,3758.0,1.87,747.0,400151.0
2013,Monaghan,193793.0,3.15,87.0,133.0,4224.0,4289.0,2.58,675.0,262041.0
2013,Offaly,205891.0,4.13,71.0,126.0,3054.0,3106.0,2.1,545.0,259168.0
2013,Roscommon,177965.0,4.42,139.0,239.0,5410.0,5476.0,2.05,537.0,262559.0
2013,Sligo,102421.0,2.91,48.0,104.0,3572.0,3615.0,1.51,213.0,140999.0
2013,Tipperary North,282415.0,5.09,122.0,172.0,3376.0,3452.0,1.71,645.0,377382.0
2013,Tipperary South,279557.0,2.92,54.0,98.0,3360.0,3441.0,0.75,271.0,363186.0
2013,Waterford,223473.0,3.53,50.0,79.0,2237.0,2256.0,1.6,462.0,289412.0
2013,Westmeath,182950.0,5.04,92.0,150.0,2978.0,3035.0,1.96,533.0,272634.0
2013,Wexford,259206.0,8.44,139.0,253.0,2998.0,3122.0,1.91,709.0,370583.0
2013,Wicklow E,72487.0,8.18,56.0,85.0,1039.0,1082.0,5.03,577.0,114715.0
2013,Wicklow W,39763.0,7.46,18.0,42.0,563.0,571.0,2.14,124.0,57948.0
2014,Carlow,92376.0,1.99,26.0,26.0,1307.0,1330.0,0.29,31.0,108157.0
2014,Cavan,211538.0,3.76,96.0,179.0,4761.0,4817.0,2.22,658.0,296220.0
2014,Clare,247683.0,4.87,156.0,299.0,6138.0,6165.0,4.55,1735.0,381149.0
2014,Cork North,500341.0,4.62,127.0,264.0,5717.0,5790.0,1.64,1160.0,705655.0
2014,Cork South,440393.0,4.24,135.0,255.0,6019.0,6106.0,1.58,908.0,576497.0
2014,Donegal,168494.0,2.85,66.0,152.0,5339.0,5452.0,2.02,445.0,220837.0
2014,Dublin,20656.0,7.29,13.0,28.0,384.0,388.0,1.53,52.0,33928.0
2014,Galway,382292.0,2.83,172.0,321.0,11330.0,11422.0,2.06,1007.0,489265.0
2014,Kerry,301475.0,3.02,96.0,204.0,6764.0,6801.0,2.73,1177.0,431453.0
2014,Kildare,114561.0,4.5,54.0,85.0,1890.0,1914.0,1.2,178.0,148841.0
2014,Kilkenny,310848.0,4.42,79.0,139.0,3144.0,3174.0,0.93,391.0,418301.0
2014,Laois,220059.0,3.23,55.0,92.0,2848.0,2876.0,1.38,377.0,272402.0
2014,Leitrim,67107.0,2.98,38.0,88.0,2951.0,2988.0,2.69,251.0,93290.0
2014,Limerick,343600.0,2.52,66.0,137.0,5431.0,5483.0,1.11,557.0,500552.0
2014,Longford,102950.0,2.12,36.0,50.0,2360.0,2384.0,1.08,139.0,128723.0
2014,Louth,81025.0,3.73,19.0,43.0,1153.0,1196.0,1.03,115.0,111171.0
2014,Mayo,240749.0,1.39,66.0,130.0,9325.0,9501.0,0.83,266.0,320796.0
2014,Meath,256946.0,5.48,112.0,194.0,3538.0,3659.0,1.62,656.0,404428.0
2014,Monaghan,190963.0,2.54,61.0,106.0,4166.0,4246.0,1.45,372.0,257034.0
2014,Offaly,205762.0,4.8,87.0,146.0,3042.0,3091.0,1.12,300.0,267030.0
2014,Roscommon,176843.0,4.31,93.0,231.0,5357.0,5420.0,2.58,679.0,262973.0
2014,Sligo,99850.0,3.09,62.0,109.0,3530.0,3556.0,3.15,428.0,135958.0
2014,Tipperary North,280511.0,4.31,85.0,145.0,3367.0,3439.0,1.97,767.0,390056.0
2014,Tipperary South,277660.0,3.21,57.0,107.0,3333.0,3412.0,0.5,181.0,363799.0
2014,Waterford,227627.0,2.75,32.0,61.0,2220.0,2241.0,1.28,383.0,300380.0
2014,Westmeath,181580.0,6.16,95.0,182.0,2956.0,3015.0,2.72,726.0,267358.0
2014,Wexford,261111.0,6.95,111.0,208.0,2993.0,3039.0,2.57,988.0,384146.0
2014,Wicklow E,71355.0,8.15,57.0,84.0,1031.0,1054.0,8.85,1029.0,116234.0
2014,Wicklow W,39173.0,8.47,25.0,46.0,543.0,549.0,3.22,189.0,58629.0
2015,Carlow,95812.0,4.39,33.0,57.0,1298.0,1330.0,2.18,249.0,114286.0
2015,Cavan,216720.0,3.93,111.0,187.0,4764.0,4820.0,3.16,940.0,297930.0
2015,Clare,255634.0,4.1,125.0,253.0,6169.0,6203.0,3.61,1383.0,383201.0
2015,Cork North,520831.0,3.6,111.0,206.0,5727.0,5799.0,1.34,929.0,691179.0
2015,Cork South,456079.0,3.83,154.0,231.0,6027.0,6130.0,1.98,1127.0,569407.0
2015,Donegal,169242.0,1.98,63.0,106.0,5351.0,5597.0,1.11,242.0,218270.0
2015,Dublin,20820.0,7.14,20.0,27.0,378.0,386.0,2.14,63.0,29407.0
2015,Galway,394334.0,2.57,152.0,289.0,11252.0,11411.0,1.69,848.0,500635.0
2015,Kerry,310683.0,2.05,52.0,139.0,6787.0,6818.0,1.65,717.0,433978.0
2015,Kildare,118193.0,4.31,60.0,82.0,1901.0,1927.0,0.94,138.0,147069.0
2015,Kilkenny,321964.0,4.23,67.0,133.0,3144.0,3173.0,1.67,701.0,419142.0
