,Year,Type of Crop,UNIT,Area under Crops,Crop Yield,Crop Yield per Hectare
121,1987,Spring oats,000 Tonnes,,70.0,
122,1987,Spring oats,Tonnes,,,5.0
123,1987,Spring wheat,000 Hectares,17.8,,
124,1987,Spring wheat,000 Tonnes,,110.0,
125,1987,Spring wheat,Tonnes,,,6.2
126,1987,Sugar beet,000 Hectares,37.1,,
127,1987,Sugar beet,000 Tonnes,,1623.0,
128,1987,Sugar beet,Tonnes,,,43.7
129,1987,Total barley,000 Hectares,255.3,,
130,1987,Total barley,000 Tonnes,,1485.0,
131,1987,Total barley,Tonnes,,,5.8
132,1987,Total oats,000 Hectares,22.9,,
133,1987,Total oats,000 Tonnes,,133.0,
134,1987,Total oats,Tonnes,,,5.8
135,1987,Total wheat,000 Hectares,56.1,,
136,1987,Total wheat,000 Tonnes,,387.0,
137,1987,Total wheat,Tonnes,,,6.9
138,1987,"Total wheat, oats and barley",000 Hectares,334.3,,
139,1987,"Total wheat, oats and barley",000 Tonnes,,2005.0,
140,1987,"Total wheat, oats and barley",Tonnes,,,6.0
141,1987,Turnips,000 Hectares,8.9,,
142,1987,Turnips,000 Tonnes,,505.0,
143,1987,Turnips,Tonnes,,,56.8
144,1987,Winter barley,000 Hectares,33.6,,
145,1987,Winter barley,000 Tonnes,,211.0,
146,1987,Winter barley,Tonnes,,,6.3
147,1987,Winter oats,000 Hectares,9.0,,
148,1987,Winter oats,000 Tonnes,,63.0,
149,1987,Winter oats,Tonnes,,,7.0
150,1987,Winter wheat,000 Hectares,38.3,,
151,1987,Winter wheat,000 Tonnes,,278.0,
152,1987,Winter wheat,Tonnes,,,7.3
153,1988,Beans and peas,000 Hectares,2.6,,
154,1988,Beans and peas,000 Tonnes,,0.0,
155,1988,Beans and peas,Tonnes,,,0.0
156,1988,Fodder beet,000 Hectares,6.9,,
157,1988,Fodder beet,000 Tonnes,,438.0,
158,1988,Fodder beet,Tonnes,,,63.4
159,1988,Kale and field cabbage,000 Hectares,2.5,,
160,1988,Kale and field cabbage,000 Tonnes,,98.0,
161,1988,Kale and field cabbage,Tonnes,,,39.0
162,1988,Oilseed rape,000 Hectares,4.7,,
163,1988,Oilseed rape,000 Tonnes,,0.0,
164,1988,Oilseed rape,Tonnes,,,0.0
165,1988,Potatoes,000 Hectares,27.1,,
166,1988,Potatoes,000 Tonnes,,671.0,
167,1988,Potatoes,Tonnes,,,24.8
168,1988,Spring barley,000 Hectares,214.5,,
169,1988,Spring barley,000 Tonnes,,1297.0,
170,1988,Spring barley,Tonnes,,,6.0
171,1988,Spring oats,000 Hectares,13.0,,
172,1988,Spring oats,000 Tonnes,,73.0,
173,1988,Spring oats,Tonnes,,,5.6
174,1988,Spring wheat,000 Hectares,21.4,,
175,1988,Spring wheat,000 Tonnes,,150.0,
176,1988,Spring wheat,Tonnes,,,7.0
177,1988,Sugar beet,000 Hectares,33.3,,
178,1988,Sugar beet,000 Tonnes,,1334.0,
179,1988,Sugar beet,Tonnes,,,40.1
180,1988,Total barley,000 Hectares,242.5,,
181,1988,Total barley,000 Tonnes,,1475.0,
182,1988,Total barley,Tonnes,,,6.1
183,1988,Total oats,000 Hectares,22.6,,
184,1988,Total oats,000 Tonnes,,147.0,
185,1988,Total oats,Tonnes,,,6.5
186,1988,Total wheat,000 Hectares,58.6,,
187,1988,Total wheat,000 Tonnes,,455.0,
188,1988,Total wheat,Tonnes,,,7.8
189,1988,"Total wheat, oats and barley",000 Hectares,323.6,,
190,1988,"Total wheat, oats and barley",000 Tonnes,,2077.0,
191,1988,"Total wheat, oats and barley",Tonnes,,,6.4
192,1988,Turnips,000 Hectares,8.1,,
193,1988,Turnips,000 Tonnes,,422.0,
194,1988,Turnips,Tonnes,,,51.9
195,1988,Winter barley,000 Hectares,28.0,,
196,1988,Winter barley,000 Tonnes,,179.0,
197,1988,Winter barley,Tonnes,,,6.4
198,1988,Winter oats,000 Hectares,9.6,,
199,1988,Winter oats,000 Tonnes,,74.0,
200,1988,Winter oats,Tonnes,,,7.7
201,1988,Winter wheat,000 Hectares,37.2,,
202,1988,Winter wheat,000 Tonnes,,305.0,
203,1988,Winter wheat,Tonnes,,,8.2
204,1989,Beans and peas,000 Hectares,2.7,,
205,1989,Beans and peas,000 Tonnes,,0.0,
206,1989,Beans and peas,Tonnes,,,0.0
207,1989,Fodder beet,000 Hectares,7.1,,
208,1989,Fodder beet,000 Tonnes,,391.0,
209,1989,Fodder beet,Tonnes,,,54.9
210,1989,Kale and field cabbage,000 Hectares,2.4,,
211,1989,Kale and field cabbage,000 Tonnes,,94.0,
212,1989,Kale and field cabbage,Tonnes,,,39.5
213,1989,Oilseed rape,000 Hectares,4.5,,
214,1989,Oilseed rape,000 Tonnes,,0.0,
215,1989,Oilseed rape,Tonnes,,,0.0
216,1989,Potatoes,000 Hectares,24.7,,
217,1989,Potatoes,000 Tonnes,,554.0,
218,1989,Potatoes,Tonnes,,,22.4
219,1989,Spring barley,000 Hectares,211.6,,
220,1989,Spring barley,000 Tonnes,,1162.0,
221,1989,Spring barley,Tonnes,,,5.5
222,1989,Spring oats,000 Hectares,12.3,,
223,1989,Spring oats,000 Tonnes,,60.0,
224,1989,Spring oats,Tonnes,,,4.9
225,1989,Spring wheat,000 Hectares,17.7,,
226,1989,Spring wheat,000 Tonnes,,109.0,
227,1989,Spring wheat,Tonnes,,,6.2
228,1989,Sugar beet,000 Hectares,32.1,,
229,1989,Sugar beet,000 Tonnes,,1451.0,
230,1989,Sugar beet,Tonnes,,,45.2
231,1989,Total barley,000 Hectares,236.5,,
232,1989,Total barley,000 Tonnes,,1325.0,
233,1989,Total barley,Tonnes,,,5.6
234,1989,Total oats,000 Hectares,22.4,,
235,1989,Total oats,000 Tonnes,,134.0,
236,1989,Total oats,Tonnes,,,6.0
237,1989,Total wheat,000 Hectares,60.7,,
238,1989,Total wheat,000 Tonnes,,459.0,
239,1989,Total wheat,Tonnes,,,7.6
240,1989,"Total wheat, oats and barley",000 Hectares,319.6,,
241,1989,"Total wheat, oats and barley",000 Tonnes,,1918.0,
242,1989,"Total wheat, oats and barley",Tonnes,,,6.0
243,1989,Turnips,000 Hectares,8.1,,
244,1989,Turnips,000 Tonnes,,465.0,
245,1989,Turnips,Tonnes,,,57.6
246,1989,Winter barley,000 Hectares,24.9,,
247,1989,Winter barley,000 Tonnes,,163.0,
248,1989,Winter barley,Tonnes,,,6.6
249,1989,Winter oats,000 Hectares,10.1,,
250,1989,Winter oats,000 Tonnes,,74.0,
251,1989,Winter oats,Tonnes,,,7.4
252,1989,Winter wheat,000 Hectares,43.0,,
253,1989,Winter wheat,000 Tonnes,,350.0,
254,1989,Winter wheat,Tonnes,,,8.1
255,1990,Beans and peas,000 Hectares,3.0,,
256,1990,Beans and peas,000 Tonnes,,15.0,
257,1990,Beans and peas,Tonnes,,,4.9
258,1990,Fodder beet,000 Hectares,8.5,,
259,1990,Fodder beet,000 Tonnes,,553.0,
260,1990,Fodder beet,Tonnes,,,65.0
261,1990,Kale and field cabbage,000 Hectares,2.0,,
262,1990,Kale and field cabbage,000 Tonnes,,99.0,
263,1990,Kale and field cabbage,Tonnes,,,49.5
264,1990,Oilseed rape,000 Hectares,5.4,,
265,1990,Oilseed rape,000 Tonnes,,20.0,
266,1990,Oilseed rape,Tonnes,,,3.6
267,1990,Potatoes,000 Hectares,24.3,,
268,1990,Potatoes,000 Tonnes,,605.0,
269,1990,Potatoes,Tonnes,,,24.9
270,1990,Spring barley,000 Hectares,178.0,,
271,1990,Spring barley,000 Tonnes,,1002.0,
272,1990,Spring barley,Tonnes,,,5.6
273,1990,Spring oats,000 Hectares,11.2,,
274,1990,Spring oats,000 Tonnes,,63.0,
275,1990,Spring oats,Tonnes,,,5.6
276,1990,Spring wheat,000 Hectares,13.6,,
277,1990,Spring wheat,000 Tonnes,,92.0,
278,1990,Spring wheat,Tonnes,,,6.7
279,1990,Sugar beet,000 Hectares,32.3,,
280,1990,Sugar beet,000 Tonnes,,1480.0,
281,1990,Sugar beet,Tonnes,,,45.8
282,1990,Total barley,000 Hectares,206.6,,
283,1990,Total barley,000 Tonnes,,1223.0,
284,1990,Total barley,Tonnes,,,5.9
285,1990,Total oats,000 Hectares,21.8,,
286,1990,Total oats,000 Tonnes,,144.0,
287,1990,Total oats,Tonnes,,,6.6
288,1990,Total wheat,000 Hectares,70.1,,
289,1990,Total wheat,000 Tonnes,,598.0,
290,1990,Total wheat,Tonnes,,,8.5
291,1990,"Total wheat, oats and barley",000 Hectares,298.5,,
292,1990,"Total wheat, oats and barley",000 Tonnes,,1964.0,
293,1990,"Total wheat, oats and barley",Tonnes,,,6.6
294,1990,Turnips,000 Hectares,7.1,,
295,1990,Turnips,000 Tonnes,,387.0,
296,1990,Turnips,Tonnes,,,54.8
297,1990,Winter barley,000 Hectares,28.7,,
298,1990,Winter barley,000 Tonnes,,221.0,
299,1990,Winter barley,Tonnes,,,7.7
300,1990,Winter oats,000 Hectares,10.6,,
301,1990,Winter oats,000 Tonnes,,81.0,
302,1990,Winter oats,Tonnes,,,7.6
303,1990,Winter wheat,000 Hectares,56.5,,
304,1990,Winter wheat,000 Tonnes,,506.0,
305,1990,Winter wheat,Tonnes,,,9.0
306,1991,Beans and peas,000 Hectares,2.8,,
307,1991,Beans and peas,000 Tonnes,,13.0,
308,1991,Beans and peas,Tonnes,,,4.7
309,1991,Fodder beet,000 Hectares,10.1,,
310,1991,Fodder beet,000 Tonnes,,695.0,
311,1991,Fodder beet,Tonnes,,,68.9
312,1991,Kale and field cabbage,000 Hectares,1.4,,
313,1991,Kale and field cabbage,000 Tonnes,,60.0,
314,1991,Kale and field cabbage,Tonnes,,,42.2
315,1991,Oilseed rape,000 Hectares,6.2,,
316,1991,Oilseed rape,000 Tonnes,,23.0,
317,1991,Oilseed rape,Tonnes,,,3.7
318,1991,Potatoes,000 Hectares,20.5,,
319,1991,Potatoes,000 Tonnes,,571.0,
320,1991,Potatoes,Tonnes,,,27.9
321,1991,Spring barley,000 Hectares,160.1,,
322,1991,Spring barley,000 Tonnes,,886.0,
323,1991,Spring barley,Tonnes,,,5.5
324,1991,Spring oats,000 Hectares,9.2,,
325,1991,Spring oats,000 Tonnes,,54.0,
326,1991,Spring oats,Tonnes,,,5.9
327,1991,Spring wheat,000 Hectares,18.8,,
328,1991,Spring wheat,000 Tonnes,,125.0,
329,1991,Spring wheat,Tonnes,,,6.7
330,1991,Sugar beet,000 Hectares,33.3,,
331,1991,Sugar beet,000 Tonnes,,1409.0,
332,1991,Sugar beet,Tonnes,,,42.3
333,1991,Total barley,000 Hectares,193.4,,
334,1991,Total barley,000 Tonnes,,1148.0,
335,1991,Total barley,Tonnes,,,5.9
336,1991,Total oats,000 Hectares,20.6,,
337,1991,Total oats,000 Tonnes,,143.0,
338,1991,Total oats,Tonnes,,,7.0
339,1991,Total wheat,000 Hectares,85.7,,
340,1991,Total wheat,000 Tonnes,,673.6,
341,1991,Total wheat,Tonnes,,,7.9
342,1991,"Total wheat, oats and barley",000 Hectares,299.6,,
343,1991,"Total wheat, oats and barley",000 Tonnes,,1965.0,
344,1991,"Total wheat, oats and barley",Tonnes,,,6.6
345,1991,Turnips,000 Hectares,6.0,,
346,1991,Turnips,000 Tonnes,,313.0,
347,1991,Turnips,Tonnes,,,52.5
348,1991,Winter barley,000 Hectares,33.3,,
349,1991,Winter barley,000 Tonnes,,262.0,
350,1991,Winter barley,Tonnes,,,7.9
351,1991,Winter oats,000 Hectares,11.4,,
352,1991,Winter oats,000 Tonnes,,89.0,
353,1991,Winter oats,Tonnes,,,7.8
354,1991,Winter wheat,000 Hectares,66.9,,
355,1991,Winter wheat,000 Tonnes,,548.0,
356,1991,Winter wheat,Tonnes,,,8.2
357,1992,Beans and peas,000 Hectares,2.7,,
358,1992,Beans and peas,000 Tonnes,,13.0,
359,1992,Beans and peas,Tonnes,,,5.0
360,1992,Fodder beet,000 Hectares,11.0,,
361,1992,Fodder beet,000 Tonnes,,780.0,
362,1992,Fodder beet,Tonnes,,,70.6
363,1992,Kale and field cabbage,000 Hectares,1.9,,
364,1992,Kale and field cabbage,000 Tonnes,,91.0,
365,1992,Kale and field cabbage,Tonnes,,,48.8
366,1992,Oilseed rape,000 Hectares,5.9,,
367,1992,Oilseed rape,000 Tonnes,,18.0,
368,1992,Oilseed rape,Tonnes,,,3.1
369,1992,Potatoes,000 Hectares,22.1,,
370,1992,Potatoes,000 Tonnes,,638.0,
371,1992,Potatoes,Tonnes,,,28.9
372,1992,Spring barley,000 Hectares,144.0,,
373,1992,Spring barley,000 Tonnes,,862.0,
374,1992,Spring barley,Tonnes,,,6.0
375,1992,Spring oats,000 Hectares,8.4,,
376,1992,Spring oats,000 Tonnes,,50.0,
377,1992,Spring oats,Tonnes,,,6.0
378,1992,Spring wheat,000 Hectares,17.3,,
379,1992,Spring wheat,000 Tonnes,,127.0,
380,1992,Spring wheat,Tonnes,,,7.4
381,1992,Sugar beet,000 Hectares,31.3,,
382,1992,Sugar beet,000 Tonnes,,1397.0,
383,1992,Sugar beet,Tonnes,,,44.6
384,1992,Total barley,000 Hectares,184.4,,
385,1992,Total barley,000 Tonnes,,1168.0,
386,1992,Total barley,Tonnes,,,6.3
387,1992,Total oats,000 Hectares,20.1,,
388,1992,Total oats,000 Tonnes,,136.0,
389,1992,Total oats,Tonnes,,,6.8
390,1992,Total wheat,000 Hectares,90.6,,
391,1992,Total wheat,000 Tonnes,,714.0,
392,1992,Total wheat,Tonnes,,,7.9
393,1992,"Total wheat, oats and barley",000 Hectares,295.1,,
394,1992,"Total wheat, oats and barley",000 Tonnes,,2018.0,
395,1992,"Total wheat, oats and barley",Tonnes,,,6.8
396,1992,Turnips,000 Hectares,5.5,,
397,1992,Turnips,000 Tonnes,,306.0,
398,1992,Turnips,Tonnes,,,55.5
399,1992,Winter barley,000 Hectares,40.3,,
400,1992,Winter barley,000 Tonnes,,306.0,
401,1992,Winter barley,Tonnes,,,7.6
402,1992,Winter oats,000 Hectares,11.6,,
403,1992,Winter oats,000 Tonnes,,86.0,
404,1992,Winter oats,Tonnes,,,7.4
405,1992,Winter wheat,000 Hectares,73.3,,
406,1992,Winter wheat,000 Tonnes,,587.0,
407,1992,Winter wheat,Tonnes,,,8.0
408,1993,Beans and peas,000 Hectares,6.1,,
409,1993,Beans and peas,000 Tonnes,,26.0,
410,1993,Beans and peas,Tonnes,,,4.3
411,1993,Fodder beet,000 Hectares,10.9,,
412,1993,Fodder beet,000 Tonnes,,600.0,
413,1993,Fodder beet,Tonnes,,,54.9
414,1993,Kale and field cabbage,000 Hectares,1.8,,
415,1993,Kale and field cabbage,000 Tonnes,,78.0,
416,1993,Kale and field cabbage,Tonnes,,,43.0
417,1993,Oilseed rape,000 Hectares,3.4,,
418,1993,Oilseed rape,000 Tonnes,,9.0,
419,1993,Oilseed rape,Tonnes,,,2.7
420,1993,Potatoes,000 Hectares,21.6,,
421,1993,Potatoes,000 Tonnes,,569.0,
422,1993,Potatoes,Tonnes,,,26.3
423,1993,Spring barley,000 Hectares,141.4,,
424,1993,Spring barley,000 Tonnes,,716.0,
425,1993,Spring barley,Tonnes,,,5.1
426,1993,Spring oats,000 Hectares,8.8,,
427,1993,Spring oats,000 Tonnes,,49.0,
428,1993,Spring oats,Tonnes,,,5.5
429,1993,Spring wheat,000 Hectares,22.0,,
430,1993,Spring wheat,000 Tonnes,,155.0,
431,1993,Spring wheat,Tonnes,,,7.1
432,1993,Sugar beet,000 Hectares,32.2,,
433,1993,Sugar beet,000 Tonnes,,1117.0,
434,1993,Sugar beet,Tonnes,,,34.7
435,1993,Total barley,000 Hectares,180.8,,
436,1993,Total barley,000 Tonnes,,958.0,
437,1993,Total barley,Tonnes,,,5.3
438,1993,Total oats,000 Hectares,20.2,,
439,1993,Total oats,000 Tonnes,,129.0,
440,1993,Total oats,Tonnes,,,6.4
441,1993,Total wheat,000 Hectares,79.2,,
442,1993,Total wheat,000 Tonnes,,539.0,
443,1993,Total wheat,Tonnes,,,6.8
444,1993,"Total wheat, oats and barley",000 Hectares,280.3,,
445,1993,"Total wheat, oats and barley",000 Tonnes,,1626.0,
446,1993,"Total wheat, oats and barley",Tonnes,,,5.8
447,1993,Turnips,000 Hectares,5.2,,
448,1993,Turnips,000 Tonnes,,271.0,
449,1993,Turnips,Tonnes,,,52.3
450,1993,Winter barley,000 Hectares,39.4,,
451,1993,Winter barley,000 Tonnes,,242.0,
452,1993,Winter barley,Tonnes,,,6.1
453,1993,Winter oats,000 Hectares,11.4,,
454,1993,Winter oats,000 Tonnes,,80.0,
455,1993,Winter oats,Tonnes,,,7.0
456,1993,Winter wheat,000 Hectares,57.2,,
457,1993,Winter wheat,000 Tonnes,,383.0,
458,1993,Winter wheat,Tonnes,,,6.7
459,1994,Beans and peas,000 Hectares,5.6,,
460,1994,Beans and peas,000 Tonnes,,25.0,
461,1994,Beans and peas,Tonnes,,,4.5
462,1994,Fodder beet,000 Hectares,9.8,,
463,1994,Fodder beet,000 Tonnes,,579.0,
464,1994,Fodder beet,Tonnes,,,59.0
465,1994,Kale and field cabbage,000 Hectares,1.8,,
466,1994,Kale and field cabbage,000 Tonnes,,81.0,
467,1994,Kale and field cabbage,Tonnes,,,44.5
468,1994,Oilseed rape,000 Hectares,6.4,,
469,1994,Oilseed rape,000 Tonnes,,17.0,
470,1994,Oilseed rape,Tonnes,,,2.6
471,1994,Potatoes,000 Hectares,21.4,,
472,1994,Potatoes,000 Tonnes,,642.0,
473,1994,Potatoes,Tonnes,,,30.1
474,1994,Spring barley,000 Hectares,138.0,,
475,1994,Spring barley,000 Tonnes,,693.0,
476,1994,Spring barley,Tonnes,,,5.0
477,1994,Spring oats,000 Hectares,7.6,,
478,1994,Spring oats,000 Tonnes,,36.0,
479,1994,Spring oats,Tonnes,,,4.7
480,1994,Spring wheat,000 Hectares,17.9,,
481,1994,Spring wheat,000 Tonnes,,114.0,
482,1994,Spring wheat,Tonnes,,,6.4
483,1994,Sugar beet,000 Hectares,35.4,,
484,1994,Sugar beet,000 Tonnes,,1390.0,
485,1994,Sugar beet,Tonnes,,,39.3
486,1994,Total barley,000 Hectares,169.7,,
487,1994,Total barley,000 Tonnes,,910.0,
488,1994,Total barley,Tonnes,,,5.4
489,1994,Total oats,000 Hectares,20.9,,
490,1994,Total oats,000 Tonnes,,128.0,
491,1994,Total oats,Tonnes,,,6.1
492,1994,Total wheat,000 Hectares,74.1,,
493,1994,Total wheat,000 Tonnes,,572.0,
494,1994,Total wheat,Tonnes,,,7.7
495,1994,"Total wheat, oats and barley",000 Hectares,264.7,,
496,1994,"Total wheat, oats and barley",000 Tonnes,,1609.0,
497,1994,"Total wheat, oats and barley",Tonnes,,,6.1
498,1994,Turnips,000 Hectares,5.6,,
499,1994,Turnips,000 Tonnes,,296.0,
500,1994,Turnips,Tonnes,,,53.1
501,1994,Winter barley,000 Hectares,31.7,,
502,1994,Winter barley,000 Tonnes,,216.0,
503,1994,Winter barley,Tonnes,,,6.8
504,1994,Winter oats,000 Hectares,13.3,,
505,1994,Winter oats,000 Tonnes,,92.0,
506,1994,Winter oats,Tonnes,,,6.9
507,1994,Winter wheat,000 Hectares,56.2,,
508,1994,Winter wheat,000 Tonnes,,458.0,
509,1994,Winter wheat,Tonnes,,,8.1
510,1995,Beans and peas,000 Hectares,4.8,,
511,1995,Beans and peas,000 Tonnes,,19.0,
512,1995,Beans and peas,Tonnes,,,4.0
513,1995,Fodder beet,000 Hectares,8.9,,
514,1995,Fodder beet,000 Tonnes,,596.0,
515,1995,Fodder beet,Tonnes,,,66.8
516,1995,Kale and field cabbage,000 Hectares,1.5,,
517,1995,Kale and field cabbage,000 Tonnes,,57.0,
518,1995,Kale and field cabbage,Tonnes,,,39.0
519,1995,Oilseed rape,000 Hectares,4.1,,
520,1995,Oilseed rape,000 Tonnes,,13.0,
521,1995,Oilseed rape,Tonnes,,,3.3
522,1995,Potatoes,000 Hectares,22.4,,
523,1995,Potatoes,000 Tonnes,,618.0,
524,1995,Potatoes,Tonnes,,,27.6
525,1995,Spring barley,000 Hectares,141.4,,
526,1995,Spring barley,000 Tonnes,,833.0,
527,1995,Spring barley,Tonnes,,,5.9
528,1995,Spring oats,000 Hectares,9.4,,
529,1995,Spring oats,000 Tonnes,,54.0,
530,1995,Spring oats,Tonnes,,,5.7
531,1995,Spring wheat,000 Hectares,18.9,,
532,1995,Spring wheat,000 Tonnes,,132.0,
533,1995,Spring wheat,Tonnes,,,7.0
534,1995,Sugar beet,000 Hectares,35.1,,
535,1995,Sugar beet,000 Tonnes,,1547.0,
536,1995,Sugar beet,Tonnes,,,44.1
537,1995,Total barley,000 Hectares,178.6,,
538,1995,Total barley,000 Tonnes,,1084.0,
539,1995,Total barley,Tonnes,,,6.1
540,1995,Total oats,000 Hectares,19.9,,
541,1995,Total oats,000 Tonnes,,129.0,
542,1995,Total oats,Tonnes,,,6.5
543,1995,Total wheat,000 Hectares,70.7,,
544,1995,Total wheat,000 Tonnes,,583.0,
545,1995,Total wheat,Tonnes,,,8.2
546,1995,"Total wheat, oats and barley",000 Hectares,269.2,,
547,1995,"Total wheat, oats and barley",000 Tonnes,,1796.0,
548,1995,"Total wheat, oats and barley",Tonnes,,,6.7
549,1995,Turnips,000 Hectares,5.3,,
550,1995,Turnips,000 Tonnes,,289.0,
551,1995,Turnips,Tonnes,,,54.1
552,1995,Winter barley,000 Hectares,37.1,,
553,1995,Winter barley,000 Tonnes,,251.0,
554,1995,Winter barley,Tonnes,,,6.8
555,1995,Winter oats,000 Hectares,10.5,,
556,1995,Winter oats,000 Tonnes,,75.0,
