sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
ARG,Coconuts - Incl Copra,10142.85714,10142.85714,0,0,1,0,0
AUS,Coconuts - Incl Copra,45000,45000,0,0,1,0,0
AUT,Coconuts - Incl Copra,5571.428571,5571.428571,0,0,1,0,0
BGD,Coconuts - Incl Copra,343428.5714,341428.5714,0,2000,0.994176373,0,0.005823627
BAR,Coconuts - Incl Copra,2000,2000,0,0,1,0,0
BLR,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
BEL,Coconuts - Incl Copra,42857.14286,42857.14286,0,0,1,0,0
BZE,Coconuts - Incl Copra,1142.857143,1142.857143,0,0,1,0,0
BEN,Coconuts - Incl Copra,20000,18000,0,2000,0.9,0,0.1
BOL,Coconuts - Incl Copra,714.2857143,714.2857143,0,0,1,0,0
BIH,Coconuts - Incl Copra,428.5714286,428.5714286,0,0,1,0,0
BWA,Coconuts - Incl Copra,428.5714286,428.5714286,0,0,1,0,0
BRA,Coconuts - Incl Copra,2154285.714,1943571.429,0,210714.2857,0.902188329,0,0.097811671
BRN,Coconuts - Incl Copra,1571.428571,1571.428571,0,0,1,0,0
BGR,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
BFA,Coconuts - Incl Copra,571.4285714,571.4285714,0,0,1,0,0
KHM,Coconuts - Incl Copra,60857.14286,60857.14286,0,0,1,0,0
CMR,Coconuts - Incl Copra,5142.857143,5142.857143,0,0,1,0,0
CAN,Coconuts - Incl Copra,33714.28571,33714.28571,0,0,1,0,0
CPV,Coconuts - Incl Copra,6000,3000,0,3000,0.5,0,0.5
CHL,Coconuts - Incl Copra,4428.571429,4428.571429,0,0,1,0,0
CHN,Coconuts - Incl Copra,317571.4286,304285.7143,0,13285.71429,0.958164642,0,0.041835358
COL,Coconuts - Incl Copra,100571.4286,90571.42857,0,10000,0.900568182,0,0.099431818
COM,Coconuts - Incl Copra,74571.42857,70571.42857,0,4000,0.946360153,0,0.053639847
COG,Coconuts - Incl Copra,4000,4000,0,0,1,0,0
COS,Coconuts - Incl Copra,9000,6285.714286,0,2714.285714,0.698412698,0,0.301587302
CUB,Coconuts - Incl Copra,70714.28571,63571.42857,0,7142.857143,0.898989899,0,0.101010101
CYP,Coconuts - Incl Copra,857.1428571,857.1428571,0,0,1,0,0
CZE,Coconuts - Incl Copra,11000,11000,0,0,1,0,0
CIV,Coconuts - Incl Copra,198857.1429,198857.1429,0,0,1,0,0
DNK,Coconuts - Incl Copra,6714.285714,6714.285714,0,0,1,0,0
DMI,Coconuts - Incl Copra,11000,10857.14286,0,142.8571429,0.987012987,0,0.012987013
DOM,Coconuts - Incl Copra,124714.2857,124714.2857,0,0,1,0,0
ECU,Coconuts - Incl Copra,23428.57143,23428.57143,0,0,1,0,0
EGY,Coconuts - Incl Copra,41571.42857,41571.42857,0,0,1,0,0
ELS,Coconuts - Incl Copra,85857.14286,82142.85714,0,3714.285714,0.956738769,0,0.043261231
FJI,Coconuts - Incl Copra,176857.1429,139714.2857,0,37142.85714,0.789983845,0,0.210016155
FIN,Coconuts - Incl Copra,1000,1000,0,0,1,0,0
FRA,Coconuts - Incl Copra,34428.57143,34428.57143,0,0,1,0,0
PYF,Coconuts - Incl Copra,77571.42857,65571.42857,0,12000,0.845303867,0,0.154696133
GMB,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
DEU,Coconuts - Incl Copra,292428.5714,291857.1429,0,571.4285714,0.998045921,0,0.001954079
GHA,Coconuts - Incl Copra,309857.1429,247857.1429,0,62000,0.799907792,0,0.200092208
GRC,Coconuts - Incl Copra,4142.857143,3714.285714,0,428.5714286,0.896551724,0,0.103448276
GRD,Coconuts - Incl Copra,7000,5000,0,2000,0.714285714,0,0.285714286
GUA,Coconuts - Incl Copra,16285.71429,16285.71429,0,0,1,0,0
GIN,Coconuts - Incl Copra,22857.14286,22857.14286,0,0,1,0,0
GNB,Coconuts - Incl Copra,44571.42857,44571.42857,0,0,1,0,0
GUY,Coconuts - Incl Copra,75428.57143,44714.28571,0,30714.28571,0.59280303,0,0.40719697
HAI,Coconuts - Incl Copra,27000,22428.57143,0,4571.428571,0.830687831,0,0.169312169
HON,Coconuts - Incl Copra,19857.14286,19857.14286,0,0,1,0,0
HUN,Coconuts - Incl Copra,1428.571429,1428.571429,0,0,1,0,0
IND,Coconuts - Incl Copra,8701571.429,8440142.857,0,261428.5714,0.969956166,0,0.030043834
IDN,Coconuts - Incl Copra,14559428.57,10901714.29,0,3657714.286,0.7487735,0,0.2512265
IRN,Coconuts - Incl Copra,12857.14286,12571.42857,0,285.7142857,0.977777778,0,0.022222222
IRL,Coconuts - Incl Copra,48142.85714,48142.85714,0,0,1,0,0
ISR,Coconuts - Incl Copra,4857.142857,4857.142857,0,0,1,0,0
ITA,Coconuts - Incl Copra,14285.71429,14285.71429,0,0,1,0,0
JAM,Coconuts - Incl Copra,199000,100000,0,99000,0.502512563,0,0.497487437
JPN,Coconuts - Incl Copra,123571.4286,123571.4286,0,0,1,0,0
JOR,Coconuts - Incl Copra,6000,6000,0,0,1,0,0
KEN,Coconuts - Incl Copra,63285.71429,59142.85714,0,4142.857143,0.934537246,0,0.065462754
KIR,Coconuts - Incl Copra,50714.28571,13428.57143,0,37285.71429,0.264788732,0,0.735211268
KWT,Coconuts - Incl Copra,3285.714286,3285.714286,0,0,1,0,0
LVA,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
LBN,Coconuts - Incl Copra,2857.142857,2857.142857,0,0,1,0,0
LBR,Coconuts - Incl Copra,7000,6000,0,1000,0.857142857,0,0.142857143
LTU,Coconuts - Incl Copra,1000,1000,0,0,1,0,0
MDG,Coconuts - Incl Copra,84000,80000,0,4000,0.952380952,0,0.047619048
MYS,Coconuts - Incl Copra,774857.1429,704571.4286,0,70285.71429,0.909292035,0,0.090707965
MDV,Coconuts - Incl Copra,19428.57143,19428.57143,0,0,1,0,0
MUS,Coconuts - Incl Copra,4714.285714,3714.285714,0,1000,0.787878788,0,0.212121212
MEX,Coconuts - Incl Copra,1134142.857,1126428.571,0,7714.285714,0.993198136,0,0.006801864
MAR,Coconuts - Incl Copra,6000,6000,0,0,1,0,0
MOZ,Coconuts - Incl Copra,334285.7143,334285.7143,0,0,1,0,0
MMR,Coconuts - Incl Copra,287000,278285.7143,0,8714.285714,0.969636635,0,0.030363365
NAM,Coconuts - Incl Copra,714.2857143,714.2857143,0,0,1,0,0
NPL,Coconuts - Incl Copra,3857.142857,3857.142857,0,0,1,0,0
NLD,Coconuts - Incl Copra,49428.57143,49428.57143,0,0,1,0,0
NCL,Coconuts - Incl Copra,15571.42857,7142.857143,0,8428.571429,0.458715596,0,0.541284404
NZL,Coconuts - Incl Copra,8857.142857,8857.142857,0,0,1,0,0
NIC,Coconuts - Incl Copra,4571.428571,4571.428571,0,0,1,0,0
NER,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
NGA,Coconuts - Incl Copra,162285.7143,150857.1429,0,11428.57143,0.929577465,0,0.070422535
NOR,Coconuts - Incl Copra,2857.142857,2857.142857,0,0,1,0,0
PAK,Coconuts - Incl Copra,81142.85714,81142.85714,0,0,1,0,0
PAN,Coconuts - Incl Copra,15142.85714,10142.85714,0,5000,0.669811321,0,0.330188679
PRY,Coconuts - Incl Copra,285.7142857,285.7142857,0,0,1,0,0
PER,Coconuts - Incl Copra,21714.28571,11142.85714,0,10571.42857,0.513157895,0,0.486842105
PHL,Coconuts - Incl Copra,11652571.43,8157387.117,1189184.311,2306000,0.700050385,0.102053381,0.197896234
POL,Coconuts - Incl Copra,35285.71429,35285.71429,0,0,1,0,0
PRT,Coconuts - Incl Copra,11285.71429,11285.71429,0,0,1,0,0
KOR,Coconuts - Incl Copra,2142.857143,2142.857143,0,0,1,0,0
ROM,Coconuts - Incl Copra,3285.714286,3142.857143,0,142.8571429,0.956521739,0,0.043478261
RUS,Coconuts - Incl Copra,22714.28571,22571.42857,0,142.8571429,0.993710692,0,0.006289308
KNA,Coconuts - Incl Copra,1285.714286,1285.714286,0,0,1,0,0
STL,Coconuts - Incl Copra,15428.57143,14285.71429,0,1142.857143,0.925925926,0,0.074074074
VCT,Coconuts - Incl Copra,3571.428571,3571.428571,0,0,1,0,0
WSM,Coconuts - Incl Copra,110857.1429,83142.85714,0,27714.28571,0.75,0,0.25
STP,Coconuts - Incl Copra,25428.57143,20285.71429,0,5142.857143,0.797752809,0,0.202247191
SAU,Coconuts - Incl Copra,17571.42857,17571.42857,0,0,1,0,0
SEN,Coconuts - Incl Copra,6142.857143,6142.857143,0,0,1,0,0
SYC,Coconuts - Incl Copra,3285.714286,3285.714286,0,0,1,0,0
SLE,Coconuts - Incl Copra,2000,2000,0,0,1,0,0
SVK,Coconuts - Incl Copra,2285.714286,2285.714286,0,0,1,0,0
SVN,Coconuts - Incl Copra,428.5714286,428.5714286,0,0,1,0,0
SLB,Coconuts - Incl Copra,205142.8571,85000,0,120142.8571,0.414345404,0,0.585654596
ZAF,Coconuts - Incl Copra,24714.28571,24714.28571,0,0,1,0,0
ESP,Coconuts - Incl Copra,20000,20000,0,0,1,0,0
LKA,Coconuts - Incl Copra,1680857.143,1498000,0,182857.1429,0.891211967,0,0.108788033
SUR,Coconuts - Incl Copra,9285.714286,9285.714286,0,0,1,0,0
SWZ,Coconuts - Incl Copra,142.8571429,142.8571429,0,0,1,0,0
SWE,Coconuts - Incl Copra,12857.14286,12857.14286,0,0,1,0,0
CHE,Coconuts - Incl Copra,5142.857143,5142.857143,0,0,1,0,0
SYR,Coconuts - Incl Copra,10714.28571,10714.28571,0,0,1,0,0
THA,Coconuts - Incl Copra,1519571.429,1440428.571,0,79142.85714,0.947917646,0,0.052082354
TGO,Coconuts - Incl Copra,14714.28571,13714.28571,0,1000,0.932038835,0,0.067961165
TRI,Coconuts - Incl Copra,25285.71429,25285.71429,0,0,1,0,0
TUN,Coconuts - Incl Copra,285.7142857,285.7142857,0,0,1,0,0
TUR,Coconuts - Incl Copra,13857.14286,13857.14286,0,0,1,0,0
UKR,Coconuts - Incl Copra,2428.571429,2428.571429,0,0,1,0,0
ARE,Coconuts - Incl Copra,53857.14286,22714.28571,0,31142.85714,0.421750663,0,0.578249337
GBR,Coconuts - Incl Copra,116000,111285.7143,0,4714.285714,0.959359606,0,0.040640394
TZA,Coconuts - Incl Copra,362571.4286,326285.7143,0,36285.71429,0.899921198,0,0.100078802
USA,Coconuts - Incl Copra,210142.8571,201285.7143,0,8857.142857,0.957851801,0,0.042148199
URY,Coconuts - Incl Copra,3428.571429,3428.571429,0,0,1,0,0
VUT,Coconuts - Incl Copra,148000,59142.85714,0,88857.14286,0.3996139,0,0.6003861
VEN,Coconuts - Incl Copra,134142.8571,100000,0,34142.85714,0.745473908,0,0.254526092
VNM,Coconuts - Incl Copra,920714.2857,920714.2857,0,0,1,0,0
YEM,Coconuts - Incl Copra,1428.571429,1428.571429,0,0,1,0,0
ZWE,Coconuts - Incl Copra,285.7142857,0,0,285.7142857,0,0,1
ALB,Coffee,2714.285714,2714.285714,0,0,1,0,0
DZA,Coffee,96142.85714,96142.85714,0,0,1,0,0
AGO,Coffee,1285.714286,1285.714286,0,0,1,0,0
ARG,Coffee,37857.14286,37857.14286,0,0,1,0,0
ARM,Coffee,7714.285714,7714.285714,0,0,1,0,0
AUS,Coffee,59428.57143,59428.57143,0,0,1,0,0
AUT,Coffee,56857.14286,56857.14286,0,0,1,0,0
BHA,Coffee,714.2857143,714.2857143,0,0,1,0,0
BGD,Coffee,571.4285714,571.4285714,0,0,1,0,0
BAR,Coffee,428.5714286,428.5714286,0,0,1,0,0
BLR,Coffee,1714.285714,1714.285714,0,0,1,0,0
BEL,Coffee,25428.57143,25428.57143,0,0,1,0,0
BZE,Coffee,857.1428571,857.1428571,0,0,1,0,0
BEN,Coffee,142.8571429,142.8571429,0,0,1,0,0
BOL,Coffee,21714.28571,21714.28571,0,0,1,0,0
BIH,Coffee,3142.857143,3142.857143,0,0,1,0,0
BWA,Coffee,1857.142857,1857.142857,0,0,1,0,0
BRA,Coffee,507142.8571,507142.8571,0,0,1,0,0
BRN,Coffee,1000,1000,0,0,1,0,0
BGR,Coffee,20000,20000,0,0,1,0,0
BFA,Coffee,1428.571429,1428.571429,0,0,1,0,0
KHM,Coffee,1142.857143,1142.857143,0,0,1,0,0
CMR,Coffee,16142.85714,5428.571429,0,10714.28571,0.336283186,0,0.663716814
CAN,Coffee,140285.7143,140285.7143,0,0,1,0,0
CPV,Coffee,857.1428571,857.1428571,0,0,1,0,0
CAF,Coffee,4857.142857,4285.714286,0,571.4285714,0.882352941,0,0.117647059
CHL,Coffee,7285.714286,7285.714286,0,0,1,0,0
CHN,Coffee,32714.28571,32714.28571,0,0,1,0,0
COL,Coffee,58714.28571,51857.14286,0,6857.142857,0.883211679,0,0.116788321
COG,Coffee,285.7142857,285.7142857,0,0,1,0,0
COS,Coffee,19428.57143,17857.14286,0,1571.428571,0.919117647,0,0.080882353
HRV,Coffee,19285.71429,19285.71429,0,0,1,0,0
CUB,Coffee,14000,13285.71429,0,714.2857143,0.948979592,0,0.051020408
CYP,Coffee,3428.571429,3428.571429,0,0,1,0,0
CZE,Coffee,37142.85714,37142.85714,0,0,1,0,0
CIV,Coffee,27571.42857,26000,0,1571.428571,0.943005181,0,0.056994819
PRK,Coffee,2428.571429,2428.571429,0,0,1,0,0
ZAR,Coffee,27285.71429,6571.428571,0,20714.28571,0.240837696,0,0.759162304
DNK,Coffee,48285.71429,48285.71429,0,0,1,0,0
DJI,Coffee,285.7142857,0,0,285.7142857,0,0,1
DOM,Coffee,28428.57143,28428.57143,0,0,1,0,0
ECU,Coffee,55714.28571,48142.85714,0,7571.428571,0.864102564,0,0.135897436
EGY,Coffee,7571.428571,7571.428571,0,0,1,0,0
ELS,Coffee,11571.42857,9571.428571,0,2000,0.827160494,0,0.172839506
EST,Coffee,6142.857143,6142.857143,0,0,1,0,0
ETH,Coffee,84142.85714,79285.71429,0,4857.142857,0.942275042,0,0.057724958
FIN,Coffee,57714.28571,57714.28571,0,0,1,0,0
FRA,Coffee,329714.2857,329714.2857,0,0,1,0,0
PYF,Coffee,1000,1000,0,0,1,0,0
GAB,Coffee,428.5714286,428.5714286,0,0,1,0,0
GEO,Coffee,3000,3000,0,0,1,0,0
DEU,Coffee,560857.1429,560857.1429,0,0,1,0,0
GHA,Coffee,285.7142857,285.7142857,0,0,1,0,0
GRC,Coffee,44714.28571,43428.57143,0,1285.714286,0.971246006,0,0.028753994
GUA,Coffee,24428.57143,23142.85714,0,1285.714286,0.947368421,0,0.052631579
GIN,Coffee,7142.857143,7142.857143,0,0,1,0,0
HAI,Coffee,23857.14286,22857.14286,0,1000,0.958083832,0,0.041916168
HON,Coffee,36142.85714,32428.57143,0,3714.285714,0.897233202,0,0.102766798
HUN,Coffee,34857.14286,34857.14286,0,0,1,0,0
ISL,Coffee,2571.428571,2571.428571,0,0,1,0,0
IND,Coffee,53714.28571,49714.28571,0,4000,0.925531915,0,0.074468085
IDN,Coffee,230571.4286,207714.2857,0,22857.14286,0.90086741,0,0.09913259
IRN,Coffee,142.8571429,142.8571429,0,0,1,0,0
IRL,Coffee,7571.428571,7571.428571,0,0,1,0,0
ISR,Coffee,24714.28571,24714.28571,0,0,1,0,0
ITA,Coffee,303571.4286,303571.4286,0,0,1,0,0
JAM,Coffee,857.1428571,857.1428571,0,0,1,0,0
JPN,Coffee,423714.2857,423714.2857,0,0,1,0,0
JOR,Coffee,7428.571429,7428.571429,0,0,1,0,0
KAZ,Coffee,3857.142857,3857.142857,0,0,1,0,0
KEN,Coffee,6571.428571,6571.428571,0,0,1,0,0
KIR,Coffee,142.8571429,142.8571429,0,0,1,0,0
KWT,Coffee,3285.714286,3285.714286,0,0,1,0,0
KGZ,Coffee,142.8571429,142.8571429,0,0,1,0,0
LAO,Coffee,7571.428571,7571.428571,0,0,1,0,0
LVA,Coffee,9000,9000,0,0,1,0,0
LBN,Coffee,17714.28571,17714.28571,0,0,1,0,0
LBR,Coffee,2857.142857,2857.142857,0,0,1,0,0
LBY,Coffee,2714.285714,2714.285714,0,0,1,0,0
LTU,Coffee,11000,11000,0,0,1,0,0
LUX,Coffee,3142.857143,3142.857143,0,0,1,0,0
MDG,Coffee,47857.14286,41571.42857,0,6285.714286,0.868656716,0,0.131343284
MYS,Coffee,15857.14286,15142.85714,0,714.2857143,0.954954955,0,0.045045045
MDV,Coffee,428.5714286,428.5714286,0,0,1,0,0
MLI,Coffee,1428.571429,1428.571429,0,0,1,0,0
MLT,Coffee,1142.857143,1142.857143,0,0,1,0,0
MUS,Coffee,1000,1000,0,0,1,0,0
MEX,Coffee,107142.8571,97285.71429,0,9857.142857,0.908,0,0.092
MNG,Coffee,571.4285714,571.4285714,0,0,1,0,0
MAR,Coffee,25285.71429,25285.71429,0,0,1,0,0
MOZ,Coffee,1285.714286,1285.714286,0,0,1,0,0
MMR,Coffee,6857.142857,6857.142857,0,0,1,0,0
NAM,Coffee,1285.714286,1285.714286,0,0,1,0,0
NLD,Coffee,137714.2857,137714.2857,0,0,1,0,0
ANT,Coffee,571.4285714,571.4285714,0,0,1,0,0
NCL,Coffee,714.2857143,714.2857143,0,0,1,0,0
NZL,Coffee,12000,12000,0,0,1,0,0
NIC,Coffee,14428.57143,13428.57143,0,1000,0.930693069,0,0.069306931
NER,Coffee,571.4285714,571.4285714,0,0,1,0,0
NGA,Coffee,5428.571429,5428.571429,0,0,1,0,0
NOR,Coffee,42571.42857,42571.42857,0,0,1,0,0
PAN,Coffee,4714.285714,4714.285714,0,0,1,0,0
PRY,Coffee,4714.285714,4714.285714,0,0,1,0,0
PER,Coffee,40428.57143,36857.14286,0,3571.428571,0.911660777,0,0.088339223
PHL,Coffee,129142.8571,123000,0,6142.857143,0.952433628,0,0.047566372
POL,Coffee,102857.1429,102857.1429,0,0,1,0,0
PRT,Coffee,41000,41000,0,0,1,0,0
KOR,Coffee,76571.42857,76571.42857,0,0,1,0,0
MDA,Coffee,857.1428571,857.1428571,0,0,1,0,0
ROM,Coffee,38714.28571,38714.28571,0,0,1,0,0
RUS,Coffee,221285.7143,221285.7143,0,0,1,0,0
RWA,Coffee,1428.571429,0,0,1428.571429,0,0,1
WSM,Coffee,285.7142857,285.7142857,0,0,1,0,0
SAU,Coffee,21857.14286,21857.14286,0,0,1,0,0
SEN,Coffee,2142.857143,2142.857143,0,0,1,0,0
SRM,Coffee,29857.14286,29857.14286,0,0,1,0,0
SLE,Coffee,17000,5142.857143,0,11857.14286,0.302521008,0,0.697478992
SVK,Coffee,17000,17000,0,0,1,0,0
SVN,Coffee,11571.42857,11571.42857,0,0,1,0,0
ZAF,Coffee,15857.14286,15857.14286,0,0,1,0,0
ESP,Coffee,170857.1429,149428.5714,0,21428.57143,0.87458194,0,0.12541806
LKA,Coffee,9857.142857,9857.142857,0,0,1,0,0
SDN,Coffee,9000,9000,0,0,1,0,0
SWZ,Coffee,857.1428571,857.1428571,0,0,1,0,0
SWE,Coffee,87714.28571,87714.28571,0,0,1,0,0
CHE,Coffee,47714.28571,47714.28571,0,0,1,0,0
SYR,Coffee,19142.85714,19142.85714,0,0,1,0,0
THA,Coffee,26428.57143,26428.57143,0,0,1,0,0
MKD,Coffee,4428.571429,4428.571429,0,0,1,0,0
TGO,Coffee,4142.857143,3857.142857,0,285.7142857,0.931034483,0,0.068965517
TRI,Coffee,1857.142857,1857.142857,0,0,1,0,0
TUN,Coffee,11285.71429,11285.71429,0,0,1,0,0
TUR,Coffee,19285.71429,19285.71429,0,0,1,0,0
UGA,Coffee,19000,19000,0,0,1,0,0
UKR,Coffee,20857.14286,20857.14286,0,0,1,0,0
ARE,Coffee,9285.714286,6857.142857,0,2428.571429,0.738461538,0,0.261538462
GBR,Coffee,144714.2857,144714.2857,0,0,1,0,0
TZA,Coffee,4142.857143,4142.857143,0,0,1,0,0
USA,Coffee,1141285.714,1141285.714,0,0,1,0,0
URY,Coffee,3000,3000,0,0,1,0,0
VEN,Coffee,65000,64000,0,1000,0.984615385,0,0.015384615
VNM,Coffee,18714.28571,18714.28571,0,0,1,0,0
YEM,Coffee,7571.428571,7571.428571,0,0,1,0,0
ZMB,Coffee,1000,1000,0,0,1,0,0
ZWE,Coffee,3857.142857,3857.142857,0,0,1,0,0
AGO,Cottonseed,3857.142857,1504.285714,2352.857143,0,0.39,0.61,0
ARG,Cottonseed,258714.2857,72372.85714,113198.5714,73142.85714,0.279740475,0.437542794,0.282716731
AUS,Cottonseed,508142.8571,198175.7143,309967.1429,0,0.39,0.61,0
AZE,Cottonseed,57571.42857,14374.28571,43197.14286,0,0.249677419,0.750322581,0
BGD,Cottonseed,27000,10195.71429,15947.14286,857.1428571,0.377619048,0.590634921,0.031746032
BEN,Cottonseed,108285.7143,27690,43310,37285.71429,0.255712401,0.399960422,0.344327177
BOL,Cottonseed,37000,14430,22570,0,0.39,0.61,0
BWA,Cottonseed,1428.571429,557.1428571,871.4285714,0,0.39,0.61,0
BRA,Cottonseed,1096000,378467.1429,591961.4286,125571.4286,0.345316736,0.540110792,0.114572471
BGR,Cottonseed,285.7142857,111.4285714,174.2857143,0,0.39,0.61,0
BFA,Cottonseed,170142.8571,66355.71429,103787.1429,0,0.39,0.61,0
BDI,Cottonseed,1142.857143,445.7142857,697.1428571,0,0.39,0.61,0
CMR,Cottonseed,92142.85714,33874.28571,52982.85714,5285.714286,0.367627907,0.575007752,0.057364341
CAN,Cottonseed,4285.714286,0,0,4285.714286,0,0,1
CAF,Cottonseed,13000,4067.142857,6361.428571,2571.428571,0.312857143,0.489340659,0.197802198
TCD,Cottonseed,101571.4286,39334.28571,61522.85714,714.2857143,0.387257384,0.605710267,0.007032349
CHL,Cottonseed,7857.142857,0,0,7857.142857,0,0,1
CHN,Cottonseed,8997428.571,3005507.143,5620921.429,371000,0.334040678,0.624725318,0.041234003
COL,Cottonseed,61428.57143,20280,31720,9428.571429,0.330139535,0.516372093,0.153488372
COS,Cottonseed,428.5714286,167.1428571,261.4285714,0,0.39,0.61,0
CZE,Cottonseed,571.4285714,0,0,571.4285714,0,0,1
CIV,Cottonseed,172714.2857,67358.57143,105355.7143,0,0.39,0.61,0
PRK,Cottonseed,22714.28571,8858.571429,13855.71429,0,0.39,0.61,0
ZAR,Cottonseed,15000,5850,9150,0,0.39,0.61,0
DNK,Cottonseed,142.8571429,0,0,142.8571429,0,0,1
ECU,Cottonseed,4428.571429,1727.142857,2701.428571,0,0.39,0.61,0
EGY,Cottonseed,391142.8571,139452.8571,218118.5714,33571.42857,0.356526662,0.557644266,0.085829072
ELS,Cottonseed,1000,390,610,0,0.39,0.61,0
ETH,Cottonseed,29285.71429,11421.42857,17864.28571,0,0.39,0.61,0
FIN,Cottonseed,142.8571429,0,0,142.8571429,0,0,1
FRA,Cottonseed,857.1428571,334.2857143,522.8571429,0,0.39,0.61,0
GMB,Cottonseed,142.8571429,0,0,142.8571429,0,0,1
GHA,Cottonseed,3142.857143,0,0,3142.857143,0,0,1
GRC,Cottonseed,490714.2857,177784.2857,278072.8571,34857.14286,0.362296943,0.566669578,0.071033479
GUA,Cottonseed,1571.428571,501.4285714,1070,0,0.319090909,0.680909091,0
GIN,Cottonseed,7571.428571,0,0,7571.428571,0,0,1
GNB,Cottonseed,1000,0,0,1000,0,0,1
HAI,Cottonseed,1000,390,610,0,0.39,0.61,0
HON,Cottonseed,1142.857143,445.7142857,697.1428571,0,0.39,0.61,0
HUN,Cottonseed,2285.714286,891.4285714,1394.285714,0,0.39,0.61,0
IND,Cottonseed,3554285.714,1049657.143,2318342.857,186285.7143,0.295321543,0.652266881,0.052411576
IDN,Cottonseed,17142.85714,6685.714286,10457.14286,0,0.39,0.61,0
IRN,Cottonseed,245714.2857,78557.14286,122871.4286,44285.71429,0.319709302,0.50005814,0.180232558
IRL,Cottonseed,428.5714286,0,0,428.5714286,0,0,1
ISR,Cottonseed,43571.42857,891.4285714,40537.14286,2142.857143,0.020459016,0.930360656,0.049180328
ITA,Cottonseed,120000,44571.42857,75428.57143,0,0.371428571,0.628571429,0
JPN,Cottonseed,166142.8571,12870,153272.8571,0,0.077463457,0.922536543,0
KAZ,Cottonseed,164857.1429,44181.42857,120675.7143,0,0.267998267,0.732001733,0
KEN,Cottonseed,13857.14286,5014.285714,7842.857143,1000,0.36185567,0.565979381,0.072164948
KGZ,Cottonseed,51857.14286,7744.285714,12112.85714,32000,0.149338843,0.233581267,0.61707989
LAO,Cottonseed,9000,3510,5490,0,0.39,0.61,0
MDG,Cottonseed,14857.14286,5794.285714,9062.857143,0,0.39,0.61,0
MWI,Cottonseed,23428.57143,9137.142857,14291.42857,0,0.39,0.61,0
MLI,Cottonseed,158000,54934.28571,85922.85714,17142.85714,0.347685353,0.543815552,0.108499096
MEX,Cottonseed,407571.4286,115774.2857,181082.8571,110714.2857,0.284058885,0.444297231,0.271643884
MAR,Cottonseed,571.4285714,222.8571429,348.5714286,0,0.39,0.61,0
MOZ,Cottonseed,48571.42857,18942.85714,29628.57143,0,0.39,0.61,0
MMR,Cottonseed,97857.14286,36938.57143,57775.71429,3142.857143,0.377474453,0.590408759,0.032116788
NAM,Cottonseed,3000,1170,1830,0,0.39,0.61,0
NPL,Cottonseed,142.8571429,55.71428571,87.14285714,0,0.39,0.61,0
NLD,Cottonseed,285.7142857,0,0,285.7142857,0,0,1
NZL,Cottonseed,714.2857143,0,0,714.2857143,0,0,1
NIC,Cottonseed,1857.142857,724.2857143,1132.857143,0,0.39,0.61,0
NER,Cottonseed,3571.428571,1392.857143,2178.571429,0,0.39,0.61,0
NGA,Cottonseed,201428.5714,42732.85714,66838.57143,91857.14286,0.212148936,0.331822695,0.456028369
PAK,Cottonseed,3307285.714,770528.5714,2065757.143,471000,0.232979137,0.624608008,0.142412855
PRY,Cottonseed,114571.4286,44682.85714,69888.57143,0,0.39,0.61,0
PER,Cottonseed,70857.14286,27634.28571,43222.85714,0,0.39,0.61,0
PHL,Cottonseed,1571.428571,612.8571429,958.5714286,0,0.39,0.61,0
PRT,Cottonseed,10285.71429,3844.285714,6012.857143,428.5714286,0.37375,0.584583333,0.041666667
KOR,Cottonseed,83857.14286,32704.28571,51152.85714,0,0.39,0.61,0
SAU,Cottonseed,25428.57143,9917.142857,15511.42857,0,0.39,0.61,0
SEN,Cottonseed,12857.14286,5014.285714,7842.857143,0,0.39,0.61,0
ZAF,Cottonseed,96285.71429,36437.14286,56991.42857,2857.142857,0.3784273,0.59189911,0.029673591
ESP,Cottonseed,270428.5714,88975.71429,181167.1429,285.7142857,0.329017433,0.669926043,0.001056524
SDN,Cottonseed,113857.1429,42510,66490,4857.142857,0.37336261,0.583977415,0.042659975
SWZ,Cottonseed,2000,724.2857143,1132.857143,142.8571429,0.362142857,0.566428571,0.071428571
SYR,Cottonseed,551142.8571,165638.5714,259075.7143,126428.5714,0.300536547,0.470069984,0.229393468
TJK,Cottonseed,218000,53430,164570,0,0.245091743,0.754908257,0
THA,Cottonseed,19571.42857,7632.857143,11938.57143,0,0.39,0.61,0
TGO,Cottonseed,44714.28571,17104.28571,26752.85714,857.1428571,0.382523962,0.598306709,0.019169329
TUN,Cottonseed,2000,780,1220,0,0.39,0.61,0
TUR,Cottonseed,1334571.429,504437.1429,788991.4286,41142.85714,0.377976879,0.591194605,0.030828516
TKM,Cottonseed,542571.4286,66300,457842.8571,18428.57143,0.122195893,0.843838863,0.033965245
UGA,Cottonseed,36571.42857,14262.85714,22308.57143,0,0.39,0.61,0
ARE,Cottonseed,571.4285714,0,0,571.4285714,0,0,1
GBR,Cottonseed,1428.571429,0,0,1428.571429,0,0,1
