sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
MOZ,Apples,1285.714286,1285.714286,0,0,1,0,0
MMR,Apples,18571.42857,18571.42857,0,0,1,0,0
NAM,Apples,5000,5000,0,0,1,0,0
NPL,Apples,34142.85714,34142.85714,0,0,1,0,0
NLD,Apples,530000,526285.7143,0,3714.285714,0.992991914,0,0.007008086
NCL,Apples,2142.857143,2142.857143,0,0,1,0,0
NZL,Apples,195285.7143,167857.1429,0,27428.57143,0.859546452,0,0.140453548
NIC,Apples,14571.42857,14571.42857,0,0,1,0,0
NGA,Apples,285.7142857,285.7142857,0,0,1,0,0
NOR,Apples,80714.28571,77714.28571,0,3000,0.962831858,0,0.037168142
PAK,Apples,441571.4286,419857.1429,0,21714.28571,0.950824976,0,0.049175024
PAN,Apples,12857.14286,12857.14286,0,0,1,0,0
PRY,Apples,3000,3000,0,0,1,0,0
PER,Apples,165000,111428.5714,0,53571.42857,0.675324675,0,0.324675325
PHL,Apples,62714.28571,60000,0,2714.285714,0.956719818,0,0.043280182
POL,Apples,1213857.143,1041714.286,0,172142.8571,0.858185242,0,0.141814758
PRT,Apples,314428.5714,281000,0,33428.57143,0.893684689,0,0.106315311
KOR,Apples,475857.1429,428857.1429,0,47000,0.901230862,0,0.098769138
MDA,Apples,164571.4286,104595.186,31976.24258,28000,0.635561026,0.194300085,0.170138889
ROM,Apples,492571.4286,479711.3269,10145.81597,2714.285714,0.973891905,0.020597654,0.005510441
RUS,Apples,2100714.286,2087142.857,0,13571.42857,0.993539612,0,0.006460388
KNA,Apples,714.2857143,714.2857143,0,0,1,0,0
STL,Apples,1857.142857,1857.142857,0,0,1,0,0
VCT,Apples,1142.857143,1142.857143,0,0,1,0,0
SAU,Apples,129714.2857,117571.4286,0,12142.85714,0.906387665,0,0.093612335
SEN,Apples,2571.428571,2571.428571,0,0,1,0,0
SRM,Apples,180571.4286,172857.1429,0,7714.285714,0.957278481,0,0.042721519
