"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Average Maximum Temperature","1958M06","Galway","Degrees C",""
"Average Maximum Temperature","1958M06","Kilkenny","Degrees C","16.8"
"Average Maximum Temperature","1958M06","Malin head","Degrees C","14.6"
"Average Maximum Temperature","1958M06","Mullingar","Degrees C","16.9"
"Average Maximum Temperature","1958M06","Roches Point","Degrees C","15.9"
"Average Maximum Temperature","1958M06","Rosslare","Degrees C","15.6"
"Average Maximum Temperature","1958M06","Shannon airport","Degrees C","17.1"
"Average Maximum Temperature","1958M07","Belmullet","Degrees C","17.6"
"Average Maximum Temperature","1958M07","Birr","Degrees C","18.7"
"Average Maximum Temperature","1958M07","Valentia Observatory","Degrees C","17.5"
"Average Maximum Temperature","1958M07","Casement","Degrees C",""
"Average Maximum Temperature","1958M07","Claremorris","Degrees C","18.3"
"Average Maximum Temperature","1958M07","Clones","Degrees C","18.4"
"Average Maximum Temperature","1958M07","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M07","Dublin airport","Degrees C","18"
"Average Maximum Temperature","1958M07","Galway","Degrees C",""
"Average Maximum Temperature","1958M07","Kilkenny","Degrees C","18.9"
"Average Maximum Temperature","1958M07","Malin head","Degrees C","16.5"
"Average Maximum Temperature","1958M07","Mullingar","Degrees C","18.7"
"Average Maximum Temperature","1958M07","Roches Point","Degrees C","17.6"
"Average Maximum Temperature","1958M07","Rosslare","Degrees C","17.1"
"Average Maximum Temperature","1958M07","Shannon airport","Degrees C","18.6"
"Average Maximum Temperature","1958M08","Belmullet","Degrees C","17.4"
"Average Maximum Temperature","1958M08","Birr","Degrees C","18.4"
"Average Maximum Temperature","1958M08","Valentia Observatory","Degrees C","17.7"
"Average Maximum Temperature","1958M08","Casement","Degrees C",""
"Average Maximum Temperature","1958M08","Claremorris","Degrees C","18.1"
"Average Maximum Temperature","1958M08","Clones","Degrees C","17.7"
"Average Maximum Temperature","1958M08","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M08","Dublin airport","Degrees C","18"
"Average Maximum Temperature","1958M08","Galway","Degrees C",""
"Average Maximum Temperature","1958M08","Kilkenny","Degrees C","19"
"Average Maximum Temperature","1958M08","Malin head","Degrees C","17.1"
"Average Maximum Temperature","1958M08","Mullingar","Degrees C","18.3"
