Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1985M08,Malin head,Number,102.0
Total Sunshine Hours,1985M08,Mullingar,Number,99.4
Total Sunshine Hours,1985M08,Roches Point,Number,137.2
Total Sunshine Hours,1985M08,Rosslare,Number,163.3
Total Sunshine Hours,1985M08,Shannon airport,Number,116.7
Total Sunshine Hours,1985M09,Belmullet,Number,83.6
Total Sunshine Hours,1985M09,Birr,Number,87.0
Total Sunshine Hours,1985M09,Valentia Observatory,Number,99.3
Total Sunshine Hours,1985M09,Casement,Number,105.6
Total Sunshine Hours,1985M09,Claremorris,Number,77.4
Total Sunshine Hours,1985M09,Clones,Number,81.3
Total Sunshine Hours,1985M09,Cork airport,Number,107.1
Total Sunshine Hours,1985M09,Dublin airport,Number,121.6
Total Sunshine Hours,1985M09,Galway,Number,105.4
Total Sunshine Hours,1985M09,Kilkenny,Number,100.5
Total Sunshine Hours,1985M09,Malin head,Number,82.2
Total Sunshine Hours,1985M09,Mullingar,Number,93.7
Total Sunshine Hours,1985M09,Roches Point,Number,107.8
Total Sunshine Hours,1985M09,Rosslare,Number,122.3
Total Sunshine Hours,1985M09,Shannon airport,Number,110.4
Total Sunshine Hours,1985M10,Belmullet,Number,82.5
Total Sunshine Hours,1985M10,Birr,Number,65.7
Total Sunshine Hours,1985M10,Valentia Observatory,Number,93.9
Total Sunshine Hours,1985M10,Casement,Number,80.7
Total Sunshine Hours,1985M10,Claremorris,Number,64.4
Total Sunshine Hours,1985M10,Clones,Number,62.9
Total Sunshine Hours,1985M10,Cork airport,Number,69.3
Total Sunshine Hours,1985M10,Dublin airport,Number,74.2
Total Sunshine Hours,1985M10,Galway,Number,88.0
Total Sunshine Hours,1985M10,Kilkenny,Number,62.3
Total Sunshine Hours,1985M10,Malin head,Number,95.0
Total Sunshine Hours,1985M10,Mullingar,Number,75.0
Total Sunshine Hours,1985M10,Roches Point,Number,64.2
Total Sunshine Hours,1985M10,Rosslare,Number,58.9
Total Sunshine Hours,1985M10,Shannon airport,Number,80.4
Total Sunshine Hours,1985M11,Belmullet,Number,75.0
Total Sunshine Hours,1985M11,Birr,Number,73.9
Total Sunshine Hours,1985M11,Valentia Observatory,Number,92.2
Total Sunshine Hours,1985M11,Casement,Number,81.2
Total Sunshine Hours,1985M11,Claremorris,Number,73.6
Total Sunshine Hours,1985M11,Clones,Number,68.8
Total Sunshine Hours,1985M11,Cork airport,Number,92.7
Total Sunshine Hours,1985M11,Dublin airport,Number,95.2
Total Sunshine Hours,1985M11,Galway,Number,89.0
Total Sunshine Hours,1985M11,Kilkenny,Number,92.2
Total Sunshine Hours,1985M11,Malin head,Number,40.4
Total Sunshine Hours,1985M11,Mullingar,Number,76.5
Total Sunshine Hours,1985M11,Roches Point,Number,102.0
Total Sunshine Hours,1985M11,Rosslare,Number,94.1
Total Sunshine Hours,1985M11,Shannon airport,Number,71.3
Total Sunshine Hours,1985M12,Belmullet,Number,28.7
Total Sunshine Hours,1985M12,Birr,Number,45.1
Total Sunshine Hours,1985M12,Valentia Observatory,Number,39.4
Total Sunshine Hours,1985M12,Casement,Number,49.3
Total Sunshine Hours,1985M12,Claremorris,Number,28.2
Total Sunshine Hours,1985M12,Clones,Number,41.8
Total Sunshine Hours,1985M12,Cork airport,Number,46.5
Total Sunshine Hours,1985M12,Dublin airport,Number,51.9
Total Sunshine Hours,1985M12,Galway,Number,49.9
Total Sunshine Hours,1985M12,Kilkenny,Number,41.6
Total Sunshine Hours,1985M12,Malin head,Number,28.6
Total Sunshine Hours,1985M12,Mullingar,Number,48.0
Total Sunshine Hours,1985M12,Roches Point,Number,49.1
Total Sunshine Hours,1985M12,Rosslare,Number,51.3
Total Sunshine Hours,1985M12,Shannon airport,Number,49.1
Total Sunshine Hours,1986M01,Belmullet,Number,34.8
Total Sunshine Hours,1986M01,Birr,Number,42.0
Total Sunshine Hours,1986M01,Valentia Observatory,Number,35.5
Total Sunshine Hours,1986M01,Casement,Number,48.3
Total Sunshine Hours,1986M01,Claremorris,Number,38.4
Total Sunshine Hours,1986M01,Clones,Number,38.5
Total Sunshine Hours,1986M01,Cork airport,Number,62.0
Total Sunshine Hours,1986M01,Dublin airport,Number,66.6
Total Sunshine Hours,1986M01,Galway,Number,52.0
Total Sunshine Hours,1986M01,Kilkenny,Number,58.7
Total Sunshine Hours,1986M01,Malin head,Number,19.8
Total Sunshine Hours,1986M01,Mullingar,Number,56.0
Total Sunshine Hours,1986M01,Roches Point,Number,71.6
Total Sunshine Hours,1986M01,Rosslare,Number,76.1
Total Sunshine Hours,1986M01,Shannon airport,Number,40.7
Total Sunshine Hours,1986M02,Belmullet,Number,102.1
Total Sunshine Hours,1986M02,Birr,Number,81.1
Total Sunshine Hours,1986M02,Valentia Observatory,Number,61.1
Total Sunshine Hours,1986M02,Casement,Number,62.0
Total Sunshine Hours,1986M02,Claremorris,Number,87.4
Total Sunshine Hours,1986M02,Clones,Number,74.8
Total Sunshine Hours,1986M02,Cork airport,Number,39.6
Total Sunshine Hours,1986M02,Dublin airport,Number,65.8
Total Sunshine Hours,1986M02,Galway,Number,91.7
Total Sunshine Hours,1986M02,Kilkenny,Number,79.9
Total Sunshine Hours,1986M02,Malin head,Number,68.0
Total Sunshine Hours,1986M02,Mullingar,Number,79.4
Total Sunshine Hours,1986M02,Roches Point,Number,39.4
Total Sunshine Hours,1986M02,Rosslare,Number,72.3
Total Sunshine Hours,1986M02,Shannon airport,Number,80.8
Total Sunshine Hours,1986M03,Belmullet,Number,104.1
Total Sunshine Hours,1986M03,Birr,Number,101.5
Total Sunshine Hours,1986M03,Valentia Observatory,Number,83.7
Total Sunshine Hours,1986M03,Casement,Number,121.4
Total Sunshine Hours,1986M03,Claremorris,Number,97.7
Total Sunshine Hours,1986M03,Clones,Number,118.9
Total Sunshine Hours,1986M03,Cork airport,Number,124.6
Total Sunshine Hours,1986M03,Dublin airport,Number,128.8
Total Sunshine Hours,1986M03,Galway,Number,119.9
Total Sunshine Hours,1986M03,Kilkenny,Number,118.7
Total Sunshine Hours,1986M03,Malin head,Number,105.1
Total Sunshine Hours,1986M03,Mullingar,Number,118.2
Total Sunshine Hours,1986M03,Roches Point,Number,129.7
Total Sunshine Hours,1986M03,Rosslare,Number,134.6
Total Sunshine Hours,1986M03,Shannon airport,Number,116.0
Total Sunshine Hours,1986M04,Belmullet,Number,180.0
Total Sunshine Hours,1986M04,Birr,Number,150.6
Total Sunshine Hours,1986M04,Valentia Observatory,Number,185.3
Total Sunshine Hours,1986M04,Casement,Number,140.7
Total Sunshine Hours,1986M04,Claremorris,Number,137.2
Total Sunshine Hours,1986M04,Clones,Number,153.4
Total Sunshine Hours,1986M04,Cork airport,Number,180.3
Total Sunshine Hours,1986M04,Dublin airport,Number,159.5
Total Sunshine Hours,1986M04,Galway,Number,177.4
Total Sunshine Hours,1986M04,Kilkenny,Number,157.0
Total Sunshine Hours,1986M04,Malin head,Number,181.2
Total Sunshine Hours,1986M04,Mullingar,Number,166.3
Total Sunshine Hours,1986M04,Roches Point,Number,181.3
Total Sunshine Hours,1986M04,Rosslare,Number,176.2
Total Sunshine Hours,1986M04,Shannon airport,Number,167.0
Total Sunshine Hours,1986M05,Belmullet,Number,157.6
Total Sunshine Hours,1986M05,Birr,Number,135.0
Total Sunshine Hours,1986M05,Valentia Observatory,Number,147.9
Total Sunshine Hours,1986M05,Casement,Number,176.4
Total Sunshine Hours,1986M05,Claremorris,Number,112.3
Total Sunshine Hours,1986M05,Clones,Number,147.4
Total Sunshine Hours,1986M05,Cork airport,Number,156.8
Total Sunshine Hours,1986M05,Dublin airport,Number,174.6
Total Sunshine Hours,1986M05,Galway,Number,161.2
Total Sunshine Hours,1986M05,Kilkenny,Number,148.4
Total Sunshine Hours,1986M05,Malin head,Number,143.4
Total Sunshine Hours,1986M05,Mullingar,Number,164.5
Total Sunshine Hours,1986M05,Roches Point,Number,179.7
Total Sunshine Hours,1986M05,Rosslare,Number,209.8
Total Sunshine Hours,1986M05,Shannon airport,Number,160.1
Total Sunshine Hours,1986M06,Belmullet,Number,126.7
Total Sunshine Hours,1986M06,Birr,Number,105.2
Total Sunshine Hours,1986M06,Valentia Observatory,Number,142.7
Total Sunshine Hours,1986M06,Casement,Number,164.5
Total Sunshine Hours,1986M06,Claremorris,Number,95.7
Total Sunshine Hours,1986M06,Clones,Number,132.8
Total Sunshine Hours,1986M06,Cork airport,Number,111.3
Total Sunshine Hours,1986M06,Dublin airport,Number,176.6
Total Sunshine Hours,1986M06,Galway,Number,121.6
Total Sunshine Hours,1986M06,Kilkenny,Number,118.7
Total Sunshine Hours,1986M06,Malin head,Number,160.1
Total Sunshine Hours,1986M06,Mullingar,Number,133.3
Total Sunshine Hours,1986M06,Roches Point,Number,121.1
Total Sunshine Hours,1986M06,Rosslare,Number,151.4
Total Sunshine Hours,1986M06,Shannon airport,Number,114.1
Total Sunshine Hours,1986M07,Belmullet,Number,73.2
Total Sunshine Hours,1986M07,Birr,Number,58.7
Total Sunshine Hours,1986M07,Valentia Observatory,Number,63.3
Total Sunshine Hours,1986M07,Casement,Number,84.7
Total Sunshine Hours,1986M07,Claremorris,Number,60.3
Total Sunshine Hours,1986M07,Clones,Number,79.9
Total Sunshine Hours,1986M07,Cork airport,Number,110.6
Total Sunshine Hours,1986M07,Dublin airport,Number,93.4
Total Sunshine Hours,1986M07,Galway,Number,88.1
Total Sunshine Hours,1986M07,Kilkenny,Number,76.3
Total Sunshine Hours,1986M07,Malin head,Number,94.0
Total Sunshine Hours,1986M07,Mullingar,Number,82.9
Total Sunshine Hours,1986M07,Roches Point,Number,101.1
Total Sunshine Hours,1986M07,Rosslare,Number,135.0
Total Sunshine Hours,1986M07,Shannon airport,Number,69.1
Total Sunshine Hours,1986M08,Belmullet,Number,158.3
Total Sunshine Hours,1986M08,Birr,Number,121.1
Total Sunshine Hours,1986M08,Valentia Observatory,Number,144.3
Total Sunshine Hours,1986M08,Casement,Number,130.1
Total Sunshine Hours,1986M08,Claremorris,Number,101.9
Total Sunshine Hours,1986M08,Clones,Number,119.6
Total Sunshine Hours,1986M08,Cork airport,Number,135.4
Total Sunshine Hours,1986M08,Dublin airport,Number,140.3
Total Sunshine Hours,1986M08,Galway,Number,148.4
Total Sunshine Hours,1986M08,Kilkenny,Number,117.6
Total Sunshine Hours,1986M08,Malin head,Number,135.5
Total Sunshine Hours,1986M08,Mullingar,Number,125.7
Total Sunshine Hours,1986M08,Roches Point,Number,148.6
Total Sunshine Hours,1986M08,Rosslare,Number,149.9
Total Sunshine Hours,1986M08,Shannon airport,Number,157.2
Total Sunshine Hours,1986M09,Belmullet,Number,149.2
Total Sunshine Hours,1986M09,Birr,Number,139.3
Total Sunshine Hours,1986M09,Valentia Observatory,Number,142.7
Total Sunshine Hours,1986M09,Casement,Number,180.7
Total Sunshine Hours,1986M09,Claremorris,Number,124.5
Total Sunshine Hours,1986M09,Clones,Number,154.2
Total Sunshine Hours,1986M09,Cork airport,Number,153.2
Total Sunshine Hours,1986M09,Dublin airport,Number,195.4
Total Sunshine Hours,1986M09,Galway,Number,140.1
Total Sunshine Hours,1986M09,Kilkenny,Number,153.9
Total Sunshine Hours,1986M09,Malin head,Number,157.7
Total Sunshine Hours,1986M09,Mullingar,Number,164.9
Total Sunshine Hours,1986M09,Roches Point,Number,152.5
Total Sunshine Hours,1986M09,Rosslare,Number,162.3
Total Sunshine Hours,1986M09,Shannon airport,Number,148.7
Total Sunshine Hours,1986M10,Belmullet,Number,91.7
Total Sunshine Hours,1986M10,Birr,Number,101.4
Total Sunshine Hours,1986M10,Valentia Observatory,Number,77.0
Total Sunshine Hours,1986M10,Casement,Number,124.7
Total Sunshine Hours,1986M10,Claremorris,Number,72.7
Total Sunshine Hours,1986M10,Clones,Number,93.4
Total Sunshine Hours,1986M10,Cork airport,Number,106.7
Total Sunshine Hours,1986M10,Dublin airport,Number,129.5
Total Sunshine Hours,1986M10,Galway,Number,112.4
Total Sunshine Hours,1986M10,Kilkenny,Number,109.9
Total Sunshine Hours,1986M10,Malin head,Number,84.4
Total Sunshine Hours,1986M10,Mullingar,Number,106.8
Total Sunshine Hours,1986M10,Roches Point,Number,113.2
Total Sunshine Hours,1986M10,Rosslare,Number,123.0
Total Sunshine Hours,1986M10,Shannon airport,Number,91.9
Total Sunshine Hours,1986M11,Belmullet,Number,38.7
Total Sunshine Hours,1986M11,Birr,Number,62.2
Total Sunshine Hours,1986M11,Valentia Observatory,Number,39.1
Total Sunshine Hours,1986M11,Casement,Number,78.1
Total Sunshine Hours,1986M11,Claremorris,Number,49.8
Total Sunshine Hours,1986M11,Clones,Number,67.6
Total Sunshine Hours,1986M11,Cork airport,Number,63.8
Total Sunshine Hours,1986M11,Dublin airport,Number,87.2
Total Sunshine Hours,1986M11,Galway,Number,59.6
Total Sunshine Hours,1986M11,Kilkenny,Number,67.4
Total Sunshine Hours,1986M11,Malin head,Number,42.2
Total Sunshine Hours,1986M11,Mullingar,Number,71.7
Total Sunshine Hours,1986M11,Roches Point,Number,73.5
Total Sunshine Hours,1986M11,Rosslare,Number,77.0
Total Sunshine Hours,1986M11,Shannon airport,Number,51.3
Total Sunshine Hours,1986M12,Belmullet,Number,27.2
Total Sunshine Hours,1986M12,Birr,Number,41.6
Total Sunshine Hours,1986M12,Valentia Observatory,Number,33.9
Total Sunshine Hours,1986M12,Casement,Number,48.6
Total Sunshine Hours,1986M12,Claremorris,Number,27.5
Total Sunshine Hours,1986M12,Clones,Number,36.5
Total Sunshine Hours,1986M12,Cork airport,Number,55.8
Total Sunshine Hours,1986M12,Dublin airport,Number,60.5
Total Sunshine Hours,1986M12,Galway,Number,43.2
Total Sunshine Hours,1986M12,Kilkenny,Number,50.9
Total Sunshine Hours,1986M12,Malin head,Number,20.6
Total Sunshine Hours,1986M12,Mullingar,Number,50.1
Total Sunshine Hours,1986M12,Roches Point,Number,58.4
Total Sunshine Hours,1986M12,Rosslare,Number,68.2
Total Sunshine Hours,1986M12,Shannon airport,Number,43.1
Total Sunshine Hours,1987M01,Belmullet,Number,69.8
Total Sunshine Hours,1987M01,Birr,Number,46.9
Total Sunshine Hours,1987M01,Valentia Observatory,Number,47.1
Total Sunshine Hours,1987M01,Casement,Number,42.1
Total Sunshine Hours,1987M01,Claremorris,Number,41.1
Total Sunshine Hours,1987M01,Clones,Number,35.9
Total Sunshine Hours,1987M01,Cork airport,Number,30.6
Total Sunshine Hours,1987M01,Dublin airport,Number,44.4
Total Sunshine Hours,1987M01,Galway,Number,66.6
Total Sunshine Hours,1987M01,Kilkenny,Number,40.4
Total Sunshine Hours,1987M01,Malin head,Number,44.7
Total Sunshine Hours,1987M01,Mullingar,Number,44.7
Total Sunshine Hours,1987M01,Roches Point,Number,31.7
Total Sunshine Hours,1987M01,Rosslare,Number,45.0
Total Sunshine Hours,1987M01,Shannon airport,Number,55.1
Total Sunshine Hours,1987M02,Belmullet,Number,64.4
Total Sunshine Hours,1987M02,Birr,Number,60.1
Total Sunshine Hours,1987M02,Valentia Observatory,Number,63.8
Total Sunshine Hours,1987M02,Casement,Number,64.3
Total Sunshine Hours,1987M02,Claremorris,Number,52.7
Total Sunshine Hours,1987M02,Clones,Number,64.4
Total Sunshine Hours,1987M02,Cork airport,Number,67.0
Total Sunshine Hours,1987M02,Dublin airport,Number,68.4
Total Sunshine Hours,1987M02,Galway,Number,61.5
Total Sunshine Hours,1987M02,Kilkenny,Number,58.0
Total Sunshine Hours,1987M02,Malin head,Number,81.3
Total Sunshine Hours,1987M02,Mullingar,Number,72.2
Total Sunshine Hours,1987M02,Roches Point,Number,66.3
Total Sunshine Hours,1987M02,Rosslare,Number,65.7
Total Sunshine Hours,1987M02,Shannon airport,Number,59.4
Total Sunshine Hours,1987M03,Belmullet,Number,87.9
Total Sunshine Hours,1987M03,Birr,Number,73.6
Total Sunshine Hours,1987M03,Valentia Observatory,Number,85.5
Total Sunshine Hours,1987M03,Casement,Number,91.3
Total Sunshine Hours,1987M03,Claremorris,Number,69.5
Total Sunshine Hours,1987M03,Clones,Number,73.4
Total Sunshine Hours,1987M03,Cork airport,Number,102.1
Total Sunshine Hours,1987M03,Dublin airport,Number,89.3
Total Sunshine Hours,1987M03,Galway,Number,88.8
Total Sunshine Hours,1987M03,Kilkenny,Number,93.1
Total Sunshine Hours,1987M03,Malin head,Number,81.9
Total Sunshine Hours,1987M03,Mullingar,Number,85.9
Total Sunshine Hours,1987M03,Roches Point,Number,109.8
Total Sunshine Hours,1987M03,Rosslare,Number,102.0
Total Sunshine Hours,1987M03,Shannon airport,Number,92.1
Total Sunshine Hours,1987M04,Belmullet,Number,79.6
Total Sunshine Hours,1987M04,Birr,Number,89.7
Total Sunshine Hours,1987M04,Valentia Observatory,Number,88.7
Total Sunshine Hours,1987M04,Casement,Number,109.9
Total Sunshine Hours,1987M04,Claremorris,Number,75.2
Total Sunshine Hours,1987M04,Clones,Number,83.0
Total Sunshine Hours,1987M04,Cork airport,Number,98.6
Total Sunshine Hours,1987M04,Dublin airport,Number,115.3
Total Sunshine Hours,1987M04,Galway,Number,91.6
Total Sunshine Hours,1987M04,Kilkenny,Number,99.5
Total Sunshine Hours,1987M04,Malin head,Number,95.4
Total Sunshine Hours,1987M04,Mullingar,Number,97.0
Total Sunshine Hours,1987M04,Roches Point,Number,98.7
Total Sunshine Hours,1987M04,Rosslare,Number,136.6
Total Sunshine Hours,1987M04,Shannon airport,Number,96.2
Total Sunshine Hours,1987M05,Belmullet,Number,152.2
Total Sunshine Hours,1987M05,Birr,Number,144.3
Total Sunshine Hours,1987M05,Valentia Observatory,Number,195.6
Total Sunshine Hours,1987M05,Casement,Number,166.0
Total Sunshine Hours,1987M05,Claremorris,Number,124.3
Total Sunshine Hours,1987M05,Clones,Number,166.7
Total Sunshine Hours,1987M05,Cork airport,Number,202.0
Total Sunshine Hours,1987M05,Dublin airport,Number,189.2
Total Sunshine Hours,1987M05,Galway,Number,174.1
Total Sunshine Hours,1987M05,Kilkenny,Number,162.5
Total Sunshine Hours,1987M05,Malin head,Number,179.3
Total Sunshine Hours,1987M05,Mullingar,Number,169.4
Total Sunshine Hours,1987M05,Roches Point,Number,201.3
Total Sunshine Hours,1987M05,Rosslare,Number,194.0
Total Sunshine Hours,1987M05,Shannon airport,Number,178.6
Total Sunshine Hours,1987M06,Belmullet,Number,146.6
Total Sunshine Hours,1987M06,Birr,Number,78.6
Total Sunshine Hours,1987M06,Valentia Observatory,Number,106.3
Total Sunshine Hours,1987M06,Casement,Number,81.2
Total Sunshine Hours,1987M06,Claremorris,Number,100.8
Total Sunshine Hours,1987M06,Clones,Number,85.0
Total Sunshine Hours,1987M06,Cork airport,Number,110.9
Total Sunshine Hours,1987M06,Dublin airport,Number,104.5
Total Sunshine Hours,1987M06,Galway,Number,127.9
Total Sunshine Hours,1987M06,Kilkenny,Number,87.7
Total Sunshine Hours,1987M06,Malin head,Number,174.6
Total Sunshine Hours,1987M06,Mullingar,Number,93.5
Total Sunshine Hours,1987M06,Roches Point,Number,115.4
Total Sunshine Hours,1987M06,Rosslare,Number,126.6
Total Sunshine Hours,1987M06,Shannon airport,Number,100.9
Total Sunshine Hours,1987M07,Belmullet,Number,77.5
Total Sunshine Hours,1987M07,Birr,Number,108.6
Total Sunshine Hours,1987M07,Valentia Observatory,Number,146.6
Total Sunshine Hours,1987M07,Casement,Number,133.6
Total Sunshine Hours,1987M07,Claremorris,Number,70.2
Total Sunshine Hours,1987M07,Clones,Number,109.0
Total Sunshine Hours,1987M07,Cork airport,Number,168.1
Total Sunshine Hours,1987M07,Dublin airport,Number,163.1
Total Sunshine Hours,1987M07,Galway,Number,125.3
Total Sunshine Hours,1987M07,Kilkenny,Number,136.4
Total Sunshine Hours,1987M07,Malin head,Number,85.5
Total Sunshine Hours,1987M07,Mullingar,Number,127.3
Total Sunshine Hours,1987M07,Roches Point,Number,177.2
Total Sunshine Hours,1987M07,Rosslare,Number,194.6
Total Sunshine Hours,1987M07,Shannon airport,Number,125.3
Total Sunshine Hours,1987M08,Belmullet,Number,102.1
Total Sunshine Hours,1987M08,Birr,Number,112.5
Total Sunshine Hours,1987M08,Valentia Observatory,Number,152.2
Total Sunshine Hours,1987M08,Casement,Number,129.1
Total Sunshine Hours,1987M08,Claremorris,Number,101.8
Total Sunshine Hours,1987M08,Clones,Number,110.9
Total Sunshine Hours,1987M08,Cork airport,Number,152.3
Total Sunshine Hours,1987M08,Dublin airport,Number,127.9
Total Sunshine Hours,1987M08,Galway,Number,133.6
Total Sunshine Hours,1987M08,Kilkenny,Number,132.9
Total Sunshine Hours,1987M08,Malin head,Number,108.3
Total Sunshine Hours,1987M08,Mullingar,Number,113.9
Total Sunshine Hours,1987M08,Roches Point,Number,155.2
Total Sunshine Hours,1987M08,Rosslare,Number,171.4
Total Sunshine Hours,1987M08,Shannon airport,Number,138.6
Total Sunshine Hours,1987M09,Belmullet,Number,140.6
Total Sunshine Hours,1987M09,Birr,Number,129.8
Total Sunshine Hours,1987M09,Valentia Observatory,Number,130.9
Total Sunshine Hours,1987M09,Casement,Number,146.1
Total Sunshine Hours,1987M09,Claremorris,Number,103.3
Total Sunshine Hours,1987M09,Clones,Number,134.0
Total Sunshine Hours,1987M09,Cork airport,Number,148.1
Total Sunshine Hours,1987M09,Dublin airport,Number,156.8
Total Sunshine Hours,1987M09,Galway,Number,146.0
Total Sunshine Hours,1987M09,Kilkenny,Number,144.0
Total Sunshine Hours,1987M09,Malin head,Number,142.8
Total Sunshine Hours,1987M09,Mullingar,Number,152.7
Total Sunshine Hours,1987M09,Roches Point,Number,154.5
Total Sunshine Hours,1987M09,Rosslare,Number,173.4
Total Sunshine Hours,1987M09,Shannon airport,Number,133.8
Total Sunshine Hours,1987M10,Belmullet,Number,105.8
Total Sunshine Hours,1987M10,Birr,Number,93.9
Total Sunshine Hours,1987M10,Valentia Observatory,Number,92.3
Total Sunshine Hours,1987M10,Casement,Number,99.2
Total Sunshine Hours,1987M10,Claremorris,Number,85.4
Total Sunshine Hours,1987M10,Clones,Number,97.0
Total Sunshine Hours,1987M10,Cork airport,Number,112.1
Total Sunshine Hours,1987M10,Dublin airport,Number,95.7
Total Sunshine Hours,1987M10,Galway,Number,107.5
Total Sunshine Hours,1987M10,Kilkenny,Number,105.6
Total Sunshine Hours,1987M10,Malin head,Number,118.5
Total Sunshine Hours,1987M10,Mullingar,Number,103.1
Total Sunshine Hours,1987M10,Roches Point,Number,116.5
Total Sunshine Hours,1987M10,Rosslare,Number,119.8
Total Sunshine Hours,1987M10,Shannon airport,Number,89.1
Total Sunshine Hours,1987M11,Belmullet,Number,48.8
Total Sunshine Hours,1987M11,Birr,Number,55.2
Total Sunshine Hours,1987M11,Valentia Observatory,Number,70.2
Total Sunshine Hours,1987M11,Casement,Number,52.7
Total Sunshine Hours,1987M11,Claremorris,Number,43.8
Total Sunshine Hours,1987M11,Clones,Number,48.0
Total Sunshine Hours,1987M11,Cork airport,Number,68.7
Total Sunshine Hours,1987M11,Dublin airport,Number,50.9
Total Sunshine Hours,1987M11,Galway,Number,63.1
Total Sunshine Hours,1987M11,Kilkenny,Number,62.4
Total Sunshine Hours,1987M11,Malin head,Number,47.5
Total Sunshine Hours,1987M11,Mullingar,Number,62.3
Total Sunshine Hours,1987M11,Roches Point,Number,72.6
Total Sunshine Hours,1987M11,Rosslare,Number,72.2
Total Sunshine Hours,1987M11,Shannon airport,Number,68.0
Total Sunshine Hours,1987M12,Belmullet,Number,42.8
Total Sunshine Hours,1987M12,Birr,Number,29.7
Total Sunshine Hours,1987M12,Valentia Observatory,Number,29.3
Total Sunshine Hours,1987M12,Casement,Number,34.1
Total Sunshine Hours,1987M12,Claremorris,Number,28.1
Total Sunshine Hours,1987M12,Clones,Number,20.6
Total Sunshine Hours,1987M12,Cork airport,Number,20.5
Total Sunshine Hours,1987M12,Dublin airport,Number,34.0
Total Sunshine Hours,1987M12,Galway,Number,42.7
Total Sunshine Hours,1987M12,Kilkenny,Number,29.5
Total Sunshine Hours,1987M12,Malin head,Number,35.6
Total Sunshine Hours,1987M12,Mullingar,Number,42.3
Total Sunshine Hours,1987M12,Roches Point,Number,21.4
Total Sunshine Hours,1987M12,Rosslare,Number,26.6
Total Sunshine Hours,1987M12,Shannon airport,Number,39.8
Total Sunshine Hours,1988M01,Belmullet,Number,32.7
Total Sunshine Hours,1988M01,Birr,Number,49.3
Total Sunshine Hours,1988M01,Valentia Observatory,Number,42.0
Total Sunshine Hours,1988M01,Casement,Number,66.3
Total Sunshine Hours,1988M01,Claremorris,Number,39.8
Total Sunshine Hours,1988M01,Clones,Number,46.2
Total Sunshine Hours,1988M01,Cork airport,Number,66.2
Total Sunshine Hours,1988M01,Dublin airport,Number,68.6
Total Sunshine Hours,1988M01,Galway,Number,39.2
Total Sunshine Hours,1988M01,Kilkenny,Number,64.7
Total Sunshine Hours,1988M01,Malin head,Number,41.7
Total Sunshine Hours,1988M01,Mullingar,Number,58.3
Total Sunshine Hours,1988M01,Roches Point,Number,69.8
Total Sunshine Hours,1988M01,Rosslare,Number,83.5
Total Sunshine Hours,1988M01,Shannon airport,Number,42.3
Total Sunshine Hours,1988M02,Belmullet,Number,58.0
Total Sunshine Hours,1988M02,Birr,Number,57.5
Total Sunshine Hours,1988M02,Valentia Observatory,Number,63.9
Total Sunshine Hours,1988M02,Casement,Number,66.5
Total Sunshine Hours,1988M02,Claremorris,Number,54.9
Total Sunshine Hours,1988M02,Clones,Number,62.3
Total Sunshine Hours,1988M02,Cork airport,Number,80.8
Total Sunshine Hours,1988M02,Dublin airport,Number,81.8
Total Sunshine Hours,1988M02,Galway,Number,63.9
Total Sunshine Hours,1988M02,Kilkenny,Number,73.4
Total Sunshine Hours,1988M02,Malin head,Number,47.9
Total Sunshine Hours,1988M02,Mullingar,Number,63.8
Total Sunshine Hours,1988M02,Roches Point,Number,78.5
Total Sunshine Hours,1988M02,Rosslare,Number,104.1
Total Sunshine Hours,1988M02,Shannon airport,Number,60.2
Total Sunshine Hours,1988M03,Belmullet,Number,78.3
Total Sunshine Hours,1988M03,Birr,Number,69.5
Total Sunshine Hours,1988M03,Valentia Observatory,Number,71.3
Total Sunshine Hours,1988M03,Casement,Number,80.0
Total Sunshine Hours,1988M03,Claremorris,Number,63.6
Total Sunshine Hours,1988M03,Clones,Number,77.7
Total Sunshine Hours,1988M03,Cork airport,Number,88.0
Total Sunshine Hours,1988M03,Dublin airport,Number,101.1
Total Sunshine Hours,1988M03,Galway,Number,84.7
Total Sunshine Hours,1988M03,Kilkenny,Number,84.5
Total Sunshine Hours,1988M03,Malin head,Number,66.6
Total Sunshine Hours,1988M03,Mullingar,Number,86.9
Total Sunshine Hours,1988M03,Roches Point,Number,89.7
Total Sunshine Hours,1988M03,Rosslare,Number,105.2
Total Sunshine Hours,1988M03,Shannon airport,Number,88.6
Total Sunshine Hours,1988M04,Belmullet,Number,119.2
Total Sunshine Hours,1988M04,Birr,Number,132.1
Total Sunshine Hours,1988M04,Valentia Observatory,Number,138.0
Total Sunshine Hours,1988M04,Casement,Number,149.2
Total Sunshine Hours,1988M04,Claremorris,Number,118.9
Total Sunshine Hours,1988M04,Clones,Number,124.0
Total Sunshine Hours,1988M04,Cork airport,Number,109.0
Total Sunshine Hours,1988M04,Dublin airport,Number,158.4
Total Sunshine Hours,1988M04,Galway,Number,129.5
Total Sunshine Hours,1988M04,Kilkenny,Number,127.6
Total Sunshine Hours,1988M04,Malin head,Number,154.0
Total Sunshine Hours,1988M04,Mullingar,Number,145.6
Total Sunshine Hours,1988M04,Roches Point,Number,114.6
Total Sunshine Hours,1988M04,Rosslare,Number,146.3
Total Sunshine Hours,1988M04,Shannon airport,Number,139.8
