Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1958M07,Galway,Number,
Total Sunshine Hours,1958M07,Kilkenny,Number,135.6
Total Sunshine Hours,1958M07,Malin head,Number,185.0
Total Sunshine Hours,1958M07,Mullingar,Number,130.5
Total Sunshine Hours,1958M07,Roches Point,Number,158.9
Total Sunshine Hours,1958M07,Rosslare,Number,165.5
Total Sunshine Hours,1958M07,Shannon airport,Number,136.7
Total Sunshine Hours,1958M08,Belmullet,Number,152.4
Total Sunshine Hours,1958M08,Birr,Number,130.2
Total Sunshine Hours,1958M08,Valentia Observatory,Number,131.3
Total Sunshine Hours,1958M08,Casement,Number,
Total Sunshine Hours,1958M08,Claremorris,Number,120.0
Total Sunshine Hours,1958M08,Clones,Number,102.8
Total Sunshine Hours,1958M08,Cork airport,Number,
Total Sunshine Hours,1958M08,Dublin airport,Number,128.9
Total Sunshine Hours,1958M08,Galway,Number,
Total Sunshine Hours,1958M08,Kilkenny,Number,137.8
Total Sunshine Hours,1958M08,Malin head,Number,135.4
Total Sunshine Hours,1958M08,Mullingar,Number,125.8
Total Sunshine Hours,1958M08,Roches Point,Number,157.1
Total Sunshine Hours,1958M08,Rosslare,Number,153.8
Total Sunshine Hours,1958M08,Shannon airport,Number,136.1
Total Sunshine Hours,1958M09,Belmullet,Number,117.8
Total Sunshine Hours,1958M09,Birr,Number,108.0
Total Sunshine Hours,1958M09,Valentia Observatory,Number,103.3
Total Sunshine Hours,1958M09,Casement,Number,
Total Sunshine Hours,1958M09,Claremorris,Number,81.9
Total Sunshine Hours,1958M09,Clones,Number,95.5
Total Sunshine Hours,1958M09,Cork airport,Number,
Total Sunshine Hours,1958M09,Dublin airport,Number,111.3
Total Sunshine Hours,1958M09,Galway,Number,
Total Sunshine Hours,1958M09,Kilkenny,Number,101.8
Total Sunshine Hours,1958M09,Malin head,Number,106.1
Total Sunshine Hours,1958M09,Mullingar,Number,100.2
Total Sunshine Hours,1958M09,Roches Point,Number,102.8
Total Sunshine Hours,1958M09,Rosslare,Number,131.6
Total Sunshine Hours,1958M09,Shannon airport,Number,111.9
Total Sunshine Hours,1958M10,Belmullet,Number,80.5
Total Sunshine Hours,1958M10,Birr,Number,78.3
Total Sunshine Hours,1958M10,Valentia Observatory,Number,56.0
Total Sunshine Hours,1958M10,Casement,Number,
Total Sunshine Hours,1958M10,Claremorris,Number,65.7
Total Sunshine Hours,1958M10,Clones,Number,80.1
Total Sunshine Hours,1958M10,Cork airport,Number,
Total Sunshine Hours,1958M10,Dublin airport,Number,104.9
Total Sunshine Hours,1958M10,Galway,Number,
Total Sunshine Hours,1958M10,Kilkenny,Number,81.7
Total Sunshine Hours,1958M10,Malin head,Number,79.2
Total Sunshine Hours,1958M10,Mullingar,Number,85.3
Total Sunshine Hours,1958M10,Roches Point,Number,82.8
Total Sunshine Hours,1958M10,Rosslare,Number,113.1
Total Sunshine Hours,1958M10,Shannon airport,Number,79.6
Total Sunshine Hours,1958M11,Belmullet,Number,42.6
Total Sunshine Hours,1958M11,Birr,Number,42.3
Total Sunshine Hours,1958M11,Valentia Observatory,Number,46.0
