,Statistic,Year,Type of Crop,UNIT,VALUE
92,Area under Crops,1990,Total barley,000 Hectares,206.6
93,Area under Crops,1990,Winter barley,000 Hectares,28.7
94,Area under Crops,1990,Spring barley,000 Hectares,178.0
95,Area under Crops,1990,Beans and peas,000 Hectares,3.0
96,Area under Crops,1990,Oilseed rape,000 Hectares,5.4
97,Area under Crops,1990,Potatoes,000 Hectares,24.3
98,Area under Crops,1990,Turnips,000 Hectares,7.1
99,Area under Crops,1990,Sugar beet,000 Hectares,32.3
100,Area under Crops,1990,Fodder beet,000 Hectares,8.5
101,Area under Crops,1990,Kale and field cabbage,000 Hectares,2.0
102,Area under Crops,1991,"Total wheat, oats and barley",000 Hectares,299.6
103,Area under Crops,1991,Total wheat,000 Hectares,85.7
104,Area under Crops,1991,Winter wheat,000 Hectares,66.9
105,Area under Crops,1991,Spring wheat,000 Hectares,18.8
106,Area under Crops,1991,Total oats,000 Hectares,20.6
107,Area under Crops,1991,Winter oats,000 Hectares,11.4
108,Area under Crops,1991,Spring oats,000 Hectares,9.2
109,Area under Crops,1991,Total barley,000 Hectares,193.4
110,Area under Crops,1991,Winter barley,000 Hectares,33.3
111,Area under Crops,1991,Spring barley,000 Hectares,160.1
112,Area under Crops,1991,Beans and peas,000 Hectares,2.8
113,Area under Crops,1991,Oilseed rape,000 Hectares,6.2
114,Area under Crops,1991,Potatoes,000 Hectares,20.5
115,Area under Crops,1991,Turnips,000 Hectares,6.0
116,Area under Crops,1991,Sugar beet,000 Hectares,33.3
117,Area under Crops,1991,Fodder beet,000 Hectares,10.1
118,Area under Crops,1991,Kale and field cabbage,000 Hectares,1.4
119,Area under Crops,1992,"Total wheat, oats and barley",000 Hectares,295.1
120,Area under Crops,1992,Total wheat,000 Hectares,90.6
121,Area under Crops,1992,Winter wheat,000 Hectares,73.3
122,Area under Crops,1992,Spring wheat,000 Hectares,17.3
123,Area under Crops,1992,Total oats,000 Hectares,20.1
124,Area under Crops,1992,Winter oats,000 Hectares,11.6
125,Area under Crops,1992,Spring oats,000 Hectares,8.4
126,Area under Crops,1992,Total barley,000 Hectares,184.4
127,Area under Crops,1992,Winter barley,000 Hectares,40.3
128,Area under Crops,1992,Spring barley,000 Hectares,144.0
129,Area under Crops,1992,Beans and peas,000 Hectares,2.7
130,Area under Crops,1992,Oilseed rape,000 Hectares,5.9
131,Area under Crops,1992,Potatoes,000 Hectares,22.1
132,Area under Crops,1992,Turnips,000 Hectares,5.5
133,Area under Crops,1992,Sugar beet,000 Hectares,31.3
134,Area under Crops,1992,Fodder beet,000 Hectares,11.0
135,Area under Crops,1992,Kale and field cabbage,000 Hectares,1.9
136,Area under Crops,1993,"Total wheat, oats and barley",000 Hectares,280.3
137,Area under Crops,1993,Total wheat,000 Hectares,79.2
138,Area under Crops,1993,Winter wheat,000 Hectares,57.2
139,Area under Crops,1993,Spring wheat,000 Hectares,22.0
140,Area under Crops,1993,Total oats,000 Hectares,20.2
141,Area under Crops,1993,Winter oats,000 Hectares,11.4
142,Area under Crops,1993,Spring oats,000 Hectares,8.8
143,Area under Crops,1993,Total barley,000 Hectares,180.8
144,Area under Crops,1993,Winter barley,000 Hectares,39.4
145,Area under Crops,1993,Spring barley,000 Hectares,141.4
146,Area under Crops,1993,Beans and peas,000 Hectares,6.1
147,Area under Crops,1993,Oilseed rape,000 Hectares,3.4
148,Area under Crops,1993,Potatoes,000 Hectares,21.6
149,Area under Crops,1993,Turnips,000 Hectares,5.2
150,Area under Crops,1993,Sugar beet,000 Hectares,32.2
151,Area under Crops,1993,Fodder beet,000 Hectares,10.9
152,Area under Crops,1993,Kale and field cabbage,000 Hectares,1.8
153,Area under Crops,1994,"Total wheat, oats and barley",000 Hectares,264.7
154,Area under Crops,1994,Total wheat,000 Hectares,74.1
155,Area under Crops,1994,Winter wheat,000 Hectares,56.2
156,Area under Crops,1994,Spring wheat,000 Hectares,17.9
157,Area under Crops,1994,Total oats,000 Hectares,20.9
158,Area under Crops,1994,Winter oats,000 Hectares,13.3
159,Area under Crops,1994,Spring oats,000 Hectares,7.6
160,Area under Crops,1994,Total barley,000 Hectares,169.7
161,Area under Crops,1994,Winter barley,000 Hectares,31.7
162,Area under Crops,1994,Spring barley,000 Hectares,138.0
163,Area under Crops,1994,Beans and peas,000 Hectares,5.6
164,Area under Crops,1994,Oilseed rape,000 Hectares,6.4
165,Area under Crops,1994,Potatoes,000 Hectares,21.4
166,Area under Crops,1994,Turnips,000 Hectares,5.6
167,Area under Crops,1994,Sugar beet,000 Hectares,35.4
168,Area under Crops,1994,Fodder beet,000 Hectares,9.8
169,Area under Crops,1994,Kale and field cabbage,000 Hectares,1.8
170,Area under Crops,1995,"Total wheat, oats and barley",000 Hectares,269.2
171,Area under Crops,1995,Total wheat,000 Hectares,70.7
172,Area under Crops,1995,Winter wheat,000 Hectares,51.8
173,Area under Crops,1995,Spring wheat,000 Hectares,18.9
174,Area under Crops,1995,Total oats,000 Hectares,19.9
