,Statistic,Year,Type of Crop,UNIT,VALUE
457,Crop Yield per Hectare,1988,Fodder beet,Tonnes,63.4
458,Crop Yield per Hectare,1988,Kale and field cabbage,Tonnes,39.0
459,Crop Yield per Hectare,1989,"Total wheat, oats and barley",Tonnes,6.0
460,Crop Yield per Hectare,1989,Total wheat,Tonnes,7.6
461,Crop Yield per Hectare,1989,Winter wheat,Tonnes,8.1
462,Crop Yield per Hectare,1989,Spring wheat,Tonnes,6.2
463,Crop Yield per Hectare,1989,Total oats,Tonnes,6.0
464,Crop Yield per Hectare,1989,Winter oats,Tonnes,7.4
465,Crop Yield per Hectare,1989,Spring oats,Tonnes,4.9
466,Crop Yield per Hectare,1989,Total barley,Tonnes,5.6
467,Crop Yield per Hectare,1989,Winter barley,Tonnes,6.6
468,Crop Yield per Hectare,1989,Spring barley,Tonnes,5.5
469,Crop Yield per Hectare,1989,Beans and peas,Tonnes,0.0
470,Crop Yield per Hectare,1989,Oilseed rape,Tonnes,0.0
471,Crop Yield per Hectare,1989,Potatoes,Tonnes,22.4
472,Crop Yield per Hectare,1989,Turnips,Tonnes,57.6
473,Crop Yield per Hectare,1989,Sugar beet,Tonnes,45.2
474,Crop Yield per Hectare,1989,Fodder beet,Tonnes,54.9
475,Crop Yield per Hectare,1989,Kale and field cabbage,Tonnes,39.5
476,Crop Yield per Hectare,1990,"Total wheat, oats and barley",Tonnes,6.6
477,Crop Yield per Hectare,1990,Total wheat,Tonnes,8.5
478,Crop Yield per Hectare,1990,Winter wheat,Tonnes,9.0
479,Crop Yield per Hectare,1990,Spring wheat,Tonnes,6.7
480,Crop Yield per Hectare,1990,Total oats,Tonnes,6.6
481,Crop Yield per Hectare,1990,Winter oats,Tonnes,7.6
482,Crop Yield per Hectare,1990,Spring oats,Tonnes,5.6
483,Crop Yield per Hectare,1990,Total barley,Tonnes,5.9
484,Crop Yield per Hectare,1990,Winter barley,Tonnes,7.7
485,Crop Yield per Hectare,1990,Spring barley,Tonnes,5.6
486,Crop Yield per Hectare,1990,Beans and peas,Tonnes,4.9
487,Crop Yield per Hectare,1990,Oilseed rape,Tonnes,3.6
488,Crop Yield per Hectare,1990,Potatoes,Tonnes,24.9
489,Crop Yield per Hectare,1990,Turnips,Tonnes,54.8
490,Crop Yield per Hectare,1990,Sugar beet,Tonnes,45.8
491,Crop Yield per Hectare,1990,Fodder beet,Tonnes,65.0
492,Crop Yield per Hectare,1990,Kale and field cabbage,Tonnes,49.5
493,Crop Yield per Hectare,1991,"Total wheat, oats and barley",Tonnes,6.6
494,Crop Yield per Hectare,1991,Total wheat,Tonnes,7.9
495,Crop Yield per Hectare,1991,Winter wheat,Tonnes,8.2
496,Crop Yield per Hectare,1991,Spring wheat,Tonnes,6.7
497,Crop Yield per Hectare,1991,Total oats,Tonnes,7.0
498,Crop Yield per Hectare,1991,Winter oats,Tonnes,7.8
499,Crop Yield per Hectare,1991,Spring oats,Tonnes,5.9
500,Crop Yield per Hectare,1991,Total barley,Tonnes,5.9
501,Crop Yield per Hectare,1991,Winter barley,Tonnes,7.9
502,Crop Yield per Hectare,1991,Spring barley,Tonnes,5.5
503,Crop Yield per Hectare,1991,Beans and peas,Tonnes,4.7
504,Crop Yield per Hectare,1991,Oilseed rape,Tonnes,3.7
505,Crop Yield per Hectare,1991,Potatoes,Tonnes,27.9
506,Crop Yield per Hectare,1991,Turnips,Tonnes,52.5
507,Crop Yield per Hectare,1991,Sugar beet,Tonnes,42.3
508,Crop Yield per Hectare,1991,Fodder beet,Tonnes,68.9
509,Crop Yield per Hectare,1991,Kale and field cabbage,Tonnes,42.2
510,Crop Yield per Hectare,1992,"Total wheat, oats and barley",Tonnes,6.8
511,Crop Yield per Hectare,1992,Total wheat,Tonnes,7.9
512,Crop Yield per Hectare,1992,Winter wheat,Tonnes,8.0
513,Crop Yield per Hectare,1992,Spring wheat,Tonnes,7.4
514,Crop Yield per Hectare,1992,Total oats,Tonnes,6.8
515,Crop Yield per Hectare,1992,Winter oats,Tonnes,7.4
516,Crop Yield per Hectare,1992,Spring oats,Tonnes,6.0
517,Crop Yield per Hectare,1992,Total barley,Tonnes,6.3
518,Crop Yield per Hectare,1992,Winter barley,Tonnes,7.6
519,Crop Yield per Hectare,1992,Spring barley,Tonnes,6.0
520,Crop Yield per Hectare,1992,Beans and peas,Tonnes,5.0
521,Crop Yield per Hectare,1992,Oilseed rape,Tonnes,3.1
522,Crop Yield per Hectare,1992,Potatoes,Tonnes,28.9
523,Crop Yield per Hectare,1992,Turnips,Tonnes,55.5
524,Crop Yield per Hectare,1992,Sugar beet,Tonnes,44.6
525,Crop Yield per Hectare,1992,Fodder beet,Tonnes,70.6
526,Crop Yield per Hectare,1992,Kale and field cabbage,Tonnes,48.8
527,Crop Yield per Hectare,1993,"Total wheat, oats and barley",Tonnes,5.8
528,Crop Yield per Hectare,1993,Total wheat,Tonnes,6.8
529,Crop Yield per Hectare,1993,Winter wheat,Tonnes,6.7
530,Crop Yield per Hectare,1993,Spring wheat,Tonnes,7.1
531,Crop Yield per Hectare,1993,Total oats,Tonnes,6.4
532,Crop Yield per Hectare,1993,Winter oats,Tonnes,7.0
533,Crop Yield per Hectare,1993,Spring oats,Tonnes,5.5
534,Crop Yield per Hectare,1993,Total barley,Tonnes,5.3
535,Crop Yield per Hectare,1993,Winter barley,Tonnes,6.1
536,Crop Yield per Hectare,1993,Spring barley,Tonnes,5.1
537,Crop Yield per Hectare,1993,Beans and peas,Tonnes,4.3
538,Crop Yield per Hectare,1993,Oilseed rape,Tonnes,2.7
539,Crop Yield per Hectare,1993,Potatoes,Tonnes,26.3
540,Crop Yield per Hectare,1993,Turnips,Tonnes,52.3
541,Crop Yield per Hectare,1993,Sugar beet,Tonnes,34.7
542,Crop Yield per Hectare,1993,Fodder beet,Tonnes,54.9
543,Crop Yield per Hectare,1993,Kale and field cabbage,Tonnes,43.0
544,Crop Yield per Hectare,1994,"Total wheat, oats and barley",Tonnes,6.1
545,Crop Yield per Hectare,1994,Total wheat,Tonnes,7.7
546,Crop Yield per Hectare,1994,Winter wheat,Tonnes,8.1
547,Crop Yield per Hectare,1994,Spring wheat,Tonnes,6.4
548,Crop Yield per Hectare,1994,Total oats,Tonnes,6.1
549,Crop Yield per Hectare,1994,Winter oats,Tonnes,6.9
550,Crop Yield per Hectare,1994,Spring oats,Tonnes,4.7
551,Crop Yield per Hectare,1994,Total barley,Tonnes,5.4
552,Crop Yield per Hectare,1994,Winter barley,Tonnes,6.8
553,Crop Yield per Hectare,1994,Spring barley,Tonnes,5.0
554,Crop Yield per Hectare,1994,Beans and peas,Tonnes,4.5
555,Crop Yield per Hectare,1994,Oilseed rape,Tonnes,2.6
556,Crop Yield per Hectare,1994,Potatoes,Tonnes,30.1
557,Crop Yield per Hectare,1994,Turnips,Tonnes,53.1
558,Crop Yield per Hectare,1994,Sugar beet,Tonnes,39.3
559,Crop Yield per Hectare,1994,Fodder beet,Tonnes,59.0
560,Crop Yield per Hectare,1994,Kale and field cabbage,Tonnes,44.5
561,Crop Yield per Hectare,1995,"Total wheat, oats and barley",Tonnes,6.7
562,Crop Yield per Hectare,1995,Total wheat,Tonnes,8.2
563,Crop Yield per Hectare,1995,Winter wheat,Tonnes,8.7
564,Crop Yield per Hectare,1995,Spring wheat,Tonnes,7.0
565,Crop Yield per Hectare,1995,Total oats,Tonnes,6.5
566,Crop Yield per Hectare,1995,Winter oats,Tonnes,7.2
567,Crop Yield per Hectare,1995,Spring oats,Tonnes,5.7
568,Crop Yield per Hectare,1995,Total barley,Tonnes,6.1
569,Crop Yield per Hectare,1995,Winter barley,Tonnes,6.8
570,Crop Yield per Hectare,1995,Spring barley,Tonnes,5.9
571,Crop Yield per Hectare,1995,Beans and peas,Tonnes,4.0
572,Crop Yield per Hectare,1995,Oilseed rape,Tonnes,3.3
573,Crop Yield per Hectare,1995,Potatoes,Tonnes,27.6
574,Crop Yield per Hectare,1995,Turnips,Tonnes,54.1
575,Crop Yield per Hectare,1995,Sugar beet,Tonnes,44.1
576,Crop Yield per Hectare,1995,Fodder beet,Tonnes,66.8
577,Crop Yield per Hectare,1995,Kale and field cabbage,Tonnes,39.0
578,Crop Yield per Hectare,1996,"Total wheat, oats and barley",Tonnes,7.4
579,Crop Yield per Hectare,1996,Total wheat,Tonnes,9.0
580,Crop Yield per Hectare,1996,Winter wheat,Tonnes,9.4
581,Crop Yield per Hectare,1996,Spring wheat,Tonnes,7.5
582,Crop Yield per Hectare,1996,Total oats,Tonnes,7.0
583,Crop Yield per Hectare,1996,Winter oats,Tonnes,7.6
584,Crop Yield per Hectare,1996,Spring oats,Tonnes,6.1
585,Crop Yield per Hectare,1996,Total barley,Tonnes,6.8
586,Crop Yield per Hectare,1996,Winter barley,Tonnes,8.0
587,Crop Yield per Hectare,1996,Spring barley,Tonnes,6.4
588,Crop Yield per Hectare,1996,Beans and peas,Tonnes,4.5
589,Crop Yield per Hectare,1996,Oilseed rape,Tonnes,2.9
590,Crop Yield per Hectare,1996,Potatoes,Tonnes,30.2
591,Crop Yield per Hectare,1996,Turnips,Tonnes,57.8
592,Crop Yield per Hectare,1996,Sugar beet,Tonnes,45.7
593,Crop Yield per Hectare,1996,Fodder beet,Tonnes,73.7
594,Crop Yield per Hectare,1996,Kale and field cabbage,Tonnes,40.8
595,Crop Yield per Hectare,1997,"Total wheat, oats and barley",Tonnes,6.4
596,Crop Yield per Hectare,1997,Total wheat,Tonnes,7.7
597,Crop Yield per Hectare,1997,Winter wheat,Tonnes,8.0
598,Crop Yield per Hectare,1997,Spring wheat,Tonnes,6.8
599,Crop Yield per Hectare,1997,Total oats,Tonnes,6.4
600,Crop Yield per Hectare,1997,Winter oats,Tonnes,7.4
601,Crop Yield per Hectare,1997,Spring oats,Tonnes,5.2
602,Crop Yield per Hectare,1997,Total barley,Tonnes,5.7
603,Crop Yield per Hectare,1997,Winter barley,Tonnes,7.0
604,Crop Yield per Hectare,1997,Spring barley,Tonnes,5.4
605,Crop Yield per Hectare,1997,Beans and peas,Tonnes,4.0
606,Crop Yield per Hectare,1997,Oilseed rape,Tonnes,2.7
607,Crop Yield per Hectare,1997,Potatoes,Tonnes,25.9
608,Crop Yield per Hectare,1997,Turnips,Tonnes,55.0
609,Crop Yield per Hectare,1997,Sugar beet,Tonnes,51.0
610,Crop Yield per Hectare,1997,Fodder beet,Tonnes,66.2
611,Crop Yield per Hectare,1997,Kale and field cabbage,Tonnes,
612,Crop Yield per Hectare,1998,"Total wheat, oats and barley",Tonnes,6.3
613,Crop Yield per Hectare,1998,Total wheat,Tonnes,8.0
614,Crop Yield per Hectare,1998,Winter wheat,Tonnes,8.1
615,Crop Yield per Hectare,1998,Spring wheat,Tonnes,7.7
616,Crop Yield per Hectare,1998,Total oats,Tonnes,6.1
617,Crop Yield per Hectare,1998,Winter oats,Tonnes,6.6
618,Crop Yield per Hectare,1998,Spring oats,Tonnes,5.3
619,Crop Yield per Hectare,1998,Total barley,Tonnes,5.6
620,Crop Yield per Hectare,1998,Winter barley,Tonnes,6.4
621,Crop Yield per Hectare,1998,Spring barley,Tonnes,5.4
622,Crop Yield per Hectare,1998,Beans and peas,Tonnes,5.0
623,Crop Yield per Hectare,1998,Oilseed rape,Tonnes,2.9
624,Crop Yield per Hectare,1998,Potatoes,Tonnes,26.1
625,Crop Yield per Hectare,1998,Turnips,Tonnes,45.3
626,Crop Yield per Hectare,1998,Sugar beet,Tonnes,49.8
627,Crop Yield per Hectare,1998,Fodder beet,Tonnes,64.8
628,Crop Yield per Hectare,1998,Kale and field cabbage,Tonnes,
629,Crop Yield per Hectare,1999,"Total wheat, oats and barley",Tonnes,7.2
630,Crop Yield per Hectare,1999,Total wheat,Tonnes,8.8
631,Crop Yield per Hectare,1999,Winter wheat,Tonnes,9.4
632,Crop Yield per Hectare,1999,Spring wheat,Tonnes,7.8
633,Crop Yield per Hectare,1999,Total oats,Tonnes,6.7
634,Crop Yield per Hectare,1999,Winter oats,Tonnes,7.8
635,Crop Yield per Hectare,1999,Spring oats,Tonnes,6.1
636,Crop Yield per Hectare,1999,Total barley,Tonnes,6.7
637,Crop Yield per Hectare,1999,Winter barley,Tonnes,7.6
638,Crop Yield per Hectare,1999,Spring barley,Tonnes,6.5
639,Crop Yield per Hectare,1999,Beans and peas,Tonnes,4.5
640,Crop Yield per Hectare,1999,Oilseed rape,Tonnes,1.9
641,Crop Yield per Hectare,1999,Potatoes,Tonnes,32.0
642,Crop Yield per Hectare,1999,Turnips,Tonnes,42.0
643,Crop Yield per Hectare,1999,Sugar beet,Tonnes,50.7
644,Crop Yield per Hectare,1999,Fodder beet,Tonnes,70.4
645,Crop Yield per Hectare,1999,Kale and field cabbage,Tonnes,
646,Crop Yield per Hectare,2000,"Total wheat, oats and barley",Tonnes,7.8
647,Crop Yield per Hectare,2000,Total wheat,Tonnes,9.5
648,Crop Yield per Hectare,2000,Winter wheat,Tonnes,9.9
649,Crop Yield per Hectare,2000,Spring wheat,Tonnes,8.1
650,Crop Yield per Hectare,2000,Total oats,Tonnes,7.5
651,Crop Yield per Hectare,2000,Winter oats,Tonnes,8.3
652,Crop Yield per Hectare,2000,Spring oats,Tonnes,6.5
653,Crop Yield per Hectare,2000,Total barley,Tonnes,7.2
654,Crop Yield per Hectare,2000,Winter barley,Tonnes,8.4
655,Crop Yield per Hectare,2000,Spring barley,Tonnes,7.0
656,Crop Yield per Hectare,2000,Beans and peas,Tonnes,5.1
657,Crop Yield per Hectare,2000,Oilseed rape,Tonnes,3.2
658,Crop Yield per Hectare,2000,Potatoes,Tonnes,33.6
659,Crop Yield per Hectare,2000,Turnips,Tonnes,60.0
660,Crop Yield per Hectare,2000,Sugar beet,Tonnes,56.8
661,Crop Yield per Hectare,2000,Fodder beet,Tonnes,70.3
662,Crop Yield per Hectare,2000,Kale and field cabbage,Tonnes,
663,Crop Yield per Hectare,2001,"Total wheat, oats and barley",Tonnes,7.6
664,Crop Yield per Hectare,2001,Total wheat,Tonnes,9.1
665,Crop Yield per Hectare,2001,Winter wheat,Tonnes,9.8
666,Crop Yield per Hectare,2001,Spring wheat,Tonnes,8.0
667,Crop Yield per Hectare,2001,Total oats,Tonnes,7.1
668,Crop Yield per Hectare,2001,Winter oats,Tonnes,8.0
669,Crop Yield per Hectare,2001,Spring oats,Tonnes,6.6
670,Crop Yield per Hectare,2001,Total barley,Tonnes,7.0
671,Crop Yield per Hectare,2001,Winter barley,Tonnes,8.0
672,Crop Yield per Hectare,2001,Spring barley,Tonnes,6.9
673,Crop Yield per Hectare,2001,Beans and peas,Tonnes,4.7
674,Crop Yield per Hectare,2001,Oilseed rape,Tonnes,3.0
675,Crop Yield per Hectare,2001,Potatoes,Tonnes,33.5
676,Crop Yield per Hectare,2001,Turnips,Tonnes,54.4
677,Crop Yield per Hectare,2001,Sugar beet,Tonnes,48.2
678,Crop Yield per Hectare,2001,Fodder beet,Tonnes,65.5
679,Crop Yield per Hectare,2001,Kale and field cabbage,Tonnes,
680,Crop Yield per Hectare,2002,"Total wheat, oats and barley",Tonnes,6.6
681,Crop Yield per Hectare,2002,Total wheat,Tonnes,8.4
682,Crop Yield per Hectare,2002,Winter wheat,Tonnes,8.8
683,Crop Yield per Hectare,2002,Spring wheat,Tonnes,7.2
684,Crop Yield per Hectare,2002,Total oats,Tonnes,7.1
685,Crop Yield per Hectare,2002,Winter oats,Tonnes,7.8
686,Crop Yield per Hectare,2002,Spring oats,Tonnes,5.9
687,Crop Yield per Hectare,2002,Total barley,Tonnes,5.5
688,Crop Yield per Hectare,2002,Winter barley,Tonnes,6.6
689,Crop Yield per Hectare,2002,Spring barley,Tonnes,5.3
690,Crop Yield per Hectare,2002,Beans and peas,Tonnes,4.5
691,Crop Yield per Hectare,2002,Oilseed rape,Tonnes,3.1
692,Crop Yield per Hectare,2002,Potatoes,Tonnes,33.7
693,Crop Yield per Hectare,2002,Turnips,Tonnes,54.4
694,Crop Yield per Hectare,2002,Sugar beet,Tonnes,41.6
695,Crop Yield per Hectare,2002,Fodder beet,Tonnes,60.9
696,Crop Yield per Hectare,2002,Kale and field cabbage,Tonnes,
697,Crop Yield per Hectare,2003,"Total wheat, oats and barley",Tonnes,7.2
698,Crop Yield per Hectare,2003,Total wheat,Tonnes,8.3
699,Crop Yield per Hectare,2003,Winter wheat,Tonnes,8.7
700,Crop Yield per Hectare,2003,Spring wheat,Tonnes,7.6
701,Crop Yield per Hectare,2003,Total oats,Tonnes,7.4
702,Crop Yield per Hectare,2003,Winter oats,Tonnes,8.1
703,Crop Yield per Hectare,2003,Spring oats,Tonnes,6.8
704,Crop Yield per Hectare,2003,Total barley,Tonnes,6.5
705,Crop Yield per Hectare,2003,Winter barley,Tonnes,7.7
706,Crop Yield per Hectare,2003,Spring barley,Tonnes,6.4
707,Crop Yield per Hectare,2003,Beans and peas,Tonnes,4.8
708,Crop Yield per Hectare,2003,Oilseed rape,Tonnes,3.1
709,Crop Yield per Hectare,2003,Potatoes,Tonnes,34.5
710,Crop Yield per Hectare,2003,Turnips,Tonnes,
711,Crop Yield per Hectare,2003,Sugar beet,Tonnes,47.7
712,Crop Yield per Hectare,2003,Fodder beet,Tonnes,
713,Crop Yield per Hectare,2003,Kale and field cabbage,Tonnes,
714,Crop Yield per Hectare,2004,"Total wheat, oats and barley",Tonnes,8.2
715,Crop Yield per Hectare,2004,Total wheat,Tonnes,9.9
716,Crop Yield per Hectare,2004,Winter wheat,Tonnes,10.5
717,Crop Yield per Hectare,2004,Spring wheat,Tonnes,8.6
718,Crop Yield per Hectare,2004,Total oats,Tonnes,7.8
719,Crop Yield per Hectare,2004,Winter oats,Tonnes,8.3
720,Crop Yield per Hectare,2004,Spring oats,Tonnes,6.8
721,Crop Yield per Hectare,2004,Total barley,Tonnes,7.3
722,Crop Yield per Hectare,2004,Winter barley,Tonnes,8.2
723,Crop Yield per Hectare,2004,Spring barley,Tonnes,7.1
724,Crop Yield per Hectare,2004,Beans and peas,Tonnes,5.4
725,Crop Yield per Hectare,2004,Oilseed rape,Tonnes,3.0
726,Crop Yield per Hectare,2004,Potatoes,Tonnes,41.4
727,Crop Yield per Hectare,2004,Turnips,Tonnes,
728,Crop Yield per Hectare,2004,Sugar beet,Tonnes,59.8
729,Crop Yield per Hectare,2004,Fodder beet,Tonnes,
730,Crop Yield per Hectare,2004,Kale and field cabbage,Tonnes,
731,Crop Yield per Hectare,2005,"Total wheat, oats and barley",Tonnes,7.0
732,Crop Yield per Hectare,2005,Total wheat,Tonnes,8.4
733,Crop Yield per Hectare,2005,Winter wheat,Tonnes,8.8
734,Crop Yield per Hectare,2005,Spring wheat,Tonnes,7.6
735,Crop Yield per Hectare,2005,Total oats,Tonnes,6.7
736,Crop Yield per Hectare,2005,Winter oats,Tonnes,7.3
737,Crop Yield per Hectare,2005,Spring oats,Tonnes,6.1
738,Crop Yield per Hectare,2005,Total barley,Tonnes,6.2
739,Crop Yield per Hectare,2005,Winter barley,Tonnes,7.4
740,Crop Yield per Hectare,2005,Spring barley,Tonnes,6.1
741,Crop Yield per Hectare,2005,Beans and peas,Tonnes,5.1
742,Crop Yield per Hectare,2005,Oilseed rape,Tonnes,3.8
743,Crop Yield per Hectare,2005,Potatoes,Tonnes,34.7
744,Crop Yield per Hectare,2005,Turnips,Tonnes,
745,Crop Yield per Hectare,2005,Sugar beet,Tonnes,44.5
746,Crop Yield per Hectare,2005,Fodder beet,Tonnes,
747,Crop Yield per Hectare,2005,Kale and field cabbage,Tonnes,
748,Crop Yield per Hectare,2006,"Total wheat, oats and barley",Tonnes,7.6
749,Crop Yield per Hectare,2006,Total wheat,Tonnes,9.2
750,Crop Yield per Hectare,2006,Winter wheat,Tonnes,9.8
751,Crop Yield per Hectare,2006,Spring wheat,Tonnes,7.8
752,Crop Yield per Hectare,2006,Total oats,Tonnes,7.0
753,Crop Yield per Hectare,2006,Winter oats,Tonnes,8.0
754,Crop Yield per Hectare,2006,Spring oats,Tonnes,6.4
755,Crop Yield per Hectare,2006,Total barley,Tonnes,6.8
756,Crop Yield per Hectare,2006,Winter barley,Tonnes,7.9
757,Crop Yield per Hectare,2006,Spring barley,Tonnes,6.7
758,Crop Yield per Hectare,2006,Beans and peas,Tonnes,4.7
759,Crop Yield per Hectare,2006,Oilseed rape,Tonnes,3.5
760,Crop Yield per Hectare,2006,Potatoes,Tonnes,33.4
761,Crop Yield per Hectare,2006,Turnips,Tonnes,
762,Crop Yield per Hectare,2006,Sugar beet,Tonnes,
763,Crop Yield per Hectare,2006,Fodder beet,Tonnes,
764,Crop Yield per Hectare,2006,Kale and field cabbage,Tonnes,
765,Crop Yield per Hectare,2007,"Total wheat, oats and barley",Tonnes,7.3
766,Crop Yield per Hectare,2007,Total wheat,Tonnes,8.5
767,Crop Yield per Hectare,2007,Winter wheat,Tonnes,8.7
768,Crop Yield per Hectare,2007,Spring wheat,Tonnes,7.7
769,Crop Yield per Hectare,2007,Total oats,Tonnes,7.5
770,Crop Yield per Hectare,2007,Winter oats,Tonnes,8.1
771,Crop Yield per Hectare,2007,Spring oats,Tonnes,6.4
772,Crop Yield per Hectare,2007,Total barley,Tonnes,6.7
773,Crop Yield per Hectare,2007,Winter barley,Tonnes,7.6
774,Crop Yield per Hectare,2007,Spring barley,Tonnes,6.6
775,Crop Yield per Hectare,2007,Beans and peas,Tonnes,4.4
776,Crop Yield per Hectare,2007,Oilseed rape,Tonnes,3.9
777,Crop Yield per Hectare,2007,Potatoes,Tonnes,34.0
778,Crop Yield per Hectare,2007,Turnips,Tonnes,
779,Crop Yield per Hectare,2007,Sugar beet,Tonnes,
780,Crop Yield per Hectare,2007,Fodder beet,Tonnes,
781,Crop Yield per Hectare,2007,Kale and field cabbage,Tonnes,
782,Crop Yield,1985,"Total wheat, oats and barley",000 Tonnes,1986.0
783,Crop Yield,1985,Total wheat,000 Tonnes,495.0
784,Crop Yield,1985,Winter wheat,000 Tonnes,395.0
785,Crop Yield,1985,Spring wheat,000 Tonnes,100.0
786,Crop Yield,1985,Total oats,000 Tonnes,126.0
787,Crop Yield,1985,Winter oats,000 Tonnes,56.0
788,Crop Yield,1985,Spring oats,000 Tonnes,70.0
789,Crop Yield,1985,Total barley,000 Tonnes,1365.0
790,Crop Yield,1985,Winter barley,000 Tonnes,185.0
791,Crop Yield,1985,Spring barley,000 Tonnes,1179.0
792,Crop Yield,1985,Beans and peas,000 Tonnes,0.0
793,Crop Yield,1985,Oilseed rape,000 Tonnes,0.0
794,Crop Yield,1985,Potatoes,000 Tonnes,668.0
795,Crop Yield,1985,Turnips,000 Tonnes,466.0
796,Crop Yield,1985,Sugar beet,000 Tonnes,1309.0
797,Crop Yield,1985,Fodder beet,000 Tonnes,324.0
798,Crop Yield,1985,Kale and field cabbage,000 Tonnes,162.0
799,Crop Yield,1986,"Total wheat, oats and barley",000 Tonnes,1880.0
800,Crop Yield,1986,Total wheat,000 Tonnes,412.0
801,Crop Yield,1986,Winter wheat,000 Tonnes,317.0
802,Crop Yield,1986,Spring wheat,000 Tonnes,95.0
803,Crop Yield,1986,Total oats,000 Tonnes,124.0
804,Crop Yield,1986,Winter oats,000 Tonnes,56.0
805,Crop Yield,1986,Spring oats,000 Tonnes,68.0
806,Crop Yield,1986,Total barley,000 Tonnes,1344.0
807,Crop Yield,1986,Winter barley,000 Tonnes,177.0
808,Crop Yield,1986,Spring barley,000 Tonnes,1167.0
809,Crop Yield,1986,Beans and peas,000 Tonnes,0.0
810,Crop Yield,1986,Oilseed rape,000 Tonnes,0.0
811,Crop Yield,1986,Potatoes,000 Tonnes,601.0
812,Crop Yield,1986,Turnips,000 Tonnes,462.0
813,Crop Yield,1986,Sugar beet,000 Tonnes,1274.0
814,Crop Yield,1986,Fodder beet,000 Tonnes,325.0
815,Crop Yield,1986,Kale and field cabbage,000 Tonnes,150.0
816,Crop Yield,1987,"Total wheat, oats and barley",000 Tonnes,2005.0
817,Crop Yield,1987,Total wheat,000 Tonnes,387.0
818,Crop Yield,1987,Winter wheat,000 Tonnes,278.0
819,Crop Yield,1987,Spring wheat,000 Tonnes,110.0
820,Crop Yield,1987,Total oats,000 Tonnes,133.0
821,Crop Yield,1987,Winter oats,000 Tonnes,63.0
822,Crop Yield,1987,Spring oats,000 Tonnes,70.0
823,Crop Yield,1987,Total barley,000 Tonnes,1485.0
824,Crop Yield,1987,Winter barley,000 Tonnes,211.0
825,Crop Yield,1987,Spring barley,000 Tonnes,1274.0
826,Crop Yield,1987,Beans and peas,000 Tonnes,0.0
827,Crop Yield,1987,Oilseed rape,000 Tonnes,0.0
828,Crop Yield,1987,Potatoes,000 Tonnes,671.0
829,Crop Yield,1987,Turnips,000 Tonnes,505.0
830,Crop Yield,1987,Sugar beet,000 Tonnes,1623.0
831,Crop Yield,1987,Fodder beet,000 Tonnes,414.0
832,Crop Yield,1987,Kale and field cabbage,000 Tonnes,153.0
833,Crop Yield,1988,"Total wheat, oats and barley",000 Tonnes,2077.0
834,Crop Yield,1988,Total wheat,000 Tonnes,455.0
835,Crop Yield,1988,Winter wheat,000 Tonnes,305.0
836,Crop Yield,1988,Spring wheat,000 Tonnes,150.0
837,Crop Yield,1988,Total oats,000 Tonnes,147.0
838,Crop Yield,1988,Winter oats,000 Tonnes,74.0
839,Crop Yield,1988,Spring oats,000 Tonnes,73.0
840,Crop Yield,1988,Total barley,000 Tonnes,1475.0
841,Crop Yield,1988,Winter barley,000 Tonnes,179.0
842,Crop Yield,1988,Spring barley,000 Tonnes,1297.0
843,Crop Yield,1988,Beans and peas,000 Tonnes,0.0
844,Crop Yield,1988,Oilseed rape,000 Tonnes,0.0
845,Crop Yield,1988,Potatoes,000 Tonnes,671.0
846,Crop Yield,1988,Turnips,000 Tonnes,422.0
847,Crop Yield,1988,Sugar beet,000 Tonnes,1334.0
848,Crop Yield,1988,Fodder beet,000 Tonnes,438.0
849,Crop Yield,1988,Kale and field cabbage,000 Tonnes,98.0
850,Crop Yield,1989,"Total wheat, oats and barley",000 Tonnes,1918.0
851,Crop Yield,1989,Total wheat,000 Tonnes,459.0
852,Crop Yield,1989,Winter wheat,000 Tonnes,350.0
853,Crop Yield,1989,Spring wheat,000 Tonnes,109.0
854,Crop Yield,1989,Total oats,000 Tonnes,134.0
855,Crop Yield,1989,Winter oats,000 Tonnes,74.0
856,Crop Yield,1989,Spring oats,000 Tonnes,60.0
857,Crop Yield,1989,Total barley,000 Tonnes,1325.0
858,Crop Yield,1989,Winter barley,000 Tonnes,163.0
859,Crop Yield,1989,Spring barley,000 Tonnes,1162.0
860,Crop Yield,1989,Beans and peas,000 Tonnes,0.0
861,Crop Yield,1989,Oilseed rape,000 Tonnes,0.0
862,Crop Yield,1989,Potatoes,000 Tonnes,554.0
863,Crop Yield,1989,Turnips,000 Tonnes,465.0
864,Crop Yield,1989,Sugar beet,000 Tonnes,1451.0
865,Crop Yield,1989,Fodder beet,000 Tonnes,391.0
866,Crop Yield,1989,Kale and field cabbage,000 Tonnes,94.0
867,Crop Yield,1990,"Total wheat, oats and barley",000 Tonnes,1964.0
868,Crop Yield,1990,Total wheat,000 Tonnes,598.0
869,Crop Yield,1990,Winter wheat,000 Tonnes,506.0
870,Crop Yield,1990,Spring wheat,000 Tonnes,92.0
871,Crop Yield,1990,Total oats,000 Tonnes,144.0
872,Crop Yield,1990,Winter oats,000 Tonnes,81.0
873,Crop Yield,1990,Spring oats,000 Tonnes,63.0
874,Crop Yield,1990,Total barley,000 Tonnes,1223.0
875,Crop Yield,1990,Winter barley,000 Tonnes,221.0
876,Crop Yield,1990,Spring barley,000 Tonnes,1002.0
877,Crop Yield,1990,Beans and peas,000 Tonnes,15.0
878,Crop Yield,1990,Oilseed rape,000 Tonnes,20.0
