Statistic,Year,State,UNIT,VALUE
Exports of Beef,1957,State,000 Tonnes,27.1
Exports of Beef,1958,State,000 Tonnes,26.6
Exports of Beef,1959,State,000 Tonnes,35.4
Exports of Beef,1960,State,000 Tonnes,47.9
Exports of Beef,1961,State,000 Tonnes,74.7
Exports of Beef,1962,State,000 Tonnes,59.8
Exports of Beef,1963,State,000 Tonnes,61.7
Exports of Beef,1964,State,000 Tonnes,52.7
Exports of Beef,1965,State,000 Tonnes,55.0
Exports of Beef,1966,State,000 Tonnes,70.0
Exports of Beef,1967,State,000 Tonnes,148.0
Exports of Beef,1968,State,000 Tonnes,117.1
Exports of Beef,1969,State,000 Tonnes,121.8
Exports of Beef,1970,State,000 Tonnes,140.4
Exports of Beef,1971,State,000 Tonnes,147.9
Exports of Beef,1972,State,000 Tonnes,128.9
Exports of Beef,1973,State,000 Tonnes,131.1
Exports of Beef,1974,State,000 Tonnes,199.0
Exports of Beef,1975,State,000 Tonnes,270.4
Exports of Beef,1976,State,000 Tonnes,180.0
Exports of Beef,1977,State,000 Tonnes,262.1
Exports of Beef,1978,State,000 Tonnes,261.7
Exports of Beef,1979,State,000 Tonnes,254.9
Exports of Beef,1980,State,000 Tonnes,343.9
Exports of Beef,1981,State,000 Tonnes,219.0
Exports of Beef,1982,State,000 Tonnes,209.4
Exports of Beef,1983,State,000 Tonnes,231.5
Exports of Beef,1984,State,000 Tonnes,210.6
Exports of Beef,1985,State,000 Tonnes,257.9
Exports of Beef,1986,State,000 Tonnes,340.2
Exports of Beef,1987,State,000 Tonnes,341.2
Exports of Beef,1988,State,000 Tonnes,288.6
Exports of Beef,1989,State,000 Tonnes,340.0
Exports of Beef,1990,State,000 Tonnes,281.4
Exports of Beef,1991,State,000 Tonnes,286.2
Exports of Beef,1992,State,000 Tonnes,352.9
Exports of Beef,1993,State,000 Tonnes,344.0
Exports of Beef,1994,State,000 Tonnes,411.8
Exports of Beef,1995,State,000 Tonnes,424.3
Exports of Beef,1996,State,000 Tonnes,336.9
Exports of Beef,1997,State,000 Tonnes,340.3
Exports of Beef,1998,State,000 Tonnes,372.2
Exports of Beef,1999,State,000 Tonnes,465.1
Exports of Beef,2000,State,000 Tonnes,356.7
Exports of Beef,2001,State,000 Tonnes,214.5
Exports of Beef,2002,State,000 Tonnes,294.9
Exports of Beef,2003,State,000 Tonnes,319.8
Exports of Beef,2004,State,000 Tonnes,308.4
Exports of Beef,2005,State,000 Tonnes,311.2
Exports of Beef,2006,State,000 Tonnes,334.7
Exports of Beef,2007,State,000 Tonnes,329.0
Exports of Beef,2008,State,000 Tonnes,309.3
Exports of Beef,2009,State,000 Tonnes,301.0
Exports of Beef,2010,State,000 Tonnes,319.4
Exports of Beef,2011,State,000 Tonnes,338.8
Exports of Beef,2012,State,000 Tonnes,298.0
Exports of Beef,2013,State,000 Tonnes,300.0
Exports of Beef,2014,State,000 Tonnes,344.4
Exports of Beef,2015,State,000 Tonnes,320.4
Exports of Beef,2016,State,000 Tonnes,365.1
Exports of Beef,2017,State,000 Tonnes,371.1
Exports of Beef,2018,State,000 Tonnes,373.9
Exports of Beef,2019,State,000 Tonnes,388.0
Exports of Beef,2020,State,000 Tonnes,388.5
