Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Rainfall,1958M08,Dublin airport,Millimetres,140.6
Total Rainfall,1958M08,Galway,Millimetres,
Total Rainfall,1958M08,Kilkenny,Millimetres,113.9
Total Rainfall,1958M08,Malin head,Millimetres,89.1
Total Rainfall,1958M08,Mullingar,Millimetres,127.1
Total Rainfall,1958M08,Roches Point,Millimetres,108.0
Total Rainfall,1958M08,Rosslare,Millimetres,108.9
Total Rainfall,1958M08,Shannon airport,Millimetres,107.2
Total Rainfall,1958M09,Belmullet,Millimetres,118.6
Total Rainfall,1958M09,Birr,Millimetres,99.2
Total Rainfall,1958M09,Valentia Observatory,Millimetres,198.9
Total Rainfall,1958M09,Casement,Millimetres,
Total Rainfall,1958M09,Claremorris,Millimetres,127.0
Total Rainfall,1958M09,Clones,Millimetres,92.4
Total Rainfall,1958M09,Cork airport,Millimetres,
Total Rainfall,1958M09,Dublin airport,Millimetres,128.8
Total Rainfall,1958M09,Galway,Millimetres,
Total Rainfall,1958M09,Kilkenny,Millimetres,153.9
Total Rainfall,1958M09,Malin head,Millimetres,66.8
Total Rainfall,1958M09,Mullingar,Millimetres,104.4
Total Rainfall,1958M09,Roches Point,Millimetres,177.1
Total Rainfall,1958M09,Rosslare,Millimetres,134.4
Total Rainfall,1958M09,Shannon airport,Millimetres,91.9
Total Rainfall,1958M10,Belmullet,Millimetres,82.5
Total Rainfall,1958M10,Birr,Millimetres,47.9
Total Rainfall,1958M10,Valentia Observatory,Millimetres,103.8
Total Rainfall,1958M10,Casement,Millimetres,
Total Rainfall,1958M10,Claremorris,Millimetres,64.0
Total Rainfall,1958M10,Clones,Millimetres,76.9
Total Rainfall,1958M10,Cork airport,Millimetres,
Total Rainfall,1958M10,Dublin airport,Millimetres,52.0
Total Rainfall,1958M10,Galway,Millimetres,
Total Rainfall,1958M10,Kilkenny,Millimetres,54.0
Total Rainfall,1958M10,Malin head,Millimetres,94.4
Total Rainfall,1958M10,Mullingar,Millimetres,74.2
Total Rainfall,1958M10,Roches Point,Millimetres,40.0
Total Rainfall,1958M10,Rosslare,Millimetres,45.3
Total Rainfall,1958M10,Shannon airport,Millimetres,72.3
Total Rainfall,1958M11,Belmullet,Millimetres,78.0
Total Rainfall,1958M11,Birr,Millimetres,51.6
Total Rainfall,1958M11,Valentia Observatory,Millimetres,107.2
Total Rainfall,1958M11,Casement,Millimetres,
Total Rainfall,1958M11,Claremorris,Millimetres,53.7
Total Rainfall,1958M11,Clones,Millimetres,56.4
Total Rainfall,1958M11,Cork airport,Millimetres,
Total Rainfall,1958M11,Dublin airport,Millimetres,45.4
Total Rainfall,1958M11,Galway,Millimetres,
Total Rainfall,1958M11,Kilkenny,Millimetres,66.1
Total Rainfall,1958M11,Malin head,Millimetres,69.4
Total Rainfall,1958M11,Mullingar,Millimetres,48.5
Total Rainfall,1958M11,Roches Point,Millimetres,75.6
Total Rainfall,1958M11,Rosslare,Millimetres,84.4
Total Rainfall,1958M11,Shannon airport,Millimetres,55.1
Total Rainfall,1958M12,Belmullet,Millimetres,147.0
Total Rainfall,1958M12,Birr,Millimetres,88.2
Total Rainfall,1958M12,Valentia Observatory,Millimetres,150.0
Total Rainfall,1958M12,Casement,Millimetres,
Total Rainfall,1958M12,Claremorris,Millimetres,154.4
Total Rainfall,1958M12,Clones,Millimetres,102.3
Total Rainfall,1958M12,Cork airport,Millimetres,
Total Rainfall,1958M12,Dublin airport,Millimetres,90.3
Total Rainfall,1958M12,Galway,Millimetres,
Total Rainfall,1958M12,Kilkenny,Millimetres,107.7
Total Rainfall,1958M12,Malin head,Millimetres,141.9
Total Rainfall,1958M12,Mullingar,Millimetres,99.7
Total Rainfall,1958M12,Roches Point,Millimetres,122.9
Total Rainfall,1958M12,Rosslare,Millimetres,98.4
Total Rainfall,1958M12,Shannon airport,Millimetres,72.5
Total Rainfall,1959M01,Belmullet,Millimetres,72.1
Total Rainfall,1959M01,Birr,Millimetres,53.8
Total Rainfall,1959M01,Valentia Observatory,Millimetres,120.1
Total Rainfall,1959M01,Casement,Millimetres,
Total Rainfall,1959M01,Claremorris,Millimetres,86.3
Total Rainfall,1959M01,Clones,Millimetres,60.9
Total Rainfall,1959M01,Cork airport,Millimetres,
Total Rainfall,1959M01,Dublin airport,Millimetres,47.4
Total Rainfall,1959M01,Galway,Millimetres,
Total Rainfall,1959M01,Kilkenny,Millimetres,77.3
Total Rainfall,1959M01,Malin head,Millimetres,72.0
Total Rainfall,1959M01,Mullingar,Millimetres,60.0
Total Rainfall,1959M01,Roches Point,Millimetres,93.0
Total Rainfall,1959M01,Rosslare,Millimetres,92.6
Total Rainfall,1959M01,Shannon airport,Millimetres,76.0
Total Rainfall,1959M02,Belmullet,Millimetres,30.4
Total Rainfall,1959M02,Birr,Millimetres,28.5
Total Rainfall,1959M02,Valentia Observatory,Millimetres,46.9
Total Rainfall,1959M02,Casement,Millimetres,
Total Rainfall,1959M02,Claremorris,Millimetres,40.4
Total Rainfall,1959M02,Clones,Millimetres,34.7
Total Rainfall,1959M02,Cork airport,Millimetres,
Total Rainfall,1959M02,Dublin airport,Millimetres,13.1
Total Rainfall,1959M02,Galway,Millimetres,
Total Rainfall,1959M02,Kilkenny,Millimetres,19.3
Total Rainfall,1959M02,Malin head,Millimetres,21.2
Total Rainfall,1959M02,Mullingar,Millimetres,29.3
Total Rainfall,1959M02,Roches Point,Millimetres,22.5
Total Rainfall,1959M02,Rosslare,Millimetres,15.4
Total Rainfall,1959M02,Shannon airport,Millimetres,21.2
Total Rainfall,1959M03,Belmullet,Millimetres,88.1
Total Rainfall,1959M03,Birr,Millimetres,54.4
Total Rainfall,1959M03,Valentia Observatory,Millimetres,168.9
Total Rainfall,1959M03,Casement,Millimetres,
Total Rainfall,1959M03,Claremorris,Millimetres,120.8
Total Rainfall,1959M03,Clones,Millimetres,68.5
Total Rainfall,1959M03,Cork airport,Millimetres,
Total Rainfall,1959M03,Dublin airport,Millimetres,39.7
Total Rainfall,1959M03,Galway,Millimetres,
Total Rainfall,1959M03,Kilkenny,Millimetres,64.2
Total Rainfall,1959M03,Malin head,Millimetres,70.9
Total Rainfall,1959M03,Mullingar,Millimetres,66.7
Total Rainfall,1959M03,Roches Point,Millimetres,94.9
Total Rainfall,1959M03,Rosslare,Millimetres,69.8
Total Rainfall,1959M03,Shannon airport,Millimetres,63.7
Total Rainfall,1959M04,Belmullet,Millimetres,88.2
Total Rainfall,1959M04,Birr,Millimetres,87.2
Total Rainfall,1959M04,Valentia Observatory,Millimetres,106.8
Total Rainfall,1959M04,Casement,Millimetres,
Total Rainfall,1959M04,Claremorris,Millimetres,79.6
Total Rainfall,1959M04,Clones,Millimetres,81.4
Total Rainfall,1959M04,Cork airport,Millimetres,
Total Rainfall,1959M04,Dublin airport,Millimetres,44.1
Total Rainfall,1959M04,Galway,Millimetres,
Total Rainfall,1959M04,Kilkenny,Millimetres,80.1
Total Rainfall,1959M04,Malin head,Millimetres,82.9
Total Rainfall,1959M04,Mullingar,Millimetres,69.3
Total Rainfall,1959M04,Roches Point,Millimetres,58.3
Total Rainfall,1959M04,Rosslare,Millimetres,62.1
Total Rainfall,1959M04,Shannon airport,Millimetres,72.1
Total Rainfall,1959M05,Belmullet,Millimetres,37.1
Total Rainfall,1959M05,Birr,Millimetres,47.6
Total Rainfall,1959M05,Valentia Observatory,Millimetres,65.1
Total Rainfall,1959M05,Casement,Millimetres,
Total Rainfall,1959M05,Claremorris,Millimetres,47.0
Total Rainfall,1959M05,Clones,Millimetres,37.8
Total Rainfall,1959M05,Cork airport,Millimetres,
Total Rainfall,1959M05,Dublin airport,Millimetres,73.6
Total Rainfall,1959M05,Galway,Millimetres,
Total Rainfall,1959M05,Kilkenny,Millimetres,49.5
Total Rainfall,1959M05,Malin head,Millimetres,27.7
Total Rainfall,1959M05,Mullingar,Millimetres,20.4
Total Rainfall,1959M05,Roches Point,Millimetres,75.9
Total Rainfall,1959M05,Rosslare,Millimetres,38.4
Total Rainfall,1959M05,Shannon airport,Millimetres,58.0
Total Rainfall,1959M06,Belmullet,Millimetres,75.9
Total Rainfall,1959M06,Birr,Millimetres,58.2
Total Rainfall,1959M06,Valentia Observatory,Millimetres,67.3
Total Rainfall,1959M06,Casement,Millimetres,
Total Rainfall,1959M06,Claremorris,Millimetres,76.2
Total Rainfall,1959M06,Clones,Millimetres,85.4
Total Rainfall,1959M06,Cork airport,Millimetres,
Total Rainfall,1959M06,Dublin airport,Millimetres,37.2
Total Rainfall,1959M06,Galway,Millimetres,
Total Rainfall,1959M06,Kilkenny,Millimetres,54.3
Total Rainfall,1959M06,Malin head,Millimetres,50.5
Total Rainfall,1959M06,Mullingar,Millimetres,66.5
Total Rainfall,1959M06,Roches Point,Millimetres,60.5
Total Rainfall,1959M06,Rosslare,Millimetres,49.1
Total Rainfall,1959M06,Shannon airport,Millimetres,75.4
Total Rainfall,1959M07,Belmullet,Millimetres,72.4
Total Rainfall,1959M07,Birr,Millimetres,64.1
Total Rainfall,1959M07,Valentia Observatory,Millimetres,50.0
Total Rainfall,1959M07,Casement,Millimetres,
Total Rainfall,1959M07,Claremorris,Millimetres,81.8
Total Rainfall,1959M07,Clones,Millimetres,93.6
Total Rainfall,1959M07,Cork airport,Millimetres,
Total Rainfall,1959M07,Dublin airport,Millimetres,45.2
Total Rainfall,1959M07,Galway,Millimetres,
Total Rainfall,1959M07,Kilkenny,Millimetres,30.3
Total Rainfall,1959M07,Malin head,Millimetres,92.5
Total Rainfall,1959M07,Mullingar,Millimetres,66.4
Total Rainfall,1959M07,Roches Point,Millimetres,26.0
Total Rainfall,1959M07,Rosslare,Millimetres,43.4
Total Rainfall,1959M07,Shannon airport,Millimetres,61.2
Total Rainfall,1959M08,Belmullet,Millimetres,47.6
Total Rainfall,1959M08,Birr,Millimetres,19.8
Total Rainfall,1959M08,Valentia Observatory,Millimetres,63.0
Total Rainfall,1959M08,Casement,Millimetres,
Total Rainfall,1959M08,Claremorris,Millimetres,44.9
Total Rainfall,1959M08,Clones,Millimetres,33.3
Total Rainfall,1959M08,Cork airport,Millimetres,
Total Rainfall,1959M08,Dublin airport,Millimetres,17.6
Total Rainfall,1959M08,Galway,Millimetres,
Total Rainfall,1959M08,Kilkenny,Millimetres,19.5
Total Rainfall,1959M08,Malin head,Millimetres,35.5
Total Rainfall,1959M08,Mullingar,Millimetres,19.3
Total Rainfall,1959M08,Roches Point,Millimetres,26.2
Total Rainfall,1959M08,Rosslare,Millimetres,14.5
Total Rainfall,1959M08,Shannon airport,Millimetres,29.9
Total Rainfall,1959M09,Belmullet,Millimetres,46.2
Total Rainfall,1959M09,Birr,Millimetres,36.1
Total Rainfall,1959M09,Valentia Observatory,Millimetres,60.9
Total Rainfall,1959M09,Casement,Millimetres,
Total Rainfall,1959M09,Claremorris,Millimetres,81.9
