,Statistic,Year,Agricultural Product,UNIT,VALUE
0,Agricultural Input and Output Price Indices,2014,Agricultural output price index,Base 2015=100,106.84
1,Agricultural Input and Output Price Indices,2014,Crop output,Base 2015=100,99.96
2,Agricultural Input and Output Price Indices,2014,Cereals including seeds,Base 2015=100,105.82
3,Agricultural Input and Output Price Indices,2014,Fruit and Vegetables,Base 2015=100,99.45
4,Agricultural Input and Output Price Indices,2014,Potatoes including seeds,Base 2015=100,87.48
5,Agricultural Input and Output Price Indices,2014,Animal output,Base 2015=100,107.75
6,Agricultural Input and Output Price Indices,2014,Animals,Base 2015=100,94.54
7,Agricultural Input and Output Price Indices,2014,Cattle,Base 2015=100,90.37
8,Agricultural Input and Output Price Indices,2014,Cattle excluding calves,Base 2015=100,90.45
9,Agricultural Input and Output Price Indices,2014,Calves,Base 2015=100,76.31
10,Agricultural Input and Output Price Indices,2014,Pigs,Base 2015=100,109.41
11,Agricultural Input and Output Price Indices,2014,Sheep,Base 2015=100,98.83
12,Agricultural Input and Output Price Indices,2014,Poultry,Base 2015=100,101.2
13,Agricultural Input and Output Price Indices,2014,Animal products,Base 2015=100,127.67
14,Agricultural Input and Output Price Indices,2014,Milk,Base 2015=100,128.62
15,Agricultural Input and Output Price Indices,2014,Eggs,Base 2015=100,101.84
16,Agricultural Input and Output Price Indices,2014,Wool,Base 2015=100,81.48
17,Agricultural Input and Output Price Indices,2014,Agricultural input price index,Base 2015=100,103.6
18,Agricultural Input and Output Price Indices,2014,Seeds,Base 2015=100,104.24
19,Agricultural Input and Output Price Indices,2014,Energy,Base 2015=100,112.74
20,Agricultural Input and Output Price Indices,2014,Electricity,Base 2015=100,100.2
21,Agricultural Input and Output Price Indices,2014,Motor fuel,Base 2015=100,117.38
22,Agricultural Input and Output Price Indices,2014,Lubricants,Base 2015=100,99.27
23,Agricultural Input and Output Price Indices,2014,Fertilisers,Base 2015=100,99.35
24,Agricultural Input and Output Price Indices,2014,Straight fertilisers,Base 2015=100,99.47
25,Agricultural Input and Output Price Indices,2014,Compound fertilisers,Base 2015=100,99.45
26,Agricultural Input and Output Price Indices,2014,PK fertilisers,Base 2015=100,100.74
27,Agricultural Input and Output Price Indices,2014,NPK fertilisers,Base 2015=100,99.42
28,Agricultural Input and Output Price Indices,2014,Other fertilisers,Base 2015=100,96.67
29,Agricultural Input and Output Price Indices,2014,Plant protection products,Base 2015=100,100.04
30,Agricultural Input and Output Price Indices,2014,Veterinary expenses,Base 2015=100,99.15
31,Agricultural Input and Output Price Indices,2014,Feeding stuffs,Base 2015=100,107.75
32,Agricultural Input and Output Price Indices,2014,Straight feeding stuffs,Base 2015=100,107.71
33,Agricultural Input and Output Price Indices,2014,Compound feeding stuffs,Base 2015=100,107.75
34,Agricultural Input and Output Price Indices,2014,Compound feeding stuffs for calves,Base 2015=100,104.37
35,Agricultural Input and Output Price Indices,2014,Compound feeding stuffs for cattle excluding calves,Base 2015=100,105.76
36,Agricultural Input and Output Price Indices,2014,Compound feeding stuffs for pigs,Base 2015=100,108.75
37,Agricultural Input and Output Price Indices,2014,Compound feeding stuffs for poultry,Base 2015=100,113.83
38,Agricultural Input and Output Price Indices,2014,Other compound feeding stuffs,Base 2015=100,105.61
39,Agricultural Input and Output Price Indices,2014,Maintenance of materials and buildings,Base 2015=100,95.55
40,Agricultural Input and Output Price Indices,2014,Other goods and services,Base 2015=100,100.19
41,Agricultural Input and Output Price Indices,2015,Agricultural output price index,Base 2015=100,100.0
42,Agricultural Input and Output Price Indices,2015,Crop output,Base 2015=100,100.0
43,Agricultural Input and Output Price Indices,2015,Cereals including seeds,Base 2015=100,100.0
44,Agricultural Input and Output Price Indices,2015,Fruit and Vegetables,Base 2015=100,100.0
45,Agricultural Input and Output Price Indices,2015,Potatoes including seeds,Base 2015=100,100.0
46,Agricultural Input and Output Price Indices,2015,Animal output,Base 2015=100,100.0
47,Agricultural Input and Output Price Indices,2015,Animals,Base 2015=100,100.0
48,Agricultural Input and Output Price Indices,2015,Cattle,Base 2015=100,100.0
