,Statistic,Year,Agricultural Product,UNIT,VALUE
49,Agricultural Input and Output Price Indices,2015,Cattle excluding calves,Base 2015=100,100.0
50,Agricultural Input and Output Price Indices,2015,Calves,Base 2015=100,100.0
51,Agricultural Input and Output Price Indices,2015,Pigs,Base 2015=100,100.0
52,Agricultural Input and Output Price Indices,2015,Sheep,Base 2015=100,100.0
53,Agricultural Input and Output Price Indices,2015,Poultry,Base 2015=100,100.0
54,Agricultural Input and Output Price Indices,2015,Animal products,Base 2015=100,100.0
55,Agricultural Input and Output Price Indices,2015,Milk,Base 2015=100,100.0
56,Agricultural Input and Output Price Indices,2015,Eggs,Base 2015=100,100.0
57,Agricultural Input and Output Price Indices,2015,Wool,Base 2015=100,100.0
58,Agricultural Input and Output Price Indices,2015,Agricultural input price index,Base 2015=100,100.0
59,Agricultural Input and Output Price Indices,2015,Seeds,Base 2015=100,100.0
60,Agricultural Input and Output Price Indices,2015,Energy,Base 2015=100,100.0
61,Agricultural Input and Output Price Indices,2015,Electricity,Base 2015=100,100.0
62,Agricultural Input and Output Price Indices,2015,Motor fuel,Base 2015=100,100.0
63,Agricultural Input and Output Price Indices,2015,Lubricants,Base 2015=100,100.0
64,Agricultural Input and Output Price Indices,2015,Fertilisers,Base 2015=100,100.0
65,Agricultural Input and Output Price Indices,2015,Straight fertilisers,Base 2015=100,100.0
66,Agricultural Input and Output Price Indices,2015,Compound fertilisers,Base 2015=100,100.0
67,Agricultural Input and Output Price Indices,2015,PK fertilisers,Base 2015=100,100.0
68,Agricultural Input and Output Price Indices,2015,NPK fertilisers,Base 2015=100,100.0
69,Agricultural Input and Output Price Indices,2015,Other fertilisers,Base 2015=100,100.0
70,Agricultural Input and Output Price Indices,2015,Plant protection products,Base 2015=100,100.0
71,Agricultural Input and Output Price Indices,2015,Veterinary expenses,Base 2015=100,100.0
72,Agricultural Input and Output Price Indices,2015,Feeding stuffs,Base 2015=100,100.0
73,Agricultural Input and Output Price Indices,2015,Straight feeding stuffs,Base 2015=100,100.0
74,Agricultural Input and Output Price Indices,2015,Compound feeding stuffs,Base 2015=100,100.0
75,Agricultural Input and Output Price Indices,2015,Compound feeding stuffs for calves,Base 2015=100,100.0
76,Agricultural Input and Output Price Indices,2015,Compound feeding stuffs for cattle excluding calves,Base 2015=100,100.0
77,Agricultural Input and Output Price Indices,2015,Compound feeding stuffs for pigs,Base 2015=100,100.0
78,Agricultural Input and Output Price Indices,2015,Compound feeding stuffs for poultry,Base 2015=100,100.0
79,Agricultural Input and Output Price Indices,2015,Other compound feeding stuffs,Base 2015=100,100.0
80,Agricultural Input and Output Price Indices,2015,Maintenance of materials and buildings,Base 2015=100,100.0
81,Agricultural Input and Output Price Indices,2015,Other goods and services,Base 2015=100,100.0
82,Agricultural Input and Output Price Indices,2016,Agricultural output price index,Base 2015=100,95.12
83,Agricultural Input and Output Price Indices,2016,Crop output,Base 2015=100,106.08
84,Agricultural Input and Output Price Indices,2016,Cereals including seeds,Base 2015=100,101.35
85,Agricultural Input and Output Price Indices,2016,Fruit and Vegetables,Base 2015=100,101.46
86,Agricultural Input and Output Price Indices,2016,Potatoes including seeds,Base 2015=100,128.5
87,Agricultural Input and Output Price Indices,2016,Animal output,Base 2015=100,93.68
88,Agricultural Input and Output Price Indices,2016,Animals,Base 2015=100,95.37
89,Agricultural Input and Output Price Indices,2016,Cattle,Base 2015=100,93.02
90,Agricultural Input and Output Price Indices,2016,Cattle excluding calves,Base 2015=100,93.03
91,Agricultural Input and Output Price Indices,2016,Calves,Base 2015=100,90.48
92,Agricultural Input and Output Price Indices,2016,Pigs,Base 2015=100,102.6
93,Agricultural Input and Output Price Indices,2016,Sheep,Base 2015=100,99.92
94,Agricultural Input and Output Price Indices,2016,Poultry,Base 2015=100,99.48
95,Agricultural Input and Output Price Indices,2016,Animal products,Base 2015=100,91.13
96,Agricultural Input and Output Price Indices,2016,Milk,Base 2015=100,91.05
97,Agricultural Input and Output Price Indices,2016,Eggs,Base 2015=100,97.56
98,Agricultural Input and Output Price Indices,2016,Wool,Base 2015=100,69.67
99,Agricultural Input and Output Price Indices,2016,Agricultural input price index,Base 2015=100,97.85
100,Agricultural Input and Output Price Indices,2016,Seeds,Base 2015=100,98.46
101,Agricultural Input and Output Price Indices,2016,Energy,Base 2015=100,91.94
102,Agricultural Input and Output Price Indices,2016,Electricity,Base 2015=100,96.47
103,Agricultural Input and Output Price Indices,2016,Motor fuel,Base 2015=100,90.08
104,Agricultural Input and Output Price Indices,2016,Lubricants,Base 2015=100,100.76
105,Agricultural Input and Output Price Indices,2016,Fertilisers,Base 2015=100,86.19
106,Agricultural Input and Output Price Indices,2016,Straight fertilisers,Base 2015=100,82.26
107,Agricultural Input and Output Price Indices,2016,Compound fertilisers,Base 2015=100,87.62
108,Agricultural Input and Output Price Indices,2016,PK fertilisers,Base 2015=100,94.67
109,Agricultural Input and Output Price Indices,2016,NPK fertilisers,Base 2015=100,87.44
110,Agricultural Input and Output Price Indices,2016,Other fertilisers,Base 2015=100,100.0
111,Agricultural Input and Output Price Indices,2016,Plant protection products,Base 2015=100,102.28
112,Agricultural Input and Output Price Indices,2016,Veterinary expenses,Base 2015=100,101.94
113,Agricultural Input and Output Price Indices,2016,Feeding stuffs,Base 2015=100,100.01
114,Agricultural Input and Output Price Indices,2016,Straight feeding stuffs,Base 2015=100,97.12
115,Agricultural Input and Output Price Indices,2016,Compound feeding stuffs,Base 2015=100,100.15
116,Agricultural Input and Output Price Indices,2016,Compound feeding stuffs for calves,Base 2015=100,101.59
117,Agricultural Input and Output Price Indices,2016,Compound feeding stuffs for cattle excluding calves,Base 2015=100,100.15
118,Agricultural Input and Output Price Indices,2016,Compound feeding stuffs for pigs,Base 2015=100,97.33
119,Agricultural Input and Output Price Indices,2016,Compound feeding stuffs for poultry,Base 2015=100,102.29
120,Agricultural Input and Output Price Indices,2016,Other compound feeding stuffs,Base 2015=100,101.65
121,Agricultural Input and Output Price Indices,2016,Maintenance of materials and buildings,Base 2015=100,104.38
122,Agricultural Input and Output Price Indices,2016,Other goods and services,Base 2015=100,100.68
123,Agricultural Input and Output Price Indices,2017,Agricultural output price index,Base 2015=100,106.46
124,Agricultural Input and Output Price Indices,2017,Crop output,Base 2015=100,104.13
125,Agricultural Input and Output Price Indices,2017,Cereals including seeds,Base 2015=100,101.86
126,Agricultural Input and Output Price Indices,2017,Fruit and Vegetables,Base 2015=100,100.94
127,Agricultural Input and Output Price Indices,2017,Potatoes including seeds,Base 2015=100,117.25
128,Agricultural Input and Output Price Indices,2017,Animal output,Base 2015=100,106.76
129,Agricultural Input and Output Price Indices,2017,Animals,Base 2015=100,97.78
130,Agricultural Input and Output Price Indices,2017,Cattle,Base 2015=100,94.74
131,Agricultural Input and Output Price Indices,2017,Cattle excluding calves,Base 2015=100,94.77
132,Agricultural Input and Output Price Indices,2017,Calves,Base 2015=100,87.94
133,Agricultural Input and Output Price Indices,2017,Pigs,Base 2015=100,110.35
134,Agricultural Input and Output Price Indices,2017,Sheep,Base 2015=100,99.65
135,Agricultural Input and Output Price Indices,2017,Poultry,Base 2015=100,99.21
136,Agricultural Input and Output Price Indices,2017,Animal products,Base 2015=100,120.32
137,Agricultural Input and Output Price Indices,2017,Milk,Base 2015=100,121.32
138,Agricultural Input and Output Price Indices,2017,Eggs,Base 2015=100,97.52
139,Agricultural Input and Output Price Indices,2017,Wool,Base 2015=100,44.83
140,Agricultural Input and Output Price Indices,2017,Agricultural input price index,Base 2015=100,98.22
141,Agricultural Input and Output Price Indices,2017,Seeds,Base 2015=100,98.54
142,Agricultural Input and Output Price Indices,2017,Energy,Base 2015=100,97.81
143,Agricultural Input and Output Price Indices,2017,Electricity,Base 2015=100,95.53
144,Agricultural Input and Output Price Indices,2017,Motor fuel,Base 2015=100,98.26
145,Agricultural Input and Output Price Indices,2017,Lubricants,Base 2015=100,103.8
146,Agricultural Input and Output Price Indices,2017,Fertilisers,Base 2015=100,81.47
147,Agricultural Input and Output Price Indices,2017,Straight fertilisers,Base 2015=100,77.93
148,Agricultural Input and Output Price Indices,2017,Compound fertilisers,Base 2015=100,82.21
149,Agricultural Input and Output Price Indices,2017,PK fertilisers,Base 2015=100,87.73
150,Agricultural Input and Output Price Indices,2017,NPK fertilisers,Base 2015=100,82.07
151,Agricultural Input and Output Price Indices,2017,Other fertilisers,Base 2015=100,102.62
152,Agricultural Input and Output Price Indices,2017,Plant protection products,Base 2015=100,103.09
153,Agricultural Input and Output Price Indices,2017,Veterinary expenses,Base 2015=100,102.12
154,Agricultural Input and Output Price Indices,2017,Feeding stuffs,Base 2015=100,100.56
155,Agricultural Input and Output Price Indices,2017,Straight feeding stuffs,Base 2015=100,100.51
156,Agricultural Input and Output Price Indices,2017,Compound feeding stuffs,Base 2015=100,100.56
157,Agricultural Input and Output Price Indices,2017,Compound feeding stuffs for calves,Base 2015=100,99.77
158,Agricultural Input and Output Price Indices,2017,Compound feeding stuffs for cattle excluding calves,Base 2015=100,99.26
159,Agricultural Input and Output Price Indices,2017,Compound feeding stuffs for pigs,Base 2015=100,100.69
160,Agricultural Input and Output Price Indices,2017,Compound feeding stuffs for poultry,Base 2015=100,103.89
161,Agricultural Input and Output Price Indices,2017,Other compound feeding stuffs,Base 2015=100,101.88
162,Agricultural Input and Output Price Indices,2017,Maintenance of materials and buildings,Base 2015=100,105.33
163,Agricultural Input and Output Price Indices,2017,Other goods and services,Base 2015=100,101.14
164,Agricultural Input and Output Price Indices,2018,Agricultural output price index,Base 2015=100,104.42
165,Agricultural Input and Output Price Indices,2018,Crop output,Base 2015=100,119.57
166,Agricultural Input and Output Price Indices,2018,Cereals including seeds,Base 2015=100,123.92
167,Agricultural Input and Output Price Indices,2018,Fruit and Vegetables,Base 2015=100,106.88
168,Agricultural Input and Output Price Indices,2018,Potatoes including seeds,Base 2015=100,140.44
169,Agricultural Input and Output Price Indices,2018,Animal output,Base 2015=100,102.44
170,Agricultural Input and Output Price Indices,2018,Animals,Base 2015=100,95.08
171,Agricultural Input and Output Price Indices,2018,Cattle,Base 2015=100,93.36
172,Agricultural Input and Output Price Indices,2018,Cattle excluding calves,Base 2015=100,93.46
173,Agricultural Input and Output Price Indices,2018,Calves,Base 2015=100,76.17
174,Agricultural Input and Output Price Indices,2018,Pigs,Base 2015=100,96.48
175,Agricultural Input and Output Price Indices,2018,Sheep,Base 2015=100,105.06
176,Agricultural Input and Output Price Indices,2018,Poultry,Base 2015=100,99.5
177,Agricultural Input and Output Price Indices,2018,Animal products,Base 2015=100,113.54
178,Agricultural Input and Output Price Indices,2018,Milk,Base 2015=100,114.29
179,Agricultural Input and Output Price Indices,2018,Eggs,Base 2015=100,98.85
180,Agricultural Input and Output Price Indices,2018,Wool,Base 2015=100,42.81
181,Agricultural Input and Output Price Indices,2018,Agricultural input price index,Base 2015=100,102.74
182,Agricultural Input and Output Price Indices,2018,Seeds,Base 2015=100,98.16
183,Agricultural Input and Output Price Indices,2018,Energy,Base 2015=100,106.54
184,Agricultural Input and Output Price Indices,2018,Electricity,Base 2015=100,102.23
185,Agricultural Input and Output Price Indices,2018,Motor fuel,Base 2015=100,108.02
186,Agricultural Input and Output Price Indices,2018,Lubricants,Base 2015=100,104.2
187,Agricultural Input and Output Price Indices,2018,Fertilisers,Base 2015=100,86.36
188,Agricultural Input and Output Price Indices,2018,Straight fertilisers,Base 2015=100,84.09
189,Agricultural Input and Output Price Indices,2018,Compound fertilisers,Base 2015=100,86.66
190,Agricultural Input and Output Price Indices,2018,PK fertilisers,Base 2015=100,88.58
191,Agricultural Input and Output Price Indices,2018,NPK fertilisers,Base 2015=100,86.61
192,Agricultural Input and Output Price Indices,2018,Other fertilisers,Base 2015=100,102.86
193,Agricultural Input and Output Price Indices,2018,Plant protection products,Base 2015=100,103.93
194,Agricultural Input and Output Price Indices,2018,Veterinary expenses,Base 2015=100,105.29
195,Agricultural Input and Output Price Indices,2018,Feeding stuffs,Base 2015=100,107.15
196,Agricultural Input and Output Price Indices,2018,Straight feeding stuffs,Base 2015=100,111.8
197,Agricultural Input and Output Price Indices,2018,Compound feeding stuffs,Base 2015=100,106.92
198,Agricultural Input and Output Price Indices,2018,Compound feeding stuffs for calves,Base 2015=100,107.11
199,Agricultural Input and Output Price Indices,2018,Compound feeding stuffs for cattle excluding calves,Base 2015=100,105.73
200,Agricultural Input and Output Price Indices,2018,Compound feeding stuffs for pigs,Base 2015=100,110.26
201,Agricultural Input and Output Price Indices,2018,Compound feeding stuffs for poultry,Base 2015=100,106.63
202,Agricultural Input and Output Price Indices,2018,Other compound feeding stuffs,Base 2015=100,107.02
203,Agricultural Input and Output Price Indices,2018,Maintenance of materials and buildings,Base 2015=100,104.36
204,Agricultural Input and Output Price Indices,2018,Other goods and services,Base 2015=100,103.41
205,Agricultural Input and Output Price Indices,2019,Agricultural output price index,Base 2015=100,103.3
206,Agricultural Input and Output Price Indices,2019,Crop output,Base 2015=100,131.69
207,Agricultural Input and Output Price Indices,2019,Cereals including seeds,Base 2015=100,133.12
208,Agricultural Input and Output Price Indices,2019,Fruit and Vegetables,Base 2015=100,108.32
209,Agricultural Input and Output Price Indices,2019,Potatoes including seeds,Base 2015=100,185.56
210,Agricultural Input and Output Price Indices,2019,Animal output,Base 2015=100,99.58
211,Agricultural Input and Output Price Indices,2019,Animals,Base 2015=100,93.65
212,Agricultural Input and Output Price Indices,2019,Cattle,Base 2015=100,88.12
213,Agricultural Input and Output Price Indices,2019,Cattle excluding calves,Base 2015=100,88.26
214,Agricultural Input and Output Price Indices,2019,Calves,Base 2015=100,63.45
215,Agricultural Input and Output Price Indices,2019,Pigs,Base 2015=100,114.29
216,Agricultural Input and Output Price Indices,2019,Sheep,Base 2015=100,99.02
217,Agricultural Input and Output Price Indices,2019,Poultry,Base 2015=100,100.21
218,Agricultural Input and Output Price Indices,2019,Animal products,Base 2015=100,108.52
219,Agricultural Input and Output Price Indices,2019,Milk,Base 2015=100,109.13
220,Agricultural Input and Output Price Indices,2019,Eggs,Base 2015=100,98.95
221,Agricultural Input and Output Price Indices,2019,Wool,Base 2015=100,35.41
222,Agricultural Input and Output Price Indices,2019,Agricultural input price index,Base 2015=100,105.04
223,Agricultural Input and Output Price Indices,2019,Seeds,Base 2015=100,106.77
224,Agricultural Input and Output Price Indices,2019,Energy,Base 2015=100,106.53
225,Agricultural Input and Output Price Indices,2019,Electricity,Base 2015=100,105.51
226,Agricultural Input and Output Price Indices,2019,Motor fuel,Base 2015=100,106.9
227,Agricultural Input and Output Price Indices,2019,Lubricants,Base 2015=100,105.77
228,Agricultural Input and Output Price Indices,2019,Fertilisers,Base 2015=100,90.85
229,Agricultural Input and Output Price Indices,2019,Straight fertilisers,Base 2015=100,88.63
230,Agricultural Input and Output Price Indices,2019,Compound fertilisers,Base 2015=100,91.24
231,Agricultural Input and Output Price Indices,2019,PK fertilisers,Base 2015=100,93.76
232,Agricultural Input and Output Price Indices,2019,NPK fertilisers,Base 2015=100,91.18
233,Agricultural Input and Output Price Indices,2019,Other fertilisers,Base 2015=100,105.24
234,Agricultural Input and Output Price Indices,2019,Plant protection products,Base 2015=100,103.83
235,Agricultural Input and Output Price Indices,2019,Veterinary expenses,Base 2015=100,107.51
236,Agricultural Input and Output Price Indices,2019,Feeding stuffs,Base 2015=100,110.35
237,Agricultural Input and Output Price Indices,2019,Straight feeding stuffs,Base 2015=100,115.32
238,Agricultural Input and Output Price Indices,2019,Compound feeding stuffs,Base 2015=100,110.1
239,Agricultural Input and Output Price Indices,2019,Compound feeding stuffs for calves,Base 2015=100,110.05
240,Agricultural Input and Output Price Indices,2019,Compound feeding stuffs for cattle excluding calves,Base 2015=100,108.49
241,Agricultural Input and Output Price Indices,2019,Compound feeding stuffs for pigs,Base 2015=100,117.32
242,Agricultural Input and Output Price Indices,2019,Compound feeding stuffs for poultry,Base 2015=100,107.52
243,Agricultural Input and Output Price Indices,2019,Other compound feeding stuffs,Base 2015=100,108.48
244,Agricultural Input and Output Price Indices,2019,Maintenance of materials and buildings,Base 2015=100,104.71
245,Agricultural Input and Output Price Indices,2019,Other goods and services,Base 2015=100,104.09
246,Agricultural Input and Output Price Indices,2020,Agricultural output price index,Base 2015=100,103.13
247,Agricultural Input and Output Price Indices,2020,Crop output,Base 2015=100,114.08
248,Agricultural Input and Output Price Indices,2020,Cereals including seeds,Base 2015=100,111.63
249,Agricultural Input and Output Price Indices,2020,Fruit and Vegetables,Base 2015=100,105.86
250,Agricultural Input and Output Price Indices,2020,Potatoes including seeds,Base 2015=100,139.96
251,Agricultural Input and Output Price Indices,2020,Animal output,Base 2015=100,101.7
252,Agricultural Input and Output Price Indices,2020,Animals,Base 2015=100,96.92
253,Agricultural Input and Output Price Indices,2020,Cattle,Base 2015=100,92.59
254,Agricultural Input and Output Price Indices,2020,Cattle excluding calves,Base 2015=100,92.71
255,Agricultural Input and Output Price Indices,2020,Calves,Base 2015=100,70.35
256,Agricultural Input and Output Price Indices,2020,Pigs,Base 2015=100,109.35
257,Agricultural Input and Output Price Indices,2020,Sheep,Base 2015=100,109.44
258,Agricultural Input and Output Price Indices,2020,Poultry,Base 2015=100,100.34
259,Agricultural Input and Output Price Indices,2020,Animal products,Base 2015=100,108.91
260,Agricultural Input and Output Price Indices,2020,Milk,Base 2015=100,109.63
261,Agricultural Input and Output Price Indices,2020,Eggs,Base 2015=100,99.11
262,Agricultural Input and Output Price Indices,2020,Wool,Base 2015=100,12.85
263,Agricultural Input and Output Price Indices,2020,Agricultural input price index,Base 2015=100,102.18
264,Agricultural Input and Output Price Indices,2020,Seeds,Base 2015=100,102.0
265,Agricultural Input and Output Price Indices,2020,Energy,Base 2015=100,98.05
266,Agricultural Input and Output Price Indices,2020,Electricity,Base 2015=100,105.84
267,Agricultural Input and Output Price Indices,2020,Motor fuel,Base 2015=100,95.23
268,Agricultural Input and Output Price Indices,2020,Lubricants,Base 2015=100,104.91
269,Agricultural Input and Output Price Indices,2020,Fertilisers,Base 2015=100,81.32
270,Agricultural Input and Output Price Indices,2020,Straight fertilisers,Base 2015=100,77.22
271,Agricultural Input and Output Price Indices,2020,Compound fertilisers,Base 2015=100,82.17
272,Agricultural Input and Output Price Indices,2020,PK fertilisers,Base 2015=100,90.08
273,Agricultural Input and Output Price Indices,2020,NPK fertilisers,Base 2015=100,81.98
274,Agricultural Input and Output Price Indices,2020,Other fertilisers,Base 2015=100,105.71
275,Agricultural Input and Output Price Indices,2020,Plant protection products,Base 2015=100,104.07
276,Agricultural Input and Output Price Indices,2020,Veterinary expenses,Base 2015=100,109.03
277,Agricultural Input and Output Price Indices,2020,Feeding stuffs,Base 2015=100,108.14
278,Agricultural Input and Output Price Indices,2020,Straight feeding stuffs,Base 2015=100,110.68
279,Agricultural Input and Output Price Indices,2020,Compound feeding stuffs,Base 2015=100,108.01
280,Agricultural Input and Output Price Indices,2020,Compound feeding stuffs for calves,Base 2015=100,108.54
281,Agricultural Input and Output Price Indices,2020,Compound feeding stuffs for cattle excluding calves,Base 2015=100,106.63
282,Agricultural Input and Output Price Indices,2020,Compound feeding stuffs for pigs,Base 2015=100,114.94
283,Agricultural Input and Output Price Indices,2020,Compound feeding stuffs for poultry,Base 2015=100,105.02
284,Agricultural Input and Output Price Indices,2020,Other compound feeding stuffs,Base 2015=100,106.15
285,Agricultural Input and Output Price Indices,2020,Maintenance of materials and buildings,Base 2015=100,106.05
286,Agricultural Input and Output Price Indices,2020,Other goods and services,Base 2015=100,105.08
