,p_adj,unit,geotime,product,year,priceIDX
133,NI,I15,FR,013000,2021,133.96
134,NI,I15,HR,013000,2021,105.51
135,NI,I15,HU,013000,2021,136.76
136,NI,I15,IE,013000,2021,112.5
137,NI,I15,IT,013000,2021,122.3
138,NI,I15,LT,013000,2021,122.07
139,NI,I15,LU,013000,2021,127.01
140,NI,I15,LV,013000,2021,134.6
141,NI,I15,NL,013000,2021,142.3
142,NI,I15,PL,013000,2021,
143,NI,I15,PT,013000,2021,112.8
144,NI,I15,RO,013000,2021,134.85
145,NI,I15,SE,013000,2021,153.49
146,NI,I15,SI,013000,2021,123.62
147,NI,I15,SK,013000,2021,116.2
148,NI,I15,UK,013000,2021,
149,NI,I15,AT,013100,2021,
150,NI,I15,BE,013100,2021,
151,NI,I15,BG,013100,2021,
152,NI,I15,CY,013100,2021,
153,NI,I15,CZ,013100,2021,
154,NI,I15,DE,013100,2021,
155,NI,I15,DK,013100,2021,
156,NI,I15,EE,013100,2021,
157,NI,I15,EL,013100,2021,
158,NI,I15,ES,013100,2021,
159,NI,I15,EU27_2020,013100,2021,
160,NI,I15,EU28,013100,2021,
161,NI,I15,FI,013100,2021,
162,NI,I15,FR,013100,2021,
163,NI,I15,HR,013100,2021,
164,NI,I15,HU,013100,2021,
165,NI,I15,IE,013100,2021,
166,NI,I15,IT,013100,2021,
167,NI,I15,LT,013100,2021,
168,NI,I15,LU,013100,2021,
169,NI,I15,LV,013100,2021,
170,NI,I15,PL,013100,2021,
171,NI,I15,PT,013100,2021,
172,NI,I15,RO,013100,2021,
173,NI,I15,SE,013100,2021,
174,NI,I15,SI,013100,2021,
175,NI,I15,SK,013100,2021,
176,NI,I15,UK,013100,2021,
177,NI,I15,AT,013200,2021,
178,NI,I15,CZ,013200,2021,
179,NI,I15,DE,013200,2021,
180,NI,I15,ES,013200,2021,
181,NI,I15,EU27_2020,013200,2021,
182,NI,I15,EU28,013200,2021,
183,NI,I15,FI,013200,2021,
184,NI,I15,FR,013200,2021,
185,NI,I15,HR,013200,2021,
186,NI,I15,HU,013200,2021,
187,NI,I15,IE,013200,2021,
188,NI,I15,LT,013200,2021,
189,NI,I15,LU,013200,2021,
190,NI,I15,LV,013200,2021,
191,NI,I15,NL,013200,2021,
192,NI,I15,PL,013200,2021,
193,NI,I15,PT,013200,2021,
194,NI,I15,RO,013200,2021,
195,NI,I15,SE,013200,2021,
196,NI,I15,SK,013200,2021,
197,NI,I15,UK,013200,2021,
198,NI,I15,AT,014000,2021,141.0
199,NI,I15,BE,014000,2021,179.13
200,NI,I15,BG,014000,2021,99.37
201,NI,I15,CY,014000,2021,99.32
202,NI,I15,CZ,014000,2021,105.8
203,NI,I15,DK,014000,2021,124.07
204,NI,I15,EE,014000,2021,98.58
205,NI,I15,EL,014000,2021,100.47
206,NI,I15,ES,014000,2021,105.62
207,NI,I15,EU27_2020,014000,2021,
208,NI,I15,EU28,014000,2021,
209,NI,I15,FI,014000,2021,124.79
210,NI,I15,FR,014000,2021,138.28
211,NI,I15,HR,014000,2021,97.92
212,NI,I15,HU,014000,2021,136.62
213,NI,I15,IE,014000,2021,114.07
214,NI,I15,IT,014000,2021,112.0
215,NI,I15,LT,014000,2021,105.57
216,NI,I15,LU,014000,2021,127.33
217,NI,I15,LV,014000,2021,152.65
218,NI,I15,PL,014000,2021,
219,NI,I15,PT,014000,2021,110.61
220,NI,I15,RO,014000,2021,126.4
221,NI,I15,SE,014000,2021,143.61
222,NI,I15,SK,014000,2021,111.2
223,NI,I15,UK,014000,2021,
224,NI,I15,AT,015000,2021,157.8
225,NI,I15,BG,015000,2021,143.43
226,NI,I15,CZ,015000,2021,128.6
227,NI,I15,DE,015000,2021,139.9
228,NI,I15,EL,015000,2021,132.18
229,NI,I15,ES,015000,2021,151.04
230,NI,I15,EU27_2020,015000,2021,
231,NI,I15,EU28,015000,2021,
232,NI,I15,FR,015000,2021,138.45
233,NI,I15,HR,015000,2021,145.82
234,NI,I15,HU,015000,2021,165.0
235,NI,I15,IT,015000,2021,159.6
236,NI,I15,LT,015000,2021,139.68
237,NI,I15,LU,015000,2021,155.34
238,NI,I15,PL,015000,2021,
239,NI,I15,PT,015000,2021,140.62
240,NI,I15,RO,015000,2021,146.0
241,NI,I15,SI,015000,2021,146.37
242,NI,I15,SK,015000,2021,134.6
243,NI,I15,BG,016000,2021,100.05
244,NI,I15,EL,016000,2021,116.55
245,NI,I15,ES,016000,2021,121.2
246,NI,I15,EU27_2020,016000,2021,
247,NI,I15,EU28,016000,2021,
248,NI,I15,HU,016000,2021,140.0
249,NI,I15,IT,016000,2021,84.3
250,NI,I15,PT,016000,2021,123.56
251,NI,I15,AT,019000,2021,151.8
252,NI,I15,BE,019000,2021,166.2
253,NI,I15,BG,019000,2021,117.76
254,NI,I15,CY,019000,2021,159.13
255,NI,I15,CZ,019000,2021,115.0
256,NI,I15,DE,019000,2021,124.6
257,NI,I15,DK,019000,2021,118.99
258,NI,I15,ES,019000,2021,128.43
259,NI,I15,EU27_2020,019000,2021,
260,NI,I15,EU28,019000,2021,
261,NI,I15,FR,019000,2021,142.93
262,NI,I15,HR,019000,2021,115.57
263,NI,I15,HU,019000,2021,145.29
264,NI,I15,IT,019000,2021,138.5
265,NI,I15,LT,019000,2021,130.55
266,NI,I15,LU,019000,2021,130.62
267,NI,I15,LV,019000,2021,172.91
268,NI,I15,PL,019000,2021,
269,NI,I15,PT,019000,2021,114.46
270,NI,I15,SE,019000,2021,158.68
271,NI,I15,SK,019000,2021,111.3
272,NI,I15,AT,020000,2021,116.6
273,NI,I15,BE,020000,2021,121.85
274,NI,I15,BG,020000,2021,129.92
275,NI,I15,CY,020000,2021,131.51
276,NI,I15,CZ,020000,2021,113.7
277,NI,I15,DE,020000,2021,129.7
278,NI,I15,DK,020000,2021,123.66
279,NI,I15,EE,020000,2021,138.75
280,NI,I15,EL,020000,2021,112.3
281,NI,I15,ES,020000,2021,115.33
282,NI,I15,EU27_2020,020000,2021,
283,NI,I15,EU28,020000,2021,
284,NI,I15,FI,020000,2021,120.81
285,NI,I15,FR,020000,2021,133.42
286,NI,I15,HR,020000,2021,159.48
287,NI,I15,HU,020000,2021,151.52
288,NI,I15,IT,020000,2021,130.2
289,NI,I15,LT,020000,2021,124.6
290,NI,I15,LU,020000,2021,146.35
291,NI,I15,LV,020000,2021,137.36
292,NI,I15,NL,020000,2021,80.9
293,NI,I15,PL,020000,2021,
294,NI,I15,PT,020000,2021,132.76
295,NI,I15,RO,020000,2021,130.57
296,NI,I15,SE,020000,2021,154.84
297,NI,I15,SI,020000,2021,120.17
298,NI,I15,SK,020000,2021,117.0
299,NI,I15,UK,020000,2021,
300,NI,I15,AT,021000,2021,124.7
301,NI,I15,BE,021000,2021,188.08
302,NI,I15,BG,021000,2021,135.91
303,NI,I15,CY,021000,2021,131.51
304,NI,I15,CZ,021000,2021,117.6
305,NI,I15,DE,021000,2021,143.5
306,NI,I15,DK,021000,2021,131.84
307,NI,I15,EE,021000,2021,138.75
308,NI,I15,EL,021000,2021,110.84
309,NI,I15,ES,021000,2021,145.08
310,NI,I15,EU27_2020,021000,2021,
311,NI,I15,EU28,021000,2021,
312,NI,I15,FI,021000,2021,139.66
313,NI,I15,FR,021000,2021,146.48
314,NI,I15,HR,021000,2021,170.24
315,NI,I15,HU,021000,2021,152.64
316,NI,I15,IT,021000,2021,152.6
317,NI,I15,LT,021000,2021,134.96
318,NI,I15,LU,021000,2021,146.33
319,NI,I15,LV,021000,2021,137.44
320,NI,I15,PL,021000,2021,
321,NI,I15,PT,021000,2021,137.63
322,NI,I15,RO,021000,2021,131.89
323,NI,I15,SE,021000,2021,170.93
324,NI,I15,SI,021000,2021,118.09
325,NI,I15,SK,021000,2021,125.2
326,NI,I15,UK,021000,2021,
327,NI,I15,AT,021100,2021,
328,NI,I15,BE,021100,2021,
329,NI,I15,BG,021100,2021,
330,NI,I15,CZ,021100,2021,
331,NI,I15,DE,021100,2021,
332,NI,I15,DK,021100,2021,
333,NI,I15,EE,021100,2021,
334,NI,I15,EU27_2020,021100,2021,
335,NI,I15,EU28,021100,2021,
336,NI,I15,FI,021100,2021,
337,NI,I15,FR,021100,2021,
338,NI,I15,HR,021100,2021,
339,NI,I15,HU,021100,2021,
340,NI,I15,LT,021100,2021,
341,NI,I15,LU,021100,2021,
342,NI,I15,LV,021100,2021,
343,NI,I15,PL,021100,2021,
344,NI,I15,RO,021100,2021,
345,NI,I15,SE,021100,2021,
346,NI,I15,SI,021100,2021,
347,NI,I15,SK,021100,2021,
348,NI,I15,UK,021100,2021,
349,NI,I15,AT,021200,2021,
350,NI,I15,BG,021200,2021,
351,NI,I15,CZ,021200,2021,
352,NI,I15,EL,021200,2021,
353,NI,I15,ES,021200,2021,
354,NI,I15,EU27_2020,021200,2021,
355,NI,I15,EU28,021200,2021,
356,NI,I15,FR,021200,2021,
357,NI,I15,HR,021200,2021,
358,NI,I15,HU,021200,2021,
359,NI,I15,IT,021200,2021,
360,NI,I15,PT,021200,2021,
361,NI,I15,RO,021200,2021,
362,NI,I15,SK,021200,2021,
363,NI,I15,AT,021300,2021,
364,NI,I15,BG,021300,2021,
365,NI,I15,EU27_2020,021300,2021,
366,NI,I15,EU28,021300,2021,
367,NI,I15,FR,021300,2021,
368,NI,I15,HR,021300,2021,
369,NI,I15,HU,021300,2021,
370,NI,I15,IT,021300,2021,
371,NI,I15,RO,021300,2021,
372,NI,I15,SI,021300,2021,
373,NI,I15,SK,021300,2021,
374,NI,I15,AT,021900,2021,
375,NI,I15,BG,021900,2021,
376,NI,I15,CY,021900,2021,
377,NI,I15,CZ,021900,2021,
378,NI,I15,EL,021900,2021,
379,NI,I15,EU27_2020,021900,2021,
380,NI,I15,EU28,021900,2021,
