"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2011Q4","Donegal","Number","5560"
"Herds in County","2011Q4","Dublin","Number","391"
"Herds in County","2011Q4","Galway","Number","11599"
"Herds in County","2011Q4","Kerry","Number","6952"
"Herds in County","2011Q4","Kildare","Number","1921"
"Herds in County","2011Q4","Kilkenny","Number","3137"
"Herds in County","2011Q4","Laois","Number","2915"
"Herds in County","2011Q4","Leitrim","Number","3093"
"Herds in County","2011Q4","Limerick","Number","5487"
"Herds in County","2011Q4","Longford","Number","2431"
"Herds in County","2011Q4","Louth","Number","1190"
"Herds in County","2011Q4","Mayo","Number","9709"
"Herds in County","2011Q4","Meath","Number","3700"
"Herds in County","2011Q4","Monaghan","Number","4259"
"Herds in County","2011Q4","Offaly","Number","3157"
"Herds in County","2011Q4","Roscommon","Number","5499"
"Herds in County","2011Q4","Sligo","Number","3646"
"Herds in County","2011Q4","Tipperary North","Number","3488"
"Herds in County","2011Q4","Tipperary South","Number","3460"
"Herds in County","2011Q4","Waterford","Number","2234"
"Herds in County","2011Q4","Westmeath","Number","3141"
"Herds in County","2011Q4","Wexford","Number","3068"
"Herds in County","2011Q4","Wicklow E","Number","1065"
"Herds in County","2011Q4","Wicklow W","Number","571"
"Herds in County","2012Q1","State","Number","116621"
"Herds in County","2012Q1","Carlow","Number","1366"
"Herds in County","2012Q1","Cavan","Number","4879"
"Herds in County","2012Q1","Clare","Number","6184"
"Herds in County","2012Q1","Cork North","Number","5855"
"Herds in County","2012Q1","Cork South","Number","6253"
"Herds in County","2012Q1","Donegal","Number","5595"
"Herds in County","2012Q1","Dublin","Number","395"
"Herds in County","2012Q1","Galway","Number","11664"
"Herds in County","2012Q1","Kerry","Number","6977"
"Herds in County","2012Q1","Kildare","Number","1885"
"Herds in County","2012Q1","Kilkenny","Number","3158"
"Herds in County","2012Q1","Laois","Number","2893"
"Herds in County","2012Q1","Leitrim","Number","3100"
"Herds in County","2012Q1","Limerick","Number","5520"
"Herds in County","2012Q1","Longford","Number","2436"
"Herds in County","2012Q1","Louth","Number","1199"
"Herds in County","2012Q1","Mayo","Number","9747"
"Herds in County","2012Q1","Meath","Number","3709"
"Herds in County","2012Q1","Monaghan","Number","4283"
"Herds in County","2012Q1","Offaly","Number","3184"
"Herds in County","2012Q1","Roscommon","Number","5521"
"Herds in County","2012Q1","Sligo","Number","3665"
"Herds in County","2012Q1","Tipperary North","Number","3511"
"Herds in County","2012Q1","Tipperary South","Number","3481"
"Herds in County","2012Q1","Waterford","Number","2250"
"Herds in County","2012Q1","Westmeath","Number","3166"
"Herds in County","2012Q1","Wexford","Number","3103"
"Herds in County","2012Q1","Wicklow E","Number","1074"
"Herds in County","2012Q1","Wicklow W","Number","568"
"Herds in County","2012Q2","State","Number","117724"
"Herds in County","2012Q2","Carlow","Number","1330"
"Herds in County","2012Q2","Cavan","Number","4935"
"Herds in County","2012Q2","Clare","Number","6247"
"Herds in County","2012Q2","Cork North","Number","5927"
"Herds in County","2012Q2","Cork South","Number","6315"
"Herds in County","2012Q2","Donegal","Number","5656"
"Herds in County","2012Q2","Dublin","Number","400"
"Herds in County","2012Q2","Galway","Number","11773"
"Herds in County","2012Q2","Kerry","Number","7042"
"Herds in County","2012Q2","Kildare","Number","1926"
"Herds in County","2012Q2","Kilkenny","Number","3181"
"Herds in County","2012Q2","Laois","Number","2921"
"Herds in County","2012Q2","Leitrim","Number","3131"
"Herds in County","2012Q2","Limerick","Number","5584"
"Herds in County","2012Q2","Longford","Number","2454"
"Herds in County","2012Q2","Louth","Number","1217"
"Herds in County","2012Q2","Mayo","Number","9812"
"Herds in County","2012Q2","Meath","Number","3764"
"Herds in County","2012Q2","Monaghan","Number","4325"
"Herds in County","2012Q2","Offaly","Number","3212"
"Herds in County","2012Q2","Roscommon","Number","5584"
"Herds in County","2012Q2","Sligo","Number","3694"
"Herds in County","2012Q2","Tipperary North","Number","3539"
"Herds in County","2012Q2","Tipperary South","Number","3519"
"Herds in County","2012Q2","Waterford","Number","2281"
"Herds in County","2012Q2","Westmeath","Number","3196"
"Herds in County","2012Q2","Wexford","Number","3121"
"Herds in County","2012Q2","Wicklow E","Number","1068"
"Herds in County","2012Q2","Wicklow W","Number","570"
"Herds in County","2012Q3","State","Number","117905"
"Herds in County","2012Q3","Carlow","Number","1331"
"Herds in County","2012Q3","Cavan","Number","4954"
"Herds in County","2012Q3","Clare","Number","6265"
"Herds in County","2012Q3","Cork North","Number","5942"
"Herds in County","2012Q3","Cork South","Number","6337"
"Herds in County","2012Q3","Donegal","Number","5678"
"Herds in County","2012Q3","Dublin","Number","403"
"Herds in County","2012Q3","Galway","Number","11798"
"Herds in County","2012Q3","Kerry","Number","7052"
"Herds in County","2012Q3","Kildare","Number","1938"
"Herds in County","2012Q3","Kilkenny","Number","3190"
"Herds in County","2012Q3","Laois","Number","2930"
"Herds in County","2012Q3","Leitrim","Number","3112"
"Herds in County","2012Q3","Limerick","Number","5602"
"Herds in County","2012Q3","Longford","Number","2438"
"Herds in County","2012Q3","Louth","Number","1216"
"Herds in County","2012Q3","Mayo","Number","9829"
"Herds in County","2012Q3","Meath","Number","3768"
"Herds in County","2012Q3","Monaghan","Number","4345"
"Herds in County","2012Q3","Offaly","Number","3222"
"Herds in County","2012Q3","Roscommon","Number","5583"
"Herds in County","2012Q3","Sligo","Number","3663"
"Herds in County","2012Q3","Tipperary North","Number","3546"
"Herds in County","2012Q3","Tipperary South","Number","3531"
"Herds in County","2012Q3","Waterford","Number","2281"
"Herds in County","2012Q3","Westmeath","Number","3203"
"Herds in County","2012Q3","Wexford","Number","3099"
"Herds in County","2012Q3","Wicklow E","Number","1080"
"Herds in County","2012Q3","Wicklow W","Number","569"
"Herds in County","2012Q4","State","Number","115787"
"Herds in County","2012Q4","Carlow","Number","1333"
"Herds in County","2012Q4","Cavan","Number","4878"
"Herds in County","2012Q4","Clare","Number","6249"
"Herds in County","2012Q4","Cork North","Number","5812"
"Herds in County","2012Q4","Cork South","Number","6228"
"Herds in County","2012Q4","Donegal","Number","5549"
"Herds in County","2012Q4","Dublin","Number","384"
"Herds in County","2012Q4","Galway","Number","11611"
"Herds in County","2012Q4","Kerry","Number","6846"
"Herds in County","2012Q4","Kildare","Number","1881"
"Herds in County","2012Q4","Kilkenny","Number","3150"
"Herds in County","2012Q4","Laois","Number","2879"
"Herds in County","2012Q4","Leitrim","Number","3064"
"Herds in County","2012Q4","Limerick","Number","5514"
"Herds in County","2012Q4","Longford","Number","2442"
"Herds in County","2012Q4","Louth","Number","1186"
"Herds in County","2012Q4","Mayo","Number","9618"
"Herds in County","2012Q4","Meath","Number","3695"
"Herds in County","2012Q4","Monaghan","Number","4256"
"Herds in County","2012Q4","Offaly","Number","3154"
"Herds in County","2012Q4","Roscommon","Number","5477"
"Herds in County","2012Q4","Sligo","Number","3625"
"Herds in County","2012Q4","Tipperary North","Number","3445"
"Herds in County","2012Q4","Tipperary South","Number","3432"
"Herds in County","2012Q4","Waterford","Number","2242"
"Herds in County","2012Q4","Westmeath","Number","3096"
"Herds in County","2012Q4","Wexford","Number","3091"
"Herds in County","2012Q4","Wicklow E","Number","1087"
"Herds in County","2012Q4","Wicklow W","Number","563"
"Herds in County","2013Q1","State","Number","116092"
"Herds in County","2013Q1","Carlow","Number","1330"
"Herds in County","2013Q1","Cavan","Number","4890"
"Herds in County","2013Q1","Clare","Number","6270"
"Herds in County","2013Q1","Cork North","Number","5835"
"Herds in County","2013Q1","Cork South","Number","6228"
"Herds in County","2013Q1","Donegal","Number","5579"
"Herds in County","2013Q1","Dublin","Number","387"
"Herds in County","2013Q1","Galway","Number","11631"
"Herds in County","2013Q1","Kerry","Number","6860"
"Herds in County","2013Q1","Kildare","Number","1905"
"Herds in County","2013Q1","Kilkenny","Number","3163"
"Herds in County","2013Q1","Laois","Number","2891"
"Herds in County","2013Q1","Leitrim","Number","3067"
"Herds in County","2013Q1","Limerick","Number","5511"
"Herds in County","2013Q1","Longford","Number","2443"
"Herds in County","2013Q1","Louth","Number","1187"
"Herds in County","2013Q1","Mayo","Number","9627"
"Herds in County","2013Q1","Meath","Number","3705"
"Herds in County","2013Q1","Monaghan","Number","4274"
"Herds in County","2013Q1","Offaly","Number","3167"
"Herds in County","2013Q1","Roscommon","Number","5498"
"Herds in County","2013Q1","Sligo","Number","3630"
"Herds in County","2013Q1","Tipperary North","Number","3454"
"Herds in County","2013Q1","Tipperary South","Number","3452"
"Herds in County","2013Q1","Waterford","Number","2250"
"Herds in County","2013Q1","Westmeath","Number","3104"
"Herds in County","2013Q1","Wexford","Number","3097"
"Herds in County","2013Q1","Wicklow E","Number","1092"
"Herds in County","2013Q1","Wicklow W","Number","565"
"Herds in County","2013Q2","State","Number","117069"
"Herds in County","2013Q2","Carlow","Number","1345"
"Herds in County","2013Q2","Cavan","Number","4919"
"Herds in County","2013Q2","Clare","Number","6303"
"Herds in County","2013Q2","Cork North","Number","5896"
"Herds in County","2013Q2","Cork South","Number","6275"
"Herds in County","2013Q2","Donegal","Number","5633"
"Herds in County","2013Q2","Dublin","Number","391"
"Herds in County","2013Q2","Galway","Number","11706"
"Herds in County","2013Q2","Kerry","Number","6918"
"Herds in County","2013Q2","Kildare","Number","1955"
"Herds in County","2013Q2","Kilkenny","Number","3187"
"Herds in County","2013Q2","Laois","Number","2926"
"Herds in County","2013Q2","Leitrim","Number","3091"
"Herds in County","2013Q2","Limerick","Number","5567"
