"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds Tested","2013Q2","Tipperary South","Number","1469"
"Herds Tested","2013Q2","Waterford","Number","998"
"Herds Tested","2013Q2","Westmeath","Number","1571"
"Herds Tested","2013Q2","Wexford","Number","1610"
"Herds Tested","2013Q2","Wicklow E","Number","616"
"Herds Tested","2013Q2","Wicklow W","Number","292"
"Herds Tested","2013Q3","State","Number","87678"
"Herds Tested","2013Q3","Carlow","Number","1005"
"Herds Tested","2013Q3","Cavan","Number","3796"
"Herds Tested","2013Q3","Clare","Number","5016"
"Herds Tested","2013Q3","Cork North","Number","4239"
"Herds Tested","2013Q3","Cork South","Number","4446"
"Herds Tested","2013Q3","Donegal","Number","4102"
"Herds Tested","2013Q3","Dublin","Number","279"
"Herds Tested","2013Q3","Galway","Number","8937"
"Herds Tested","2013Q3","Kerry","Number","5124"
"Herds Tested","2013Q3","Kildare","Number","1287"
"Herds Tested","2013Q3","Kilkenny","Number","2378"
"Herds Tested","2013Q3","Laois","Number","2099"
"Herds Tested","2013Q3","Leitrim","Number","2343"
"Herds Tested","2013Q3","Limerick","Number","4178"
"Herds Tested","2013Q3","Longford","Number","1806"
"Herds Tested","2013Q3","Louth","Number","924"
"Herds Tested","2013Q3","Mayo","Number","7776"
"Herds Tested","2013Q3","Meath","Number","2755"
"Herds Tested","2013Q3","Monaghan","Number","3307"
"Herds Tested","2013Q3","Offaly","Number","2237"
"Herds Tested","2013Q3","Roscommon","Number","4189"
"Herds Tested","2013Q3","Sligo","Number","2879"
"Herds Tested","2013Q3","Tipperary North","Number","2583"
"Herds Tested","2013Q3","Tipperary South","Number","2473"
"Herds Tested","2013Q3","Waterford","Number","1676"
"Herds Tested","2013Q3","Westmeath","Number","2311"
"Herds Tested","2013Q3","Wexford","Number","2281"
"Herds Tested","2013Q3","Wicklow E","Number","840"
"Herds Tested","2013Q3","Wicklow W","Number","412"
"Herds Tested","2013Q4","State","Number","114051"
"Herds Tested","2013Q4","Carlow","Number","1302"
"Herds Tested","2013Q4","Cavan","Number","4804"
"Herds Tested","2013Q4","Clare","Number","6187"
"Herds Tested","2013Q4","Cork North","Number","5712"
"Herds Tested","2013Q4","Cork South","Number","6076"
"Herds Tested","2013Q4","Donegal","Number","5411"
"Herds Tested","2013Q4","Dublin","Number","383"
"Herds Tested","2013Q4","Galway","Number","11528"
"Herds Tested","2013Q4","Kerry","Number","6718"
"Herds Tested","2013Q4","Kildare","Number","1888"
"Herds Tested","2013Q4","Kilkenny","Number","3143"
"Herds Tested","2013Q4","Laois","Number","2847"
"Herds Tested","2013Q4","Leitrim","Number","3017"
"Herds Tested","2013Q4","Limerick","Number","5476"
"Herds Tested","2013Q4","Longford","Number","2366"
"Herds Tested","2013Q4","Louth","Number","1153"
"Herds Tested","2013Q4","Mayo","Number","9584"
"Herds Tested","2013Q4","Meath","Number","3645"
"Herds Tested","2013Q4","Monaghan","Number","4224"
"Herds Tested","2013Q4","Offaly","Number","3054"
"Herds Tested","2013Q4","Roscommon","Number","5410"
"Herds Tested","2013Q4","Sligo","Number","3572"
"Herds Tested","2013Q4","Tipperary North","Number","3376"
"Herds Tested","2013Q4","Tipperary South","Number","3360"
"Herds Tested","2013Q4","Waterford","Number","2237"
"Herds Tested","2013Q4","Westmeath","Number","2978"
"Herds Tested","2013Q4","Wexford","Number","2998"
"Herds Tested","2013Q4","Wicklow E","Number","1039"
"Herds Tested","2013Q4","Wicklow W","Number","563"
"Herds Tested","2014Q1","State","Number","24535"
"Herds Tested","2014Q1","Carlow","Number","272"
"Herds Tested","2014Q1","Cavan","Number","1297"
"Herds Tested","2014Q1","Clare","Number","1321"
"Herds Tested","2014Q1","Cork North","Number","1080"
"Herds Tested","2014Q1","Cork South","Number","1073"
"Herds Tested","2014Q1","Donegal","Number","1102"
"Herds Tested","2014Q1","Dublin","Number","86"
"Herds Tested","2014Q1","Galway","Number","1947"
"Herds Tested","2014Q1","Kerry","Number","1183"
"Herds Tested","2014Q1","Kildare","Number","421"
"Herds Tested","2014Q1","Kilkenny","Number","716"
"Herds Tested","2014Q1","Laois","Number","680"
"Herds Tested","2014Q1","Leitrim","Number","658"
"Herds Tested","2014Q1","Limerick","Number","1146"
"Herds Tested","2014Q1","Longford","Number","514"
"Herds Tested","2014Q1","Louth","Number","333"
"Herds Tested","2014Q1","Mayo","Number","1980"
"Herds Tested","2014Q1","Meath","Number","986"
"Herds Tested","2014Q1","Monaghan","Number","1078"
"Herds Tested","2014Q1","Offaly","Number","680"
"Herds Tested","2014Q1","Roscommon","Number","1444"
"Herds Tested","2014Q1","Sligo","Number","753"
"Herds Tested","2014Q1","Tipperary North","Number","790"
"Herds Tested","2014Q1","Tipperary South","Number","597"
"Herds Tested","2014Q1","Waterford","Number","436"
"Herds Tested","2014Q1","Westmeath","Number","713"
"Herds Tested","2014Q1","Wexford","Number","802"
"Herds Tested","2014Q1","Wicklow E","Number","320"
"Herds Tested","2014Q1","Wicklow W","Number","127"
"Herds Tested","2014Q2","State","Number","56653"
"Herds Tested","2014Q2","Carlow","Number","646"
"Herds Tested","2014Q2","Cavan","Number","2556"
"Herds Tested","2014Q2","Clare","Number","3305"
"Herds Tested","2014Q2","Cork North","Number","2572"
"Herds Tested","2014Q2","Cork South","Number","2699"
"Herds Tested","2014Q2","Donegal","Number","2574"
"Herds Tested","2014Q2","Dublin","Number","204"
"Herds Tested","2014Q2","Galway","Number","5327"
"Herds Tested","2014Q2","Kerry","Number","3152"
"Herds Tested","2014Q2","Kildare","Number","877"
"Herds Tested","2014Q2","Kilkenny","Number","1556"
"Herds Tested","2014Q2","Laois","Number","1405"
"Herds Tested","2014Q2","Leitrim","Number","1669"
"Herds Tested","2014Q2","Limerick","Number","2638"
"Herds Tested","2014Q2","Longford","Number","1173"
"Herds Tested","2014Q2","Louth","Number","656"
"Herds Tested","2014Q2","Mayo","Number","4876"
"Herds Tested","2014Q2","Meath","Number","1879"
"Herds Tested","2014Q2","Monaghan","Number","2300"
"Herds Tested","2014Q2","Offaly","Number","1509"
"Herds Tested","2014Q2","Roscommon","Number","2904"
"Herds Tested","2014Q2","Sligo","Number","1886"
"Herds Tested","2014Q2","Tipperary North","Number","1760"
"Herds Tested","2014Q2","Tipperary South","Number","1473"
"Herds Tested","2014Q2","Waterford","Number","989"
"Herds Tested","2014Q2","Westmeath","Number","1542"
"Herds Tested","2014Q2","Wexford","Number","1614"
"Herds Tested","2014Q2","Wicklow E","Number","622"
"Herds Tested","2014Q2","Wicklow W","Number","290"
"Herds Tested","2014Q3","State","Number","89756"
"Herds Tested","2014Q3","Carlow","Number","1019"
"Herds Tested","2014Q3","Cavan","Number","3874"
"Herds Tested","2014Q3","Clare","Number","5086"
"Herds Tested","2014Q3","Cork North","Number","4337"
"Herds Tested","2014Q3","Cork South","Number","4552"
"Herds Tested","2014Q3","Donegal","Number","4145"
"Herds Tested","2014Q3","Dublin","Number","294"
"Herds Tested","2014Q3","Galway","Number","9214"
"Herds Tested","2014Q3","Kerry","Number","5246"
"Herds Tested","2014Q3","Kildare","Number","1357"
"Herds Tested","2014Q3","Kilkenny","Number","2422"
"Herds Tested","2014Q3","Laois","Number","2137"
"Herds Tested","2014Q3","Leitrim","Number","2408"
"Herds Tested","2014Q3","Limerick","Number","4277"
"Herds Tested","2014Q3","Longford","Number","1845"
"Herds Tested","2014Q3","Louth","Number","954"
"Herds Tested","2014Q3","Mayo","Number","7899"
"Herds Tested","2014Q3","Meath","Number","2815"
"Herds Tested","2014Q3","Monaghan","Number","3355"
"Herds Tested","2014Q3","Offaly","Number","2323"
"Herds Tested","2014Q3","Roscommon","Number","4405"
"Herds Tested","2014Q3","Sligo","Number","2924"
"Herds Tested","2014Q3","Tipperary North","Number","2636"
"Herds Tested","2014Q3","Tipperary South","Number","2566"
"Herds Tested","2014Q3","Waterford","Number","1693"
"Herds Tested","2014Q3","Westmeath","Number","2357"
"Herds Tested","2014Q3","Wexford","Number","2333"
"Herds Tested","2014Q3","Wicklow E","Number","861"
"Herds Tested","2014Q3","Wicklow W","Number","422"
"Herds Tested","2014Q4","State","Number","112937"
"Herds Tested","2014Q4","Carlow","Number","1307"
"Herds Tested","2014Q4","Cavan","Number","4761"
"Herds Tested","2014Q4","Clare","Number","6138"
"Herds Tested","2014Q4","Cork North","Number","5717"
"Herds Tested","2014Q4","Cork South","Number","6019"
"Herds Tested","2014Q4","Donegal","Number","5339"
"Herds Tested","2014Q4","Dublin","Number","384"
"Herds Tested","2014Q4","Galway","Number","11330"
"Herds Tested","2014Q4","Kerry","Number","6764"
"Herds Tested","2014Q4","Kildare","Number","1890"
"Herds Tested","2014Q4","Kilkenny","Number","3144"
"Herds Tested","2014Q4","Laois","Number","2848"
"Herds Tested","2014Q4","Leitrim","Number","2951"
"Herds Tested","2014Q4","Limerick","Number","5431"
"Herds Tested","2014Q4","Longford","Number","2360"
"Herds Tested","2014Q4","Louth","Number","1153"
"Herds Tested","2014Q4","Mayo","Number","9325"
"Herds Tested","2014Q4","Meath","Number","3538"
"Herds Tested","2014Q4","Monaghan","Number","4166"
"Herds Tested","2014Q4","Offaly","Number","3042"
"Herds Tested","2014Q4","Roscommon","Number","5357"
"Herds Tested","2014Q4","Sligo","Number","3530"
"Herds Tested","2014Q4","Tipperary North","Number","3367"
"Herds Tested","2014Q4","Tipperary South","Number","3333"
"Herds Tested","2014Q4","Waterford","Number","2220"
"Herds Tested","2014Q4","Westmeath","Number","2956"
"Herds Tested","2014Q4","Wexford","Number","2993"
"Herds Tested","2014Q4","Wicklow E","Number","1031"
"Herds Tested","2014Q4","Wicklow W","Number","543"
"Herds Tested","2015Q1","State","Number","24544"
"Herds Tested","2015Q1","Carlow","Number","244"
"Herds Tested","2015Q1","Cavan","Number","1335"
"Herds Tested","2015Q1","Clare","Number","1359"
"Herds Tested","2015Q1","Cork North","Number","1062"
"Herds Tested","2015Q1","Cork South","Number","1049"
"Herds Tested","2015Q1","Donegal","Number","1094"
"Herds Tested","2015Q1","Dublin","Number","91"
"Herds Tested","2015Q1","Galway","Number","1980"
"Herds Tested","2015Q1","Kerry","Number","1249"
"Herds Tested","2015Q1","Kildare","Number","440"
"Herds Tested","2015Q1","Kilkenny","Number","685"
"Herds Tested","2015Q1","Laois","Number","673"
"Herds Tested","2015Q1","Leitrim","Number","688"
"Herds Tested","2015Q1","Limerick","Number","1133"
"Herds Tested","2015Q1","Longford","Number","520"
"Herds Tested","2015Q1","Louth","Number","315"
"Herds Tested","2015Q1","Mayo","Number","2002"
"Herds Tested","2015Q1","Meath","Number","944"
"Herds Tested","2015Q1","Monaghan","Number","1092"
"Herds Tested","2015Q1","Offaly","Number","716"
"Herds Tested","2015Q1","Roscommon","Number","1405"
"Herds Tested","2015Q1","Sligo","Number","837"
"Herds Tested","2015Q1","Tipperary North","Number","759"
"Herds Tested","2015Q1","Tipperary South","Number","589"
"Herds Tested","2015Q1","Waterford","Number","393"
"Herds Tested","2015Q1","Westmeath","Number","712"
"Herds Tested","2015Q1","Wexford","Number","732"
"Herds Tested","2015Q1","Wicklow E","Number","306"
"Herds Tested","2015Q1","Wicklow W","Number","140"
"Herds Tested","2015Q2","State","Number","56444"
"Herds Tested","2015Q2","Carlow","Number","660"
"Herds Tested","2015Q2","Cavan","Number","2617"
"Herds Tested","2015Q2","Clare","Number","3355"
"Herds Tested","2015Q2","Cork North","Number","2523"
"Herds Tested","2015Q2","Cork South","Number","2619"
"Herds Tested","2015Q2","Donegal","Number","2537"
"Herds Tested","2015Q2","Dublin","Number","187"
"Herds Tested","2015Q2","Galway","Number","5285"
"Herds Tested","2015Q2","Kerry","Number","3252"
"Herds Tested","2015Q2","Kildare","Number","909"
"Herds Tested","2015Q2","Kilkenny","Number","1496"
"Herds Tested","2015Q2","Laois","Number","1420"
"Herds Tested","2015Q2","Leitrim","Number","1673"
"Herds Tested","2015Q2","Limerick","Number","2548"
"Herds Tested","2015Q2","Longford","Number","1184"
"Herds Tested","2015Q2","Louth","Number","631"
"Herds Tested","2015Q2","Mayo","Number","4823"
"Herds Tested","2015Q2","Meath","Number","1838"
"Herds Tested","2015Q2","Monaghan","Number","2313"
"Herds Tested","2015Q2","Offaly","Number","1549"
"Herds Tested","2015Q2","Roscommon","Number","2853"
"Herds Tested","2015Q2","Sligo","Number","1957"
"Herds Tested","2015Q2","Tipperary North","Number","1752"
"Herds Tested","2015Q2","Tipperary South","Number","1493"
"Herds Tested","2015Q2","Waterford","Number","977"
"Herds Tested","2015Q2","Westmeath","Number","1538"
"Herds Tested","2015Q2","Wexford","Number","1532"
"Herds Tested","2015Q2","Wicklow E","Number","613"
"Herds Tested","2015Q2","Wicklow W","Number","310"
"Herds Tested","2015Q3","State","Number","87124"
"Herds Tested","2015Q3","Carlow","Number","1001"
"Herds Tested","2015Q3","Cavan","Number","3773"
"Herds Tested","2015Q3","Clare","Number","5035"
"Herds Tested","2015Q3","Cork North","Number","4193"
"Herds Tested","2015Q3","Cork South","Number","4363"
"Herds Tested","2015Q3","Donegal","Number","4003"
"Herds Tested","2015Q3","Dublin","Number","275"
"Herds Tested","2015Q3","Galway","Number","8916"
"Herds Tested","2015Q3","Kerry","Number","5156"
"Herds Tested","2015Q3","Kildare","Number","1336"
"Herds Tested","2015Q3","Kilkenny","Number","2310"
"Herds Tested","2015Q3","Laois","Number","2139"
"Herds Tested","2015Q3","Leitrim","Number","2332"
"Herds Tested","2015Q3","Limerick","Number","4107"
"Herds Tested","2015Q3","Longford","Number","1790"
"Herds Tested","2015Q3","Louth","Number","930"
"Herds Tested","2015Q3","Mayo","Number","7636"
"Herds Tested","2015Q3","Meath","Number","2712"
"Herds Tested","2015Q3","Monaghan","Number","3305"
"Herds Tested","2015Q3","Offaly","Number","2270"
"Herds Tested","2015Q3","Roscommon","Number","4190"
"Herds Tested","2015Q3","Sligo","Number","2863"
"Herds Tested","2015Q3","Tipperary North","Number","2580"
"Herds Tested","2015Q3","Tipperary South","Number","2504"
"Herds Tested","2015Q3","Waterford","Number","1615"
"Herds Tested","2015Q3","Westmeath","Number","2262"
"Herds Tested","2015Q3","Wexford","Number","2252"
"Herds Tested","2015Q3","Wicklow E","Number","848"
"Herds Tested","2015Q3","Wicklow W","Number","428"
"Herds Tested","2015Q4","State","Number","113331"
"Herds Tested","2015Q4","Carlow","Number","1298"
"Herds Tested","2015Q4","Cavan","Number","4764"
"Herds Tested","2015Q4","Clare","Number","6169"
"Herds Tested","2015Q4","Cork North","Number","5727"
"Herds Tested","2015Q4","Cork South","Number","6027"
"Herds Tested","2015Q4","Donegal","Number","5351"
"Herds Tested","2015Q4","Dublin","Number","378"
"Herds Tested","2015Q4","Galway","Number","11252"
"Herds Tested","2015Q4","Kerry","Number","6787"
"Herds Tested","2015Q4","Kildare","Number","1901"
"Herds Tested","2015Q4","Kilkenny","Number","3144"
"Herds Tested","2015Q4","Laois","Number","2904"
"Herds Tested","2015Q4","Leitrim","Number","2999"
"Herds Tested","2015Q4","Limerick","Number","5460"
"Herds Tested","2015Q4","Longford","Number","2388"
"Herds Tested","2015Q4","Louth","Number","1190"
"Herds Tested","2015Q4","Mayo","Number","9246"
"Herds Tested","2015Q4","Meath","Number","3666"
"Herds Tested","2015Q4","Monaghan","Number","4162"
"Herds Tested","2015Q4","Offaly","Number","3057"
"Herds Tested","2015Q4","Roscommon","Number","5387"
"Herds Tested","2015Q4","Sligo","Number","3537"
"Herds Tested","2015Q4","Tipperary North","Number","3365"
"Herds Tested","2015Q4","Tipperary South","Number","3356"
"Herds Tested","2015Q4","Waterford","Number","2241"
"Herds Tested","2015Q4","Westmeath","Number","2972"
"Herds Tested","2015Q4","Wexford","Number","3005"
"Herds Tested","2015Q4","Wicklow E","Number","1047"
"Herds Tested","2015Q4","Wicklow W","Number","551"
"Herds Tested","2016Q1","State","Number","24263"
"Herds Tested","2016Q1","Carlow","Number","273"
"Herds Tested","2016Q1","Cavan","Number","1352"
"Herds Tested","2016Q1","Clare","Number","1284"
"Herds Tested","2016Q1","Cork North","Number","1000"
"Herds Tested","2016Q1","Cork South","Number","1095"
"Herds Tested","2016Q1","Donegal","Number","1102"
"Herds Tested","2016Q1","Dublin","Number","88"
"Herds Tested","2016Q1","Galway","Number","1937"
"Herds Tested","2016Q1","Kerry","Number","1199"
"Herds Tested","2016Q1","Kildare","Number","422"
"Herds Tested","2016Q1","Kilkenny","Number","648"
"Herds Tested","2016Q1","Laois","Number","664"
"Herds Tested","2016Q1","Leitrim","Number","669"
"Herds Tested","2016Q1","Limerick","Number","1165"
"Herds Tested","2016Q1","Longford","Number","543"
"Herds Tested","2016Q1","Louth","Number","301"
"Herds Tested","2016Q1","Mayo","Number","2031"
"Herds Tested","2016Q1","Meath","Number","918"
"Herds Tested","2016Q1","Monaghan","Number","1103"
"Herds Tested","2016Q1","Offaly","Number","727"
"Herds Tested","2016Q1","Roscommon","Number","1423"
"Herds Tested","2016Q1","Sligo","Number","759"
"Herds Tested","2016Q1","Tipperary North","Number","747"
"Herds Tested","2016Q1","Tipperary South","Number","572"
"Herds Tested","2016Q1","Waterford","Number","387"
"Herds Tested","2016Q1","Westmeath","Number","704"
"Herds Tested","2016Q1","Wexford","Number","689"
"Herds Tested","2016Q1","Wicklow E","Number","300"
"Herds Tested","2016Q1","Wicklow W","Number","161"
"Herds Tested","2016Q2","State","Number","57113"
"Herds Tested","2016Q2","Carlow","Number","671"
"Herds Tested","2016Q2","Cavan","Number","2622"
"Herds Tested","2016Q2","Clare","Number","3344"
"Herds Tested","2016Q2","Cork North","Number","2524"
"Herds Tested","2016Q2","Cork South","Number","2738"
"Herds Tested","2016Q2","Donegal","Number","2582"
"Herds Tested","2016Q2","Dublin","Number","195"
"Herds Tested","2016Q2","Galway","Number","5372"
"Herds Tested","2016Q2","Kerry","Number","3268"
"Herds Tested","2016Q2","Kildare","Number","914"
"Herds Tested","2016Q2","Kilkenny","Number","1503"
"Herds Tested","2016Q2","Laois","Number","1443"
"Herds Tested","2016Q2","Leitrim","Number","1593"
"Herds Tested","2016Q2","Limerick","Number","2681"
"Herds Tested","2016Q2","Longford","Number","1198"
"Herds Tested","2016Q2","Louth","Number","657"
"Herds Tested","2016Q2","Mayo","Number","4852"
"Herds Tested","2016Q2","Meath","Number","1900"
"Herds Tested","2016Q2","Monaghan","Number","2327"
"Herds Tested","2016Q2","Offaly","Number","1569"
"Herds Tested","2016Q2","Roscommon","Number","2854"
"Herds Tested","2016Q2","Sligo","Number","1962"
"Herds Tested","2016Q2","Tipperary North","Number","1774"
"Herds Tested","2016Q2","Tipperary South","Number","1518"
"Herds Tested","2016Q2","Waterford","Number","994"
"Herds Tested","2016Q2","Westmeath","Number","1593"
"Herds Tested","2016Q2","Wexford","Number","1528"
"Herds Tested","2016Q2","Wicklow E","Number","604"
"Herds Tested","2016Q2","Wicklow W","Number","333"
"Herds Tested","2016Q3","State","Number","85864"
"Herds Tested","2016Q3","Carlow","Number","988"
"Herds Tested","2016Q3","Cavan","Number","3749"
"Herds Tested","2016Q3","Clare","Number","4954"
"Herds Tested","2016Q3","Cork North","Number","4143"
"Herds Tested","2016Q3","Cork South","Number","4356"
"Herds Tested","2016Q3","Donegal","Number","3904"
"Herds Tested","2016Q3","Dublin","Number","277"
"Herds Tested","2016Q3","Galway","Number","8725"
"Herds Tested","2016Q3","Kerry","Number","5138"
"Herds Tested","2016Q3","Kildare","Number","1308"
"Herds Tested","2016Q3","Kilkenny","Number","2253"
"Herds Tested","2016Q3","Laois","Number","2082"
"Herds Tested","2016Q3","Leitrim","Number","2263"
"Herds Tested","2016Q3","Limerick","Number","4094"
"Herds Tested","2016Q3","Longford","Number","1804"
"Herds Tested","2016Q3","Louth","Number","919"
"Herds Tested","2016Q3","Mayo","Number","7426"
"Herds Tested","2016Q3","Meath","Number","2684"
"Herds Tested","2016Q3","Monaghan","Number","3224"
"Herds Tested","2016Q3","Offaly","Number","2268"
"Herds Tested","2016Q3","Roscommon","Number","4169"
"Herds Tested","2016Q3","Sligo","Number","2827"
"Herds Tested","2016Q3","Tipperary North","Number","2533"
"Herds Tested","2016Q3","Tipperary South","Number","2447"
"Herds Tested","2016Q3","Waterford","Number","1592"
"Herds Tested","2016Q3","Westmeath","Number","2246"
"Herds Tested","2016Q3","Wexford","Number","2238"
"Herds Tested","2016Q3","Wicklow E","Number","831"
"Herds Tested","2016Q3","Wicklow W","Number","422"
"Herds Tested","2016Q4","State","Number","112595"
"Herds Tested","2016Q4","Carlow","Number","1311"
"Herds Tested","2016Q4","Cavan","Number","4795"
"Herds Tested","2016Q4","Clare","Number","6124"
"Herds Tested","2016Q4","Cork North","Number","5643"
"Herds Tested","2016Q4","Cork South","Number","5947"
"Herds Tested","2016Q4","Donegal","Number","5300"
"Herds Tested","2016Q4","Dublin","Number","369"
"Herds Tested","2016Q4","Galway","Number","11095"
"Herds Tested","2016Q4","Kerry","Number","6608"
"Herds Tested","2016Q4","Kildare","Number","1883"
"Herds Tested","2016Q4","Kilkenny","Number","3093"
"Herds Tested","2016Q4","Laois","Number","2859"
"Herds Tested","2016Q4","Leitrim","Number","2942"
"Herds Tested","2016Q4","Limerick","Number","5395"
"Herds Tested","2016Q4","Longford","Number","2387"
"Herds Tested","2016Q4","Louth","Number","1179"
"Herds Tested","2016Q4","Mayo","Number","9132"
"Herds Tested","2016Q4","Meath","Number","3589"
"Herds Tested","2016Q4","Monaghan","Number","4187"
"Herds Tested","2016Q4","Offaly","Number","3109"
"Herds Tested","2016Q4","Roscommon","Number","5417"
"Herds Tested","2016Q4","Sligo","Number","3511"
"Herds Tested","2016Q4","Tipperary North","Number","3416"
"Herds Tested","2016Q4","Tipperary South","Number","3413"
"Herds Tested","2016Q4","Waterford","Number","2192"
"Herds Tested","2016Q4","Westmeath","Number","3013"
"Herds Tested","2016Q4","Wexford","Number","3061"
"Herds Tested","2016Q4","Wicklow E","Number","1074"
"Herds Tested","2016Q4","Wicklow W","Number","551"
"Herds Tested","2017Q1","State","Number","24426"
"Herds Tested","2017Q1","Carlow","Number","289"
"Herds Tested","2017Q1","Cavan","Number","1298"
"Herds Tested","2017Q1","Clare","Number","1327"
"Herds Tested","2017Q1","Cork North","Number","1065"
"Herds Tested","2017Q1","Cork South","Number","1111"
"Herds Tested","2017Q1","Donegal","Number","1078"
"Herds Tested","2017Q1","Dublin","Number","91"
"Herds Tested","2017Q1","Galway","Number","1940"
"Herds Tested","2017Q1","Kerry","Number","1335"
"Herds Tested","2017Q1","Kildare","Number","417"
"Herds Tested","2017Q1","Kilkenny","Number","642"
"Herds Tested","2017Q1","Laois","Number","647"
"Herds Tested","2017Q1","Leitrim","Number","678"
"Herds Tested","2017Q1","Limerick","Number","1166"
"Herds Tested","2017Q1","Longford","Number","509"
"Herds Tested","2017Q1","Louth","Number","310"
"Herds Tested","2017Q1","Mayo","Number","2044"
"Herds Tested","2017Q1","Meath","Number","968"
"Herds Tested","2017Q1","Monaghan","Number","1171"
"Herds Tested","2017Q1","Offaly","Number","733"
"Herds Tested","2017Q1","Roscommon","Number","1340"
"Herds Tested","2017Q1","Sligo","Number","763"
"Herds Tested","2017Q1","Tipperary North","Number","745"
"Herds Tested","2017Q1","Tipperary South","Number","554"
"Herds Tested","2017Q1","Waterford","Number","407"
"Herds Tested","2017Q1","Westmeath","Number","695"
"Herds Tested","2017Q1","Wexford","Number","679"
"Herds Tested","2017Q1","Wicklow E","Number","287"
"Herds Tested","2017Q1","Wicklow W","Number","137"
"Herds Tested","2017Q2","State","Number","55812"
"Herds Tested","2017Q2","Carlow","Number","654"
"Herds Tested","2017Q2","Cavan","Number","2588"
"Herds Tested","2017Q2","Clare","Number","3306"
"Herds Tested","2017Q2","Cork North","Number","2494"
"Herds Tested","2017Q2","Cork South","Number","2670"
"Herds Tested","2017Q2","Donegal","Number","2523"
"Herds Tested","2017Q2","Dublin","Number","187"
"Herds Tested","2017Q2","Galway","Number","5208"
"Herds Tested","2017Q2","Kerry","Number","3278"
"Herds Tested","2017Q2","Kildare","Number","895"
"Herds Tested","2017Q2","Kilkenny","Number","1436"
"Herds Tested","2017Q2","Laois","Number","1415"
"Herds Tested","2017Q2","Leitrim","Number","1573"
"Herds Tested","2017Q2","Limerick","Number","2661"
"Herds Tested","2017Q2","Longford","Number","1173"
"Herds Tested","2017Q2","Louth","Number","645"
"Herds Tested","2017Q2","Mayo","Number","4678"
"Herds Tested","2017Q2","Meath","Number","1876"
"Herds Tested","2017Q2","Monaghan","Number","2298"
"Herds Tested","2017Q2","Offaly","Number","1525"
"Herds Tested","2017Q2","Roscommon","Number","2774"
"Herds Tested","2017Q2","Sligo","Number","1884"
"Herds Tested","2017Q2","Tipperary North","Number","1742"
"Herds Tested","2017Q2","Tipperary South","Number","1442"
"Herds Tested","2017Q2","Waterford","Number","954"
"Herds Tested","2017Q2","Westmeath","Number","1559"
"Herds Tested","2017Q2","Wexford","Number","1501"
"Herds Tested","2017Q2","Wicklow E","Number","575"
"Herds Tested","2017Q2","Wicklow W","Number","298"
"Herds Tested","2017Q3","State","Number","87253"
"Herds Tested","2017Q3","Carlow","Number","999"
"Herds Tested","2017Q3","Cavan","Number","3844"
"Herds Tested","2017Q3","Clare","Number","5018"
"Herds Tested","2017Q3","Cork North","Number","4219"
"Herds Tested","2017Q3","Cork South","Number","4444"
"Herds Tested","2017Q3","Donegal","Number","3983"
"Herds Tested","2017Q3","Dublin","Number","281"
"Herds Tested","2017Q3","Galway","Number","8818"
"Herds Tested","2017Q3","Kerry","Number","5255"
"Herds Tested","2017Q3","Kildare","Number","1321"
"Herds Tested","2017Q3","Kilkenny","Number","2249"
"Herds Tested","2017Q3","Laois","Number","2121"
"Herds Tested","2017Q3","Leitrim","Number","2386"
"Herds Tested","2017Q3","Limerick","Number","4152"
"Herds Tested","2017Q3","Longford","Number","1831"
"Herds Tested","2017Q3","Louth","Number","933"
"Herds Tested","2017Q3","Mayo","Number","7541"
"Herds Tested","2017Q3","Meath","Number","2728"
"Herds Tested","2017Q3","Monaghan","Number","3270"
"Herds Tested","2017Q3","Offaly","Number","2283"
"Herds Tested","2017Q3","Roscommon","Number","4214"
"Herds Tested","2017Q3","Sligo","Number","2852"
"Herds Tested","2017Q3","Tipperary North","Number","2579"
"Herds Tested","2017Q3","Tipperary South","Number","2460"
"Herds Tested","2017Q3","Waterford","Number","1589"
"Herds Tested","2017Q3","Westmeath","Number","2326"
"Herds Tested","2017Q3","Wexford","Number","2311"
"Herds Tested","2017Q3","Wicklow E","Number","831"
"Herds Tested","2017Q3","Wicklow W","Number","415"
"Herds Tested","2017Q4","State","Number","111901"
"Herds Tested","2017Q4","Carlow","Number","1297"
"Herds Tested","2017Q4","Cavan","Number","4757"
"Herds Tested","2017Q4","Clare","Number","6059"
"Herds Tested","2017Q4","Cork North","Number","5720"
"Herds Tested","2017Q4","Cork South","Number","6007"
"Herds Tested","2017Q4","Donegal","Number","5207"
"Herds Tested","2017Q4","Dublin","Number","377"
"Herds Tested","2017Q4","Galway","Number","10977"
"Herds Tested","2017Q4","Kerry","Number","6661"
"Herds Tested","2017Q4","Kildare","Number","1866"
"Herds Tested","2017Q4","Kilkenny","Number","3051"
"Herds Tested","2017Q4","Laois","Number","2834"
"Herds Tested","2017Q4","Leitrim","Number","2895"
"Herds Tested","2017Q4","Limerick","Number","5358"
"Herds Tested","2017Q4","Longford","Number","2358"
"Herds Tested","2017Q4","Louth","Number","1148"
"Herds Tested","2017Q4","Mayo","Number","8936"
"Herds Tested","2017Q4","Meath","Number","3572"
"Herds Tested","2017Q4","Monaghan","Number","4194"
"Herds Tested","2017Q4","Offaly","Number","3111"
"Herds Tested","2017Q4","Roscommon","Number","5390"
