"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980M03","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M04","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","128"
"Fertiliser Price","1980M04","Urea (46% N)","Euro per Tonne","163"
"Fertiliser Price","1980M04","Granular Superphosphate (16% P)","Euro per Tonne","168"
"Fertiliser Price","1980M04","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980M04","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980M04","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980M04","Compound 7-6-17","Euro per Tonne","159"
"Fertiliser Price","1980M04","Compound 10-10-20","Euro per Tonne","170"
"Fertiliser Price","1980M04","Compound 14-7-14","Euro per Tonne","162"
"Fertiliser Price","1980M04","Compound 18-6-12","Euro per Tonne","163"
"Fertiliser Price","1980M04","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980M04","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1980M04","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M04","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M04","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M04","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M05","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","129"
"Fertiliser Price","1980M05","Urea (46% N)","Euro per Tonne","164"
"Fertiliser Price","1980M05","Granular Superphosphate (16% P)","Euro per Tonne","170"
"Fertiliser Price","1980M05","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980M05","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980M05","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980M05","Compound 7-6-17","Euro per Tonne","174"
"Fertiliser Price","1980M05","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980M05","Compound 14-7-14","Euro per Tonne","161"
"Fertiliser Price","1980M05","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980M05","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980M05","Compound 27-2.5-5","Euro per Tonne","163"
"Fertiliser Price","1980M05","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M05","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M05","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M05","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M06","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980M06","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980M06","Granular Superphosphate (16% P)","Euro per Tonne","171"
"Fertiliser Price","1980M06","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980M06","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980M06","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980M06","Compound 7-6-17","Euro per Tonne","176"
"Fertiliser Price","1980M06","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980M06","Compound 14-7-14","Euro per Tonne","163"
"Fertiliser Price","1980M06","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980M06","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980M06","Compound 27-2.5-5","Euro per Tonne","163"
"Fertiliser Price","1980M06","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M06","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M06","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M06","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M07","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980M07","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980M07","Granular Superphosphate (16% P)","Euro per Tonne","175"
"Fertiliser Price","1980M07","Muriate of Potash (50% K)","Euro per Tonne","115"
"Fertiliser Price","1980M07","Compound 0-10-20","Euro per Tonne","133"
"Fertiliser Price","1980M07","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980M07","Compound 7-6-17","Euro per Tonne","168"
"Fertiliser Price","1980M07","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980M07","Compound 14-7-14","Euro per Tonne","163"
"Fertiliser Price","1980M07","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980M07","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980M07","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1980M07","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M07","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M07","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M07","Compound 24-2.2-4.5","Euro per Tonne",""
