"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds Tested","2019","Laois","Number","2681"
"Herds Tested","2019","Leitrim","Number","2839"
"Herds Tested","2019","Limerick","Number","5106"
"Herds Tested","2019","Longford","Number","2309"
"Herds Tested","2019","Louth","Number","1159"
"Herds Tested","2019","Mayo","Number","8656"
"Herds Tested","2019","Meath","Number","3579"
"Herds Tested","2019","Monaghan","Number","4162"
"Herds Tested","2019","Offaly","Number","3032"
"Herds Tested","2019","Roscommon","Number","5352"
"Herds Tested","2019","Sligo","Number","3335"
"Herds Tested","2019","Tipperary North","Number","3371"
"Herds Tested","2019","Tipperary South","Number","3349"
"Herds Tested","2019","Waterford","Number","2135"
"Herds Tested","2019","Westmeath","Number","3013"
"Herds Tested","2019","Wexford","Number","3011"
"Herds Tested","2019","Wicklow E","Number","1042"
"Herds Tested","2019","Wicklow W","Number","503"
"Herds Tested","2020","State","Number","108407"
"Herds Tested","2020","Carlow","Number","1283"
"Herds Tested","2020","Cavan","Number","4711"
"Herds Tested","2020","Clare","Number","5830"
"Herds Tested","2020","Cork North","Number","5424"
"Herds Tested","2020","Cork South","Number","5709"
"Herds Tested","2020","Donegal","Number","5041"
"Herds Tested","2020","Dublin","Number","325"
"Herds Tested","2020","Galway","Number","10649"
"Herds Tested","2020","Kerry","Number","6400"
"Herds Tested","2020","Kildare","Number","1696"
"Herds Tested","2020","Kilkenny","Number","3016"
"Herds Tested","2020","Laois","Number","2646"
"Herds Tested","2020","Leitrim","Number","2834"
"Herds Tested","2020","Limerick","Number","5123"
"Herds Tested","2020","Longford","Number","2313"
"Herds Tested","2020","Louth","Number","1113"
"Herds Tested","2020","Mayo","Number","8611"
"Herds Tested","2020","Meath","Number","3528"
"Herds Tested","2020","Monaghan","Number","4124"
"Herds Tested","2020","Offaly","Number","2978"
"Herds Tested","2020","Roscommon","Number","5339"
"Herds Tested","2020","Sligo","Number","3346"
"Herds Tested","2020","Tipperary North","Number","3330"
"Herds Tested","2020","Tipperary South","Number","3324"
"Herds Tested","2020","Waterford","Number","2141"
"Herds Tested","2020","Westmeath","Number","2998"
"Herds Tested","2020","Wexford","Number","3016"
"Herds Tested","2020","Wicklow E","Number","1054"
"Herds Tested","2020","Wicklow W","Number","505"
"Herds Restricted since 1st of January","2010","State","Number","5304"
"Herds Restricted since 1st of January","2010","Carlow","Number","52"
"Herds Restricted since 1st of January","2010","Cavan","Number","257"
"Herds Restricted since 1st of January","2010","Clare","Number","350"
"Herds Restricted since 1st of January","2010","Cork North","Number","259"
"Herds Restricted since 1st of January","2010","Cork South","Number","385"
"Herds Restricted since 1st of January","2010","Donegal","Number","182"
"Herds Restricted since 1st of January","2010","Dublin","Number","28"
"Herds Restricted since 1st of January","2010","Galway","Number","463"
"Herds Restricted since 1st of January","2010","Kerry","Number","151"
"Herds Restricted since 1st of January","2010","Kildare","Number","94"
"Herds Restricted since 1st of January","2010","Kilkenny","Number","185"
"Herds Restricted since 1st of January","2010","Laois","Number","154"
"Herds Restricted since 1st of January","2010","Leitrim","Number","84"
"Herds Restricted since 1st of January","2010","Limerick","Number","169"
"Herds Restricted since 1st of January","2010","Longford","Number","82"
"Herds Restricted since 1st of January","2010","Louth","Number","68"
"Herds Restricted since 1st of January","2010","Mayo","Number","189"
"Herds Restricted since 1st of January","2010","Meath","Number","281"
"Herds Restricted since 1st of January","2010","Monaghan","Number","149"
"Herds Restricted since 1st of January","2010","Offaly","Number","195"
"Herds Restricted since 1st of January","2010","Roscommon","Number","256"
"Herds Restricted since 1st of January","2010","Sligo","Number","113"
"Herds Restricted since 1st of January","2010","Tipperary North","Number","232"
"Herds Restricted since 1st of January","2010","Tipperary South","Number","173"
"Herds Restricted since 1st of January","2010","Waterford","Number","122"
"Herds Restricted since 1st of January","2010","Westmeath","Number","200"
"Herds Restricted since 1st of January","2010","Wexford","Number","241"
"Herds Restricted since 1st of January","2010","Wicklow E","Number","164"
"Herds Restricted since 1st of January","2010","Wicklow W","Number","26"
"Herds Restricted since 1st of January","2011","State","Number","4780"
"Herds Restricted since 1st of January","2011","Carlow","Number","66"
"Herds Restricted since 1st of January","2011","Cavan","Number","190"
"Herds Restricted since 1st of January","2011","Clare","Number","286"
"Herds Restricted since 1st of January","2011","Cork North","Number","310"
"Herds Restricted since 1st of January","2011","Cork South","Number","355"
"Herds Restricted since 1st of January","2011","Donegal","Number","185"
"Herds Restricted since 1st of January","2011","Dublin","Number","21"
"Herds Restricted since 1st of January","2011","Galway","Number","384"
"Herds Restricted since 1st of January","2011","Kerry","Number","184"
"Herds Restricted since 1st of January","2011","Kildare","Number","71"
"Herds Restricted since 1st of January","2011","Kilkenny","Number","206"
"Herds Restricted since 1st of January","2011","Laois","Number","130"
"Herds Restricted since 1st of January","2011","Leitrim","Number","72"
"Herds Restricted since 1st of January","2011","Limerick","Number","152"
"Herds Restricted since 1st of January","2011","Longford","Number","102"
"Herds Restricted since 1st of January","2011","Louth","Number","50"
"Herds Restricted since 1st of January","2011","Mayo","Number","182"
"Herds Restricted since 1st of January","2011","Meath","Number","273"
"Herds Restricted since 1st of January","2011","Monaghan","Number","113"
"Herds Restricted since 1st of January","2011","Offaly","Number","144"
"Herds Restricted since 1st of January","2011","Roscommon","Number","215"
"Herds Restricted since 1st of January","2011","Sligo","Number","93"
"Herds Restricted since 1st of January","2011","Tipperary North","Number","148"
"Herds Restricted since 1st of January","2011","Tipperary South","Number","133"
"Herds Restricted since 1st of January","2011","Waterford","Number","113"
"Herds Restricted since 1st of January","2011","Westmeath","Number","160"
"Herds Restricted since 1st of January","2011","Wexford","Number","285"
"Herds Restricted since 1st of January","2011","Wicklow E","Number","114"
"Herds Restricted since 1st of January","2011","Wicklow W","Number","43"
"Herds Restricted since 1st of January","2012","State","Number","4856"
"Herds Restricted since 1st of January","2012","Carlow","Number","61"
"Herds Restricted since 1st of January","2012","Cavan","Number","186"
"Herds Restricted since 1st of January","2012","Clare","Number","310"
"Herds Restricted since 1st of January","2012","Cork North","Number","290"
"Herds Restricted since 1st of January","2012","Cork South","Number","367"
"Herds Restricted since 1st of January","2012","Donegal","Number","233"
"Herds Restricted since 1st of January","2012","Dublin","Number","25"
"Herds Restricted since 1st of January","2012","Galway","Number","291"
"Herds Restricted since 1st of January","2012","Kerry","Number","180"
"Herds Restricted since 1st of January","2012","Kildare","Number","78"
"Herds Restricted since 1st of January","2012","Kilkenny","Number","203"
"Herds Restricted since 1st of January","2012","Laois","Number","140"
"Herds Restricted since 1st of January","2012","Leitrim","Number","69"
"Herds Restricted since 1st of January","2012","Limerick","Number","219"
"Herds Restricted since 1st of January","2012","Longford","Number","84"
"Herds Restricted since 1st of January","2012","Louth","Number","54"
"Herds Restricted since 1st of January","2012","Mayo","Number","192"
"Herds Restricted since 1st of January","2012","Meath","Number","264"
"Herds Restricted since 1st of January","2012","Monaghan","Number","114"
"Herds Restricted since 1st of January","2012","Offaly","Number","140"
"Herds Restricted since 1st of January","2012","Roscommon","Number","252"
"Herds Restricted since 1st of January","2012","Sligo","Number","126"
"Herds Restricted since 1st of January","2012","Tipperary North","Number","185"
"Herds Restricted since 1st of January","2012","Tipperary South","Number","117"
"Herds Restricted since 1st of January","2012","Waterford","Number","103"
"Herds Restricted since 1st of January","2012","Westmeath","Number","173"
"Herds Restricted since 1st of January","2012","Wexford","Number","234"
"Herds Restricted since 1st of January","2012","Wicklow E","Number","112"
"Herds Restricted since 1st of January","2012","Wicklow W","Number","54"
"Herds Restricted since 1st of January","2013","State","Number","4430"
"Herds Restricted since 1st of January","2013","Carlow","Number","33"
"Herds Restricted since 1st of January","2013","Cavan","Number","212"
"Herds Restricted since 1st of January","2013","Clare","Number","299"
"Herds Restricted since 1st of January","2013","Cork North","Number","257"
"Herds Restricted since 1st of January","2013","Cork South","Number","306"
"Herds Restricted since 1st of January","2013","Donegal","Number","214"
"Herds Restricted since 1st of January","2013","Dublin","Number","31"
"Herds Restricted since 1st of January","2013","Galway","Number","312"
"Herds Restricted since 1st of January","2013","Kerry","Number","188"
"Herds Restricted since 1st of January","2013","Kildare","Number","70"
"Herds Restricted since 1st of January","2013","Kilkenny","Number","168"
"Herds Restricted since 1st of January","2013","Laois","Number","96"
"Herds Restricted since 1st of January","2013","Leitrim","Number","70"
"Herds Restricted since 1st of January","2013","Limerick","Number","165"
"Herds Restricted since 1st of January","2013","Longford","Number","63"
"Herds Restricted since 1st of January","2013","Louth","Number","59"
"Herds Restricted since 1st of January","2013","Mayo","Number","184"
"Herds Restricted since 1st of January","2013","Meath","Number","222"
"Herds Restricted since 1st of January","2013","Monaghan","Number","133"
"Herds Restricted since 1st of January","2013","Offaly","Number","126"
"Herds Restricted since 1st of January","2013","Roscommon","Number","239"
"Herds Restricted since 1st of January","2013","Sligo","Number","104"
"Herds Restricted since 1st of January","2013","Tipperary North","Number","172"
"Herds Restricted since 1st of January","2013","Tipperary South","Number","98"
"Herds Restricted since 1st of January","2013","Waterford","Number","79"
"Herds Restricted since 1st of January","2013","Westmeath","Number","150"
"Herds Restricted since 1st of January","2013","Wexford","Number","253"
"Herds Restricted since 1st of January","2013","Wicklow E","Number","85"
"Herds Restricted since 1st of January","2013","Wicklow W","Number","42"
"Herds Restricted since 1st of January","2014","State","Number","4111"
"Herds Restricted since 1st of January","2014","Carlow","Number","26"
"Herds Restricted since 1st of January","2014","Cavan","Number","179"
"Herds Restricted since 1st of January","2014","Clare","Number","299"
"Herds Restricted since 1st of January","2014","Cork North","Number","264"
"Herds Restricted since 1st of January","2014","Cork South","Number","255"
"Herds Restricted since 1st of January","2014","Donegal","Number","152"
"Herds Restricted since 1st of January","2014","Dublin","Number","28"
"Herds Restricted since 1st of January","2014","Galway","Number","321"
"Herds Restricted since 1st of January","2014","Kerry","Number","204"
"Herds Restricted since 1st of January","2014","Kildare","Number","85"
"Herds Restricted since 1st of January","2014","Kilkenny","Number","139"
"Herds Restricted since 1st of January","2014","Laois","Number","92"
"Herds Restricted since 1st of January","2014","Leitrim","Number","88"
"Herds Restricted since 1st of January","2014","Limerick","Number","137"
"Herds Restricted since 1st of January","2014","Longford","Number","50"
"Herds Restricted since 1st of January","2014","Louth","Number","43"
"Herds Restricted since 1st of January","2014","Mayo","Number","130"
"Herds Restricted since 1st of January","2014","Meath","Number","194"
"Herds Restricted since 1st of January","2014","Monaghan","Number","106"
"Herds Restricted since 1st of January","2014","Offaly","Number","146"
"Herds Restricted since 1st of January","2014","Roscommon","Number","231"
"Herds Restricted since 1st of January","2014","Sligo","Number","109"
"Herds Restricted since 1st of January","2014","Tipperary North","Number","145"
"Herds Restricted since 1st of January","2014","Tipperary South","Number","107"
"Herds Restricted since 1st of January","2014","Waterford","Number","61"
"Herds Restricted since 1st of January","2014","Westmeath","Number","182"
"Herds Restricted since 1st of January","2014","Wexford","Number","208"
"Herds Restricted since 1st of January","2014","Wicklow E","Number","84"
"Herds Restricted since 1st of January","2014","Wicklow W","Number","46"
"Herds Restricted since 1st of January","2015","State","Number","3823"
"Herds Restricted since 1st of January","2015","Carlow","Number","57"
"Herds Restricted since 1st of January","2015","Cavan","Number","187"
"Herds Restricted since 1st of January","2015","Clare","Number","253"
"Herds Restricted since 1st of January","2015","Cork North","Number","206"
"Herds Restricted since 1st of January","2015","Cork South","Number","231"
"Herds Restricted since 1st of January","2015","Donegal","Number","106"
"Herds Restricted since 1st of January","2015","Dublin","Number","27"
"Herds Restricted since 1st of January","2015","Galway","Number","289"
"Herds Restricted since 1st of January","2015","Kerry","Number","139"
"Herds Restricted since 1st of January","2015","Kildare","Number","82"
"Herds Restricted since 1st of January","2015","Kilkenny","Number","133"
"Herds Restricted since 1st of January","2015","Laois","Number","126"
"Herds Restricted since 1st of January","2015","Leitrim","Number","87"
"Herds Restricted since 1st of January","2015","Limerick","Number","105"
"Herds Restricted since 1st of January","2015","Longford","Number","61"
"Herds Restricted since 1st of January","2015","Louth","Number","47"
"Herds Restricted since 1st of January","2015","Mayo","Number","134"
"Herds Restricted since 1st of January","2015","Meath","Number","197"
"Herds Restricted since 1st of January","2015","Monaghan","Number","129"
"Herds Restricted since 1st of January","2015","Offaly","Number","159"
"Herds Restricted since 1st of January","2015","Roscommon","Number","163"
"Herds Restricted since 1st of January","2015","Sligo","Number","124"
"Herds Restricted since 1st of January","2015","Tipperary North","Number","138"
"Herds Restricted since 1st of January","2015","Tipperary South","Number","105"
"Herds Restricted since 1st of January","2015","Waterford","Number","60"
"Herds Restricted since 1st of January","2015","Westmeath","Number","147"
"Herds Restricted since 1st of January","2015","Wexford","Number","189"
"Herds Restricted since 1st of January","2015","Wicklow E","Number","71"
"Herds Restricted since 1st of January","2015","Wicklow W","Number","71"
"Herds Restricted since 1st of January","2016","State","Number","3682"
"Herds Restricted since 1st of January","2016","Carlow","Number","33"
"Herds Restricted since 1st of January","2016","Cavan","Number","157"
"Herds Restricted since 1st of January","2016","Clare","Number","235"
"Herds Restricted since 1st of January","2016","Cork North","Number","246"
"Herds Restricted since 1st of January","2016","Cork South","Number","212"
"Herds Restricted since 1st of January","2016","Donegal","Number","117"
"Herds Restricted since 1st of January","2016","Dublin","Number","26"
"Herds Restricted since 1st of January","2016","Galway","Number","289"
"Herds Restricted since 1st of January","2016","Kerry","Number","164"
"Herds Restricted since 1st of January","2016","Kildare","Number","67"
"Herds Restricted since 1st of January","2016","Kilkenny","Number","113"
"Herds Restricted since 1st of January","2016","Laois","Number","120"
"Herds Restricted since 1st of January","2016","Leitrim","Number","46"
"Herds Restricted since 1st of January","2016","Limerick","Number","131"
"Herds Restricted since 1st of January","2016","Longford","Number","56"
"Herds Restricted since 1st of January","2016","Louth","Number","46"
"Herds Restricted since 1st of January","2016","Mayo","Number","143"
"Herds Restricted since 1st of January","2016","Meath","Number","201"
"Herds Restricted since 1st of January","2016","Monaghan","Number","168"
"Herds Restricted since 1st of January","2016","Offaly","Number","149"
"Herds Restricted since 1st of January","2016","Roscommon","Number","140"
"Herds Restricted since 1st of January","2016","Sligo","Number","92"
"Herds Restricted since 1st of January","2016","Tipperary North","Number","148"
"Herds Restricted since 1st of January","2016","Tipperary South","Number","102"
"Herds Restricted since 1st of January","2016","Waterford","Number","59"
"Herds Restricted since 1st of January","2016","Westmeath","Number","136"
"Herds Restricted since 1st of January","2016","Wexford","Number","139"
"Herds Restricted since 1st of January","2016","Wicklow E","Number","78"
"Herds Restricted since 1st of January","2016","Wicklow W","Number","69"
"Herds Restricted since 1st of January","2017","State","Number","3885"
"Herds Restricted since 1st of January","2017","Carlow","Number","46"
"Herds Restricted since 1st of January","2017","Cavan","Number","263"
"Herds Restricted since 1st of January","2017","Clare","Number","204"
"Herds Restricted since 1st of January","2017","Cork North","Number","270"
"Herds Restricted since 1st of January","2017","Cork South","Number","246"
"Herds Restricted since 1st of January","2017","Donegal","Number","104"
"Herds Restricted since 1st of January","2017","Dublin","Number","21"
"Herds Restricted since 1st of January","2017","Galway","Number","284"
"Herds Restricted since 1st of January","2017","Kerry","Number","180"
"Herds Restricted since 1st of January","2017","Kildare","Number","68"
"Herds Restricted since 1st of January","2017","Kilkenny","Number","99"
"Herds Restricted since 1st of January","2017","Laois","Number","93"
"Herds Restricted since 1st of January","2017","Leitrim","Number","83"
"Herds Restricted since 1st of January","2017","Limerick","Number","121"
"Herds Restricted since 1st of January","2017","Longford","Number","52"
"Herds Restricted since 1st of January","2017","Louth","Number","46"
"Herds Restricted since 1st of January","2017","Mayo","Number","197"
"Herds Restricted since 1st of January","2017","Meath","Number","206"
"Herds Restricted since 1st of January","2017","Monaghan","Number","207"
"Herds Restricted since 1st of January","2017","Offaly","Number","114"
"Herds Restricted since 1st of January","2017","Roscommon","Number","146"
"Herds Restricted since 1st of January","2017","Sligo","Number","105"
"Herds Restricted since 1st of January","2017","Tipperary North","Number","146"
"Herds Restricted since 1st of January","2017","Tipperary South","Number","111"
"Herds Restricted since 1st of January","2017","Waterford","Number","36"
"Herds Restricted since 1st of January","2017","Westmeath","Number","175"
"Herds Restricted since 1st of January","2017","Wexford","Number","138"
"Herds Restricted since 1st of January","2017","Wicklow E","Number","63"
"Herds Restricted since 1st of January","2017","Wicklow W","Number","61"
"Herds Restricted since 1st of January","2018","State","Number","3874"
"Herds Restricted since 1st of January","2018","Carlow","Number","35"
"Herds Restricted since 1st of January","2018","Cavan","Number","201"
"Herds Restricted since 1st of January","2018","Clare","Number","225"
"Herds Restricted since 1st of January","2018","Cork North","Number","320"
"Herds Restricted since 1st of January","2018","Cork South","Number","161"
"Herds Restricted since 1st of January","2018","Donegal","Number","87"
"Herds Restricted since 1st of January","2018","Dublin","Number","30"
"Herds Restricted since 1st of January","2018","Galway","Number","241"
"Herds Restricted since 1st of January","2018","Kerry","Number","172"
"Herds Restricted since 1st of January","2018","Kildare","Number","63"
"Herds Restricted since 1st of January","2018","Kilkenny","Number","88"
"Herds Restricted since 1st of January","2018","Laois","Number","100"
"Herds Restricted since 1st of January","2018","Leitrim","Number","58"
"Herds Restricted since 1st of January","2018","Limerick","Number","94"
"Herds Restricted since 1st of January","2018","Longford","Number","46"
"Herds Restricted since 1st of January","2018","Louth","Number","56"
"Herds Restricted since 1st of January","2018","Mayo","Number","193"
"Herds Restricted since 1st of January","2018","Meath","Number","193"
"Herds Restricted since 1st of January","2018","Monaghan","Number","371"
"Herds Restricted since 1st of January","2018","Offaly","Number","122"
"Herds Restricted since 1st of January","2018","Roscommon","Number","144"
"Herds Restricted since 1st of January","2018","Sligo","Number","134"
"Herds Restricted since 1st of January","2018","Tipperary North","Number","165"
"Herds Restricted since 1st of January","2018","Tipperary South","Number","96"
"Herds Restricted since 1st of January","2018","Waterford","Number","59"
"Herds Restricted since 1st of January","2018","Westmeath","Number","147"
"Herds Restricted since 1st of January","2018","Wexford","Number","129"
"Herds Restricted since 1st of January","2018","Wicklow E","Number","98"
"Herds Restricted since 1st of January","2018","Wicklow W","Number","46"
"Herds Restricted since 1st of January","2019","State","Number","4060"
"Herds Restricted since 1st of January","2019","Carlow","Number","37"
"Herds Restricted since 1st of January","2019","Cavan","Number","216"
"Herds Restricted since 1st of January","2019","Clare","Number","273"
"Herds Restricted since 1st of January","2019","Cork North","Number","342"
"Herds Restricted since 1st of January","2019","Cork South","Number","181"
"Herds Restricted since 1st of January","2019","Donegal","Number","117"
"Herds Restricted since 1st of January","2019","Dublin","Number","18"
"Herds Restricted since 1st of January","2019","Galway","Number","299"
"Herds Restricted since 1st of January","2019","Kerry","Number","184"
"Herds Restricted since 1st of January","2019","Kildare","Number","55"
"Herds Restricted since 1st of January","2019","Kilkenny","Number","131"
"Herds Restricted since 1st of January","2019","Laois","Number","114"
"Herds Restricted since 1st of January","2019","Leitrim","Number","73"
"Herds Restricted since 1st of January","2019","Limerick","Number","105"
"Herds Restricted since 1st of January","2019","Longford","Number","51"
"Herds Restricted since 1st of January","2019","Louth","Number","64"
"Herds Restricted since 1st of January","2019","Mayo","Number","141"
"Herds Restricted since 1st of January","2019","Meath","Number","199"
"Herds Restricted since 1st of January","2019","Monaghan","Number","292"
"Herds Restricted since 1st of January","2019","Offaly","Number","154"
"Herds Restricted since 1st of January","2019","Roscommon","Number","163"
"Herds Restricted since 1st of January","2019","Sligo","Number","97"
"Herds Restricted since 1st of January","2019","Tipperary North","Number","142"
"Herds Restricted since 1st of January","2019","Tipperary South","Number","95"
"Herds Restricted since 1st of January","2019","Waterford","Number","51"
"Herds Restricted since 1st of January","2019","Westmeath","Number","157"
"Herds Restricted since 1st of January","2019","Wexford","Number","147"
"Herds Restricted since 1st of January","2019","Wicklow E","Number","100"
"Herds Restricted since 1st of January","2019","Wicklow W","Number","62"
"Herds Restricted since 1st of January","2020","State","Number","4753"
"Herds Restricted since 1st of January","2020","Carlow","Number","44"
"Herds Restricted since 1st of January","2020","Cavan","Number","261"
"Herds Restricted since 1st of January","2020","Clare","Number","264"
"Herds Restricted since 1st of January","2020","Cork North","Number","435"
"Herds Restricted since 1st of January","2020","Cork South","Number","228"
"Herds Restricted since 1st of January","2020","Donegal","Number","87"
"Herds Restricted since 1st of January","2020","Dublin","Number","26"
"Herds Restricted since 1st of January","2020","Galway","Number","349"
"Herds Restricted since 1st of January","2020","Kerry","Number","165"
"Herds Restricted since 1st of January","2020","Kildare","Number","74"
"Herds Restricted since 1st of January","2020","Kilkenny","Number","111"
"Herds Restricted since 1st of January","2020","Laois","Number","146"
"Herds Restricted since 1st of January","2020","Leitrim","Number","60"
"Herds Restricted since 1st of January","2020","Limerick","Number","144"
"Herds Restricted since 1st of January","2020","Longford","Number","77"
"Herds Restricted since 1st of January","2020","Louth","Number","85"
"Herds Restricted since 1st of January","2020","Mayo","Number","223"
"Herds Restricted since 1st of January","2020","Meath","Number","270"
"Herds Restricted since 1st of January","2020","Monaghan","Number","303"
"Herds Restricted since 1st of January","2020","Offaly","Number","165"
"Herds Restricted since 1st of January","2020","Roscommon","Number","156"
"Herds Restricted since 1st of January","2020","Sligo","Number","133"
"Herds Restricted since 1st of January","2020","Tipperary North","Number","222"
"Herds Restricted since 1st of January","2020","Tipperary South","Number","160"
"Herds Restricted since 1st of January","2020","Waterford","Number","56"
"Herds Restricted since 1st of January","2020","Westmeath","Number","203"
"Herds Restricted since 1st of January","2020","Wexford","Number","137"
"Herds Restricted since 1st of January","2020","Wicklow E","Number","96"
"Herds Restricted since 1st of January","2020","Wicklow W","Number","73"
"Herd Incidence","2010","State","%","4.65"
"Herd Incidence","2010","Carlow","%","4.02"
"Herd Incidence","2010","Cavan","%","5.32"
"Herd Incidence","2010","Clare","%","5.71"
"Herd Incidence","2010","Cork North","%","4.43"
"Herd Incidence","2010","Cork South","%","6.3"
"Herd Incidence","2010","Donegal","%","3.34"
"Herd Incidence","2010","Dublin","%","7.16"
"Herd Incidence","2010","Galway","%","3.98"
"Herd Incidence","2010","Kerry","%","2.22"
"Herd Incidence","2010","Kildare","%","5.23"
"Herd Incidence","2010","Kilkenny","%","6.19"
"Herd Incidence","2010","Laois","%","5.46"
"Herd Incidence","2010","Leitrim","%","2.74"
"Herd Incidence","2010","Limerick","%","3.12"
"Herd Incidence","2010","Longford","%","3.43"
"Herd Incidence","2010","Louth","%","6.01"
"Herd Incidence","2010","Mayo","%","1.95"
"Herd Incidence","2010","Meath","%","8"
"Herd Incidence","2010","Monaghan","%","3.56"
"Herd Incidence","2010","Offaly","%","6.47"
"Herd Incidence","2010","Roscommon","%","4.69"
"Herd Incidence","2010","Sligo","%","3.11"
"Herd Incidence","2010","Tipperary North","%","6.92"
"Herd Incidence","2010","Tipperary South","%","5.23"
"Herd Incidence","2010","Waterford","%","5.55"
"Herd Incidence","2010","Westmeath","%","6.75"
"Herd Incidence","2010","Wexford","%","8.08"
"Herd Incidence","2010","Wicklow E","%","15.72"
"Herd Incidence","2010","Wicklow W","%","4.81"
"Herd Incidence","2011","State","%","4.18"
"Herd Incidence","2011","Carlow","%","4.98"
"Herd Incidence","2011","Cavan","%","3.96"
"Herd Incidence","2011","Clare","%","4.68"
"Herd Incidence","2011","Cork North","%","5.45"
"Herd Incidence","2011","Cork South","%","5.8"
"Herd Incidence","2011","Donegal","%","3.38"
"Herd Incidence","2011","Dublin","%","5.43"
"Herd Incidence","2011","Galway","%","3.34"
"Herd Incidence","2011","Kerry","%","2.67"
"Herd Incidence","2011","Kildare","%","3.74"
"Herd Incidence","2011","Kilkenny","%","6.7"
"Herd Incidence","2011","Laois","%","4.48"
"Herd Incidence","2011","Leitrim","%","2.35"
"Herd Incidence","2011","Limerick","%","2.83"
"Herd Incidence","2011","Longford","%","4.28"
"Herd Incidence","2011","Louth","%","4.33"
"Herd Incidence","2011","Mayo","%","1.88"
"Herd Incidence","2011","Meath","%","7.65"
"Herd Incidence","2011","Monaghan","%","2.7"
"Herd Incidence","2011","Offaly","%","4.68"
"Herd Incidence","2011","Roscommon","%","3.95"
"Herd Incidence","2011","Sligo","%","2.57"
"Herd Incidence","2011","Tipperary North","%","4.33"
"Herd Incidence","2011","Tipperary South","%","3.94"
"Herd Incidence","2011","Waterford","%","5.14"
"Herd Incidence","2011","Westmeath","%","5.24"
"Herd Incidence","2011","Wexford","%","9.47"
"Herd Incidence","2011","Wicklow E","%","11.1"
"Herd Incidence","2011","Wicklow W","%","7.6"
"Herd Incidence","2012","State","%","4.26"
"Herd Incidence","2012","Carlow","%","4.71"
"Herd Incidence","2012","Cavan","%","3.86"
"Herd Incidence","2012","Clare","%","5.06"
"Herd Incidence","2012","Cork North","%","5.09"
"Herd Incidence","2012","Cork South","%","6"
"Herd Incidence","2012","Donegal","%","4.28"
"Herd Incidence","2012","Dublin","%","6.63"
"Herd Incidence","2012","Galway","%","2.53"
"Herd Incidence","2012","Kerry","%","2.66"
"Herd Incidence","2012","Kildare","%","4.21"
"Herd Incidence","2012","Kilkenny","%","6.62"
"Herd Incidence","2012","Laois","%","4.91"
"Herd Incidence","2012","Leitrim","%","2.27"
"Herd Incidence","2012","Limerick","%","4.06"
"Herd Incidence","2012","Longford","%","3.47"
"Herd Incidence","2012","Louth","%","4.7"
"Herd Incidence","2012","Mayo","%","2.01"
"Herd Incidence","2012","Meath","%","7.39"
"Herd Incidence","2012","Monaghan","%","2.73"
"Herd Incidence","2012","Offaly","%","4.51"
"Herd Incidence","2012","Roscommon","%","4.65"
"Herd Incidence","2012","Sligo","%","3.5"
"Herd Incidence","2012","Tipperary North","%","5.5"
"Herd Incidence","2012","Tipperary South","%","3.5"
"Herd Incidence","2012","Waterford","%","4.7"
"Herd Incidence","2012","Westmeath","%","5.66"
"Herd Incidence","2012","Wexford","%","7.82"
"Herd Incidence","2012","Wicklow E","%","10.64"
"Herd Incidence","2012","Wicklow W","%","9.64"
"Herd Incidence","2013","State","%","3.88"
"Herd Incidence","2013","Carlow","%","2.53"
"Herd Incidence","2013","Cavan","%","4.41"
"Herd Incidence","2013","Clare","%","4.83"
"Herd Incidence","2013","Cork North","%","4.5"
"Herd Incidence","2013","Cork South","%","5.04"
"Herd Incidence","2013","Donegal","%","3.95"
"Herd Incidence","2013","Dublin","%","8.09"
"Herd Incidence","2013","Galway","%","2.71"
"Herd Incidence","2013","Kerry","%","2.8"
"Herd Incidence","2013","Kildare","%","3.71"
"Herd Incidence","2013","Kilkenny","%","5.35"
"Herd Incidence","2013","Laois","%","3.37"
"Herd Incidence","2013","Leitrim","%","2.32"
"Herd Incidence","2013","Limerick","%","3.01"
"Herd Incidence","2013","Longford","%","2.66"
"Herd Incidence","2013","Louth","%","5.12"
"Herd Incidence","2013","Mayo","%","1.92"
"Herd Incidence","2013","Meath","%","6.09"
"Herd Incidence","2013","Monaghan","%","3.15"
"Herd Incidence","2013","Offaly","%","4.13"
"Herd Incidence","2013","Roscommon","%","4.42"
"Herd Incidence","2013","Sligo","%","2.91"
"Herd Incidence","2013","Tipperary North","%","5.09"
"Herd Incidence","2013","Tipperary South","%","2.92"
"Herd Incidence","2013","Waterford","%","3.53"
"Herd Incidence","2013","Westmeath","%","5.04"
"Herd Incidence","2013","Wexford","%","8.44"
"Herd Incidence","2013","Wicklow E","%","8.18"
"Herd Incidence","2013","Wicklow W","%","7.46"
"Herd Incidence","2014","State","%","3.64"
"Herd Incidence","2014","Carlow","%","1.99"
"Herd Incidence","2014","Cavan","%","3.76"
"Herd Incidence","2014","Clare","%","4.87"
"Herd Incidence","2014","Cork North","%","4.62"
"Herd Incidence","2014","Cork South","%","4.24"
"Herd Incidence","2014","Donegal","%","2.85"
"Herd Incidence","2014","Dublin","%","7.29"
"Herd Incidence","2014","Galway","%","2.83"
"Herd Incidence","2014","Kerry","%","3.02"
"Herd Incidence","2014","Kildare","%","4.5"
"Herd Incidence","2014","Kilkenny","%","4.42"
"Herd Incidence","2014","Laois","%","3.23"
