"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2014","Tipperary North","Number","3439"
"Herds in County","2014","Tipperary South","Number","3412"
"Herds in County","2014","Waterford","Number","2241"
"Herds in County","2014","Westmeath","Number","3015"
"Herds in County","2014","Wexford","Number","3039"
"Herds in County","2014","Wicklow E","Number","1054"
"Herds in County","2014","Wicklow W","Number","549"
"Herds in County","2015","State","Number","115091"
"Herds in County","2015","Carlow","Number","1330"
"Herds in County","2015","Cavan","Number","4820"
"Herds in County","2015","Clare","Number","6203"
"Herds in County","2015","Cork North","Number","5799"
"Herds in County","2015","Cork South","Number","6130"
"Herds in County","2015","Donegal","Number","5597"
"Herds in County","2015","Dublin","Number","386"
"Herds in County","2015","Galway","Number","11411"
"Herds in County","2015","Kerry","Number","6818"
"Herds in County","2015","Kildare","Number","1927"
"Herds in County","2015","Kilkenny","Number","3173"
"Herds in County","2015","Laois","Number","2922"
"Herds in County","2015","Leitrim","Number","3023"
"Herds in County","2015","Limerick","Number","5507"
"Herds in County","2015","Longford","Number","2414"
"Herds in County","2015","Louth","Number","1228"
"Herds in County","2015","Mayo","Number","9338"
"Herds in County","2015","Meath","Number","3782"
"Herds in County","2015","Monaghan","Number","4253"
"Herds in County","2015","Offaly","Number","3124"
"Herds in County","2015","Roscommon","Number","5485"
"Herds in County","2015","Sligo","Number","3566"
"Herds in County","2015","Tipperary North","Number","3442"
"Herds in County","2015","Tipperary South","Number","3440"
"Herds in County","2015","Waterford","Number","2250"
"Herds in County","2015","Westmeath","Number","3037"
"Herds in County","2015","Wexford","Number","3059"
"Herds in County","2015","Wicklow E","Number","1071"
"Herds in County","2015","Wicklow W","Number","556"
"Herds in County","2016","State","Number","114705"
"Herds in County","2016","Carlow","Number","1325"
"Herds in County","2016","Cavan","Number","4875"
"Herds in County","2016","Clare","Number","6164"
"Herds in County","2016","Cork North","Number","5874"
"Herds in County","2016","Cork South","Number","6190"
"Herds in County","2016","Donegal","Number","5375"
"Herds in County","2016","Dublin","Number","379"
"Herds in County","2016","Galway","Number","11212"
"Herds in County","2016","Kerry","Number","6893"
"Herds in County","2016","Kildare","Number","1910"
"Herds in County","2016","Kilkenny","Number","3120"
"Herds in County","2016","Laois","Number","2880"
"Herds in County","2016","Leitrim","Number","2979"
"Herds in County","2016","Limerick","Number","5457"
"Herds in County","2016","Longford","Number","2407"
"Herds in County","2016","Louth","Number","1220"
"Herds in County","2016","Mayo","Number","9193"
"Herds in County","2016","Meath","Number","3721"
"Herds in County","2016","Monaghan","Number","4298"
"Herds in County","2016","Offaly","Number","3164"
"Herds in County","2016","Roscommon","Number","5497"
"Herds in County","2016","Sligo","Number","3547"
"Herds in County","2016","Tipperary North","Number","3499"
"Herds in County","2016","Tipperary South","Number","3493"
"Herds in County","2016","Waterford","Number","2214"
"Herds in County","2016","Westmeath","Number","3090"
"Herds in County","2016","Wexford","Number","3092"
