,Statistic,Year,Type of Crop,UNIT,VALUE
442,Crop Production,2016,"Total wheat, oats and barley",000 Tonnes,2310.9
443,Crop Production,2016,Total wheat,000 Tonnes,647.7
444,Crop Production,2016,Winter wheat,000 Tonnes,587.5
445,Crop Production,2016,Spring wheat,000 Tonnes,60.3
446,Crop Production,2016,Total oats,000 Tonnes,183.3
447,Crop Production,2016,Winter oats,000 Tonnes,110.3
448,Crop Production,2016,Spring oats,000 Tonnes,73.0
449,Crop Production,2016,Total barley,000 Tonnes,1479.9
450,Crop Production,2016,Winter barley,000 Tonnes,644.4
451,Crop Production,2016,Spring barley,000 Tonnes,835.5
452,Crop Production,2016,Beans and peas,000 Tonnes,70.6
453,Crop Production,2016,Oilseed rape,000 Tonnes,34.1
454,Crop Production,2016,Potatoes,000 Tonnes,352.0
455,Crop Production,2017,"Total wheat, oats and barley",000 Tonnes,2392.6
456,Crop Production,2017,Total wheat,000 Tonnes,681.7
457,Crop Production,2017,Winter wheat,000 Tonnes,626.6
458,Crop Production,2017,Spring wheat,000 Tonnes,55.2
459,Crop Production,2017,Total oats,000 Tonnes,205.0
460,Crop Production,2017,Winter oats,000 Tonnes,128.7
461,Crop Production,2017,Spring oats,000 Tonnes,76.4
462,Crop Production,2017,Total barley,000 Tonnes,1505.8
463,Crop Production,2017,Winter barley,000 Tonnes,592.2
464,Crop Production,2017,Spring barley,000 Tonnes,913.7
465,Crop Production,2017,Beans and peas,000 Tonnes,90.2
466,Crop Production,2017,Oilseed rape,000 Tonnes,41.7
467,Crop Production,2017,Potatoes,000 Tonnes,412.4
468,Crop Production,2018,"Total wheat, oats and barley",000 Tonnes,1853.9
469,Crop Production,2018,Total wheat,000 Tonnes,506.8
470,Crop Production,2018,Winter wheat,000 Tonnes,484.6
471,Crop Production,2018,Spring wheat,000 Tonnes,22.2
472,Crop Production,2018,Total oats,000 Tonnes,122.3
473,Crop Production,2018,Winter oats,000 Tonnes,80.1
474,Crop Production,2018,Spring oats,000 Tonnes,42.2
475,Crop Production,2018,Total barley,000 Tonnes,1224.9
476,Crop Production,2018,Winter barley,000 Tonnes,508.8
477,Crop Production,2018,Spring barley,000 Tonnes,716.1
478,Crop Production,2018,Beans and peas,000 Tonnes,22.7
479,Crop Production,2018,Oilseed rape,000 Tonnes,40.9
480,Crop Production,2018,Potatoes,000 Tonnes,273.0
481,Crop Production,2019,"Total wheat, oats and barley",000 Tonnes,2396.2
482,Crop Production,2019,Total wheat,000 Tonnes,636.0
483,Crop Production,2019,Winter wheat,000 Tonnes,604.6
484,Crop Production,2019,Spring wheat,000 Tonnes,31.4
485,Crop Production,2019,Total oats,000 Tonnes,202.6
486,Crop Production,2019,Winter oats,000 Tonnes,147.2
487,Crop Production,2019,Spring oats,000 Tonnes,55.5
488,Crop Production,2019,Total barley,000 Tonnes,1557.6
489,Crop Production,2019,Winter barley,000 Tonnes,780.8
490,Crop Production,2019,Spring barley,000 Tonnes,776.7
491,Crop Production,2019,Beans and peas,000 Tonnes,44.0
492,Crop Production,2019,Oilseed rape,000 Tonnes,38.4
493,Crop Production,2019,Potatoes,000 Tonnes,382.4
494,Crop Production,2020,"Total wheat, oats and barley",000 Tonnes,2013.2
495,Crop Production,2020,Total wheat,000 Tonnes,393.0
496,Crop Production,2020,Winter wheat,000 Tonnes,307.6
497,Crop Production,2020,Spring wheat,000 Tonnes,85.4
498,Crop Production,2020,Total oats,000 Tonnes,189.9
499,Crop Production,2020,Winter oats,000 Tonnes,67.6
500,Crop Production,2020,Spring oats,000 Tonnes,122.3
501,Crop Production,2020,Total barley,000 Tonnes,1430.3
502,Crop Production,2020,Winter barley,000 Tonnes,426.3
503,Crop Production,2020,Spring barley,000 Tonnes,1004.0
504,Crop Production,2020,Beans and peas,000 Tonnes,65.7
505,Crop Production,2020,Oilseed rape,000 Tonnes,45.1
506,Crop Production,2020,Potatoes,000 Tonnes,300.1
