,Statistic,Year,Type of Crop,UNIT,VALUE
93,Area under Crops,2015,Winter wheat,000 Hectares,55.3
94,Area under Crops,2015,Spring wheat,000 Hectares,10.1
95,Area under Crops,2015,Total oats,000 Hectares,23.4
96,Area under Crops,2015,Winter oats,000 Hectares,11.4
97,Area under Crops,2015,Spring oats,000 Hectares,12.1
98,Area under Crops,2015,Total barley,000 Hectares,202.8
99,Area under Crops,2015,Winter barley,000 Hectares,69.8
100,Area under Crops,2015,Spring barley,000 Hectares,133.0
101,Area under Crops,2015,Beans and peas,000 Hectares,10.7
102,Area under Crops,2015,Oilseed rape,000 Hectares,8.9
103,Area under Crops,2015,Potatoes,000 Hectares,8.5
104,Area under Crops,2016,"Total wheat, oats and barley",000 Hectares,280.3
105,Area under Crops,2016,Total wheat,000 Hectares,67.9
106,Area under Crops,2016,Winter wheat,000 Hectares,60.4
107,Area under Crops,2016,Spring wheat,000 Hectares,7.5
108,Area under Crops,2016,Total oats,000 Hectares,23.2
109,Area under Crops,2016,Winter oats,000 Hectares,13.2
110,Area under Crops,2016,Spring oats,000 Hectares,10.0
111,Area under Crops,2016,Total barley,000 Hectares,189.2
112,Area under Crops,2016,Winter barley,000 Hectares,74.6
113,Area under Crops,2016,Spring barley,000 Hectares,114.6
114,Area under Crops,2016,Beans and peas,000 Hectares,12.5
115,Area under Crops,2016,Oilseed rape,000 Hectares,9.9
116,Area under Crops,2016,Potatoes,000 Hectares,9.0
117,Area under Crops,2017,"Total wheat, oats and barley",000 Hectares,271.7
118,Area under Crops,2017,Total wheat,000 Hectares,67.0
119,Area under Crops,2017,Winter wheat,000 Hectares,60.3
120,Area under Crops,2017,Spring wheat,000 Hectares,6.8
121,Area under Crops,2017,Total oats,000 Hectares,24.4
122,Area under Crops,2017,Winter oats,000 Hectares,14.4
123,Area under Crops,2017,Spring oats,000 Hectares,10.0
124,Area under Crops,2017,Total barley,000 Hectares,180.2
125,Area under Crops,2017,Winter barley,000 Hectares,65.0
126,Area under Crops,2017,Spring barley,000 Hectares,115.2
127,Area under Crops,2017,Beans and peas,000 Hectares,13.7
128,Area under Crops,2017,Oilseed rape,000 Hectares,10.1
129,Area under Crops,2017,Potatoes,000 Hectares,9.2
130,Area under Crops,2018,"Total wheat, oats and barley",000 Hectares,261.0
131,Area under Crops,2018,Total wheat,000 Hectares,58.0
132,Area under Crops,2018,Winter wheat,000 Hectares,54.4
133,Area under Crops,2018,Spring wheat,000 Hectares,3.6
134,Area under Crops,2018,Total oats,000 Hectares,17.8
135,Area under Crops,2018,Winter oats,000 Hectares,10.2
136,Area under Crops,2018,Spring oats,000 Hectares,7.6
137,Area under Crops,2018,Total barley,000 Hectares,185.2
138,Area under Crops,2018,Winter barley,000 Hectares,57.9
139,Area under Crops,2018,Spring barley,000 Hectares,127.4
140,Area under Crops,2018,Beans and peas,000 Hectares,8.5
141,Area under Crops,2018,Oilseed rape,000 Hectares,10.6
142,Area under Crops,2018,Potatoes,000 Hectares,8.2
143,Area under Crops,2019,"Total wheat, oats and barley",000 Hectares,266.7
144,Area under Crops,2019,Total wheat,000 Hectares,63.5
145,Area under Crops,2019,Winter wheat,000 Hectares,59.7
146,Area under Crops,2019,Spring wheat,000 Hectares,3.8
147,Area under Crops,2019,Total oats,000 Hectares,23.8
148,Area under Crops,2019,Winter oats,000 Hectares,16.6
149,Area under Crops,2019,Spring oats,000 Hectares,7.2
150,Area under Crops,2019,Total barley,000 Hectares,179.4
151,Area under Crops,2019,Winter barley,000 Hectares,82.8
152,Area under Crops,2019,Spring barley,000 Hectares,96.5
153,Area under Crops,2019,Beans and peas,000 Hectares,8.1
154,Area under Crops,2019,Oilseed rape,000 Hectares,9.2
155,Area under Crops,2019,Potatoes,000 Hectares,8.7
156,Area under Crops,2020,"Total wheat, oats and barley",000 Hectares,265.6
157,Area under Crops,2020,Total wheat,000 Hectares,47.0
158,Area under Crops,2020,Winter wheat,000 Hectares,35.4
159,Area under Crops,2020,Spring wheat,000 Hectares,11.5
160,Area under Crops,2020,Total oats,000 Hectares,25.4
161,Area under Crops,2020,Winter oats,000 Hectares,8.3
162,Area under Crops,2020,Spring oats,000 Hectares,17.2
163,Area under Crops,2020,Total barley,000 Hectares,193.2
164,Area under Crops,2020,Winter barley,000 Hectares,51.5
165,Area under Crops,2020,Spring barley,000 Hectares,141.7
166,Area under Crops,2020,Beans and peas,000 Hectares,13.7
167,Area under Crops,2020,Oilseed rape,000 Hectares,10.3
168,Area under Crops,2020,Potatoes,000 Hectares,8.9
169,Crop Yield per Hectare,2008,"Total wheat, oats and barley",Tonnes,7.7
170,Crop Yield per Hectare,2008,Total wheat,Tonnes,9.0
171,Crop Yield per Hectare,2008,Winter wheat,Tonnes,9.6
172,Crop Yield per Hectare,2008,Spring wheat,Tonnes,6.6
173,Crop Yield per Hectare,2008,Total oats,Tonnes,7.6
174,Crop Yield per Hectare,2008,Winter oats,Tonnes,7.9
175,Crop Yield per Hectare,2008,Spring oats,Tonnes,6.3
176,Crop Yield per Hectare,2008,Total barley,Tonnes,6.9
177,Crop Yield per Hectare,2008,Winter barley,Tonnes,8.6
178,Crop Yield per Hectare,2008,Spring barley,Tonnes,6.7
